,neg_model,pos_model,text,dist_point5
294619,0.5000048,0.49999514,RT @AleezaHashmi1: @WeWork is building community in living spaces for entrepreneurs. YES. @TechCrunch @joindoorbell #REtech #community  htt…,4.8599999999954235e-06
189840,0.49999502,0.500005,Tablets &amp; Networking : http://t.co/fgnw8eBdwH Ndevr iPadding Kids Safe Non-Toxic Foam Shockproof Case Cover for i… http://t.co/QhCnB0h4SP,5.000000000032756e-06
76272,0.49999209999999994,0.50000787,Wolf Pack to continue to use three quarterbacks - Reno Gazette Journal: Reno Gazette JournalWolf Pac... https://t.co/hJopWGD5Kz #jobnews,7.870000000020916e-06
256272,0.49998465,0.5000153,http://t.co/xzUPDgFeu8 #9437 2 HERBALIFE NITEWORKS 10.6 OZ NEW ORANGE MANGO FLAVOR! HEART HEALTH!  free shi http://t.co/57s2LlfbVH,1.5300000000051384e-05
111457,0.49995643,0.5000435999999999,RT @KESocial: New Network Neutrality Act Legislation - via Netiquette IQ http://t.co/cd19TuYWo8,4.359999999992148e-05
292103,0.49995407,0.50004596,Military Network Radio The high value of early intervention. Live Now: https://t.co/6imRqYUILt autism,4.596000000001155e-05
364740,0.49995035,0.50004965,"@mark_wahlberg thanks for being a great actor, producer, motivator ,businessman, a person to look up to and admire your work, you rock !!!!",4.9650000000012184e-05
191360,0.5000527,0.49994728,RT @Team_Barrowman: @collinsapera @danabramble3 @mayareddy #superpowerhour @CW_network #sdcc awesome @BarrowmanCrime jb http://t.co/taQxRiD…,5.2720000000006095e-05
375066,0.500057,0.49994305,"Do it! - “@bloodbankhawaii: Saving lives. Now that’s a good day at work.

We're hiring! http://t.co/TE1bnISXhs #HIblood”",5.6950000000000056e-05
153947,0.5000787,0.49992132,RT @tctapes: Tomorrow afternoon! @beyondwrestling debuts on iPPV as part of the @WWNLive network. https://t.co/sSdOh2vUQQ,7.867999999999764e-05
45479,0.5000956,0.49990433,@eliasisquith sigh. https://t.co/qKtqAcFO9a,9.566999999999215e-05
