,neg_model,pos_model,text
333583,0.021863915,0.9781360999999998,"#job alert: R_Unloader needed in #Seymour, #IN https://t.co/gXaZPTln7H #jobs #hiring"
323650,0.022185056,0.977815,"#job alert: Part needed in #Lapeer, #MI https://t.co/0EaLaPFipx #jobs #hiring"
1213,0.022200452000000002,0.9777995999999999,"#job alert: Oracle Direct Sr needed in #MountLaurel, #NJ https://t.co/7jkY0FpUQQ #jobs #hiring"
247002,0.022398956,0.97760105,#Service #&amp; Solutions Executive (SSE - US) needed in #Honolulu at Xerox. Apply now! #jobs http://t.co/n5jERBt6lk
12254,0.022437029,0.977563,"#job alert: COOK needed in #Norwood, #MA https://t.co/KpvrmxbE1c #jobs #hiring"
330635,0.022485869,0.97751415,"#job alert: RN needed in #SantaCruz, #CA https://t.co/374ORrdaXF #jobs #hiring"
330615,0.022562568999999998,0.9774374,"#hiring right now: MT in #BatonRouge, #LA https://t.co/zwZJxbDXhQ #jobs #job"
344699,0.022566927999999997,0.977433,"#job alert: Receiving needed in #Milwaukee, #WI https://t.co/edVpoil0XB #jobs #hiring"
322630,0.022610107,0.9773898999999999,"#job alert: Construction Worker 1 needed in #ElDorado, #AR https://t.co/gwKVv2QhV8 #jobs #hiring"
17708,0.02272347,0.97727656,"#job alert: Project Manager 4 needed in #Charlotte, #NC https://t.co/Vn69xC2KRL #jobs #hiring"
278380,0.022745669,0.9772543,#Senior #VDI Engineer - No Clearance Req'd needed in #Washington at BINNACLE Consulting Group. Apply now! #jobs http://t.co/JrEJxZB7NU
280551,0.02276765,0.9772323,New #job opening at Trip Advisor in #Needham - #SEO #Manager #jobs http://t.co/w4M9qsHjht http://t.co/3f28dSXPEk
357130,0.022781905,0.9772181000000001,"#job alert: Key Account Sales needed in #LosAngeles, #CA https://t.co/bnO4VFdDSZ #jobs #hiring"
208972,0.022958482000000002,0.97704154,#Porter needed in #NewYork at Snagajob. Apply now! #jobs http://t.co/QQzOEBsFo9
189579,0.022968442999999998,0.9770315,#Ops #Supervisor Hauling needed in #LongBeach at Republic Services. Apply now! #jobs http://t.co/rCw1GFecNg http://t.co/B7RL8BUfnO
288399,0.023007793,0.97699225,"#job alert: Marketing and Project needed in #SanFrancisco, #CA https://t.co/ER6Qkqqajn #jobs #hiring"
41113,0.023143424,0.9768565,"RT @USJobsColumbus: Coordinator needed in #Columbus, #OH https://t.co/vxlNvRoKQt #jobs #hiring"
303169,0.023143847000000002,0.9768562,"#job alert: IT Field Service needed in #Edison, #NJ https://t.co/GfhSO3s2O0 #jobs #hiring"
32495,0.023159845,0.97684014,"#job alert: Registered Nurse Operating needed in #NewYork, #NY https://t.co/uT0e1GCqLG #jobs #hiring"
43411,0.023168352000000003,0.9768315999999999,"This #BusinessMgmt #job might be a great fit for you: Dir Customer Exper &amp; Hosp Serv - https://t.co/GX6f9jybJu #Columbus, OH #Hiring"
222772,0.023176717000000003,0.97682333,#Sourcing #Recruiter needed in #Seattle at Rylem LLC. Apply now! #jobs http://t.co/vFdnpBNpAx http://t.co/dgMYbB75gM
49396,0.023195693,0.9768043,Job Opening: #Insurance Assistant at Workway in #Phoenix. #jobs https://t.co/04Pa3i8Rmg
34946,0.023218164,0.9767818000000001,"#job alert: Pipefitter needed in #DeerPark, #TX https://t.co/VhdCMwFTNu #jobs #hiring"
278488,0.023223318,0.97677666,#Part #Time Teller needed in #NewYork at HSBC. Apply now! #jobs http://t.co/uR9xXFaqPt
276454,0.023224732,0.97677535,Check out this #job: #Corporate #Alliances Intern at International Rescue Committee in #NewYork #jobs http://t.co/8w2pgfobs1
