,neg_model,pos_model,text,dist_point5
423024,0.50000423,0.49999574,Deals : https://t.co/44snBCVlbH #7142 10X Dental Care Water Jet Oral Irrigator Flosser Tooth SPA Teeth Pick Cleane… https://t.co/z0UddcK8yY,4.25999999997817e-06
313830,0.50000507,0.49999493,Pops ahoy! Get tickets to the Harvard Pops Orchestra concert &amp; alumni reunion! http://t.co/9s69T3BZWQ,5.069999999995911e-06
131470,0.50000525,0.49999478,#gm #mybabies #mytwoprincess #sisters #morning #sisterslove #bigsister #littlesister #leanaandzoey… http://t.co/8NVIzB3o36,5.219999999972469e-06
76426,0.5000201,0.49997994,RT @InnovatPasadena: An effective security program meets compliance requirements - Brenda Rose from @CedarsSinai #cybersecurity at @EnCase,2.005999999998842e-05
525980,0.49995923,0.50004077,RT @5SOSTumblrx: but...mashton http://t.co/F6a2xIZfJu,4.077000000002329e-05
27301,0.5000491,0.4999509,Just posted a photo https://t.co/V2WkRgIHUM,4.9100000000024124e-05
481498,0.5000523,0.49994773,"RT @NastyVibe: ON SALE
Retweet if you like left
Fav if you like right 
Get these at http://t.co/H7wNKkBnqX http://t.co/IytUyjX1w9",5.227000000002091e-05
267967,0.50005496,0.499945,@JeanWizzy  Music Video: #SomeDay  Genre: HipHop by @BLD1 Up-n-Coming Artist http://t.co/uSpOxqUton,5.500000000002725e-05
289871,0.4999446,0.5000554,#NokiaX #NokiaXL - The introduction of Nokia X and Nokia XL handsets equipped with the Android based… http://t.co/xsL8OgYzRD #WindowsPhone,5.540000000003875e-05
353748,0.50005555,0.49994445,Your August Star-gazing Guide! Jupiter is shining bright this month. https://t.co/mLO45doV8N https://t.co/y5k4ncyn8L,5.555000000001531e-05
545148,0.4999365,0.50006354,RT @Patriots: Squad. #LetsGo #MIAvsNE https://t.co/2IodflfnnN,6.353999999997306e-05
273604,0.49992890000000006,0.5000710999999999,"@YMDgento @NickTheBullsFan ""12"" hours http://t.co/35FSiWhbCC",7.109999999987959e-05
181983,0.4999263,0.50007373,Holiday Fair fundraiser https://t.co/UfmpxVeA9d,7.372999999999408e-05
6558,0.49992454,0.50007546,RT @TheQueenHEEL: Me and bae 😘 http://t.co/ywu7xuaw0J,7.546000000002717e-05
500896,0.5000774,0.49992254,RT @StyleHaul: Hand-picked beauty faves just for you! Follow @StyleHaul &amp; @LookFantastic + RT b4 11:59PM EST to enter our #LFBeautyBox #Tue…,7.745999999997366e-05
269003,0.49991682,0.50008315,RT @johnspatricc: Positive impact: Bernard Foley will start for the Wallabies ahead of Kurtley ...  http://t.co/VruXCzFQu7 *  #Wallabies,8.315000000003181e-05
544538,0.5000956,0.49990433,ThemeParkRider: DisneyWorldPost: https://t.co/9NQ9g6M8LS: Originally posted by ksander1986 on Instagram #disneypar… https://t.co/kZ7fgbemjO,9.566999999999215e-05
96323,0.49990314,0.5000968,RT @CandidaJourney: Keep Credit Cards From Fraud Scanning ~ Adorner RFID Blocking SS Wallet Credit Card Holder https://t.co/wS2whHhEAE http…,9.680000000000799e-05
17244,0.49990264,0.50009733,19mm Polish Center Solid Steel Oyster Band Bracelet For Old Rolex Explorer Watch - Full re… http://t.co/KE2Ud3eSVC http://t.co/6yKr6IUE3m,9.733000000000658e-05
389385,0.500099,0.49990097,Read my contribution to this article on lemon essential oil: https://t.co/YCc066K4zP,9.902999999999995e-05
50544,0.50010306,0.49989694,"Yahoo!!    
November's top eight tech funding deals https://t.co/TeGsqozPA4 via @BosBizJournal",0.00010305999999998816
258503,0.5001053,0.49989462,RT @SD_Comic_Con: 20th Century Fox is bringing an #XMen Oculus Rift virtual reality experience to their booth at #SDCC: http://t.co/1TeQAJ3…,0.00010537999999998826
353543,0.50010926,0.49989074,RT @lowkeypsycho: Deactivate https://t.co/onl0XW3e5t,0.00010925999999999991
329278,0.5001101,0.49988985,RT @DreamCIoset: Cute outfit 👏🏻😍 http://t.co/ionYI99tPh,0.00011014999999997555
298973,0.49988884,0.50011116,7 Pearls Of Wisdom To Guide You To A Great Life by @Rbutleryoga http://t.co/DNXnXS8Pk4 http://t.co/12pGUR3180,0.00011115999999999904
146196,0.5001113,0.49988872,RT @joeblackzw: Amai Grace Mugabe enrolled for her PhD in July http://t.co/jOJVzajBhM graduates in September http://t.co/NHDtPrLgQT talent!…,0.00011127999999999139
379144,0.5001135,0.49988649999999996,RT @00maar: Please retweet  https://t.co/zD2E4En5kn,0.00011350000000004412
127927,0.5001166,0.4998834,Apple iPhone 6 Plus - Silver -  128 GB - Unlocked -  - Bid Now! Only $480.0 https://t.co/jyhxowtWws https://t.co/c3xpN1Jp4H,0.00011660000000002224
319545,0.49988264,0.5001173,RT @mwomenhistory: Failed Brand Crossovers! - http://t.co/agDmzbbjbF http://t.co/GNCgMPVU1e,0.00011729999999998686
11338,0.50011885,0.49988112,http://t.co/v86OFi247H Marriott to accept Apple Pay at its hotels starting this summer http://t.co/es0HDY2e01,0.00011887999999998788
436448,0.49987894,0.500121,"RT @TickerReport: Insider Selling: https://t.co/yIwlvRasFa, inc. $CRM CEO Sells 75,000 Shares of Stock https://t.co/EhaUDZdcot",0.00012100000000003774
539091,0.50012153,0.49987840000000006,"RT @mkingpromo: favorite if you'd buy this @ http://t.co/stoj4yMCDP

🔥Use promo code ""Mking"" for 10% off🔥 http://t.co/DxkyZt5jYd",0.00012159999999994398
146418,0.49987677,0.50012326,Coupon – Save $1. on Colgate Toothpaste via Couponing 4 You -   Save $1. on one Colgate ... http://t.co/ZDClBwLW4Y,0.0001232599999999584
504354,0.49987572,0.50012434,"#1838 Samsung Galaxy Camera 2 16.3MP CMOS with 21x Optical Zoom and 4.8"" Touch Screen http://t.co/bfbWaLJkCb

$24… http://t.co/f4IOkD8XaK",0.00012433999999994505
50530,0.49987555,0.5001245,Thank you so much for your donations! #sharethegood https://t.co/TTelI5PEaF,0.00012449999999997186
50506,0.5001251,0.49987489999999996,"RT @ALDUBPILIPINAS: Congratulations! ALDUB PH Japan Chapter @ALDUBPhJapan for the successful first get together. 

 #ALDUBDejaVuLove https:…",0.00012510000000004462
422654,0.4998715,0.50012857,RT @BestBikiniGirls: Majestic Colonial Bikini Contest Apr. 2012 pt. 2... -  https://t.co/ksgE6F3EGz,0.00012856999999999452
381960,0.5001286,0.49987137,me after the lake today https://t.co/Rkyutfq3RR,0.00012863000000001845
425122,0.49987109999999996,0.5001289000000001,RT @THR: LAX to Build Paparazzi-Proof Terminal Facility for High-Profile Fliers https://t.co/TRze1qCp59 https://t.co/GWP0IyxPd4,0.00012890000000009838
436600,0.50013036,0.49986964,2016 Marketing Calanders https://t.co/BwoMeo9iHW,0.00013035999999999603
127434,0.49986184,0.50013816,RT @StyleFashionHub: Cool Hair Style images -  https://t.co/4oza90FokH https://t.co/p3lMMny1FC,0.00013815999999999828
120966,0.500139,0.49986099999999994,Men's Abercrombie and hollister shorts lot size 32/33 - Bid Now! Only $57.0 https://t.co/hDLRmUlQvu https://t.co/5iZScs1pa0,0.00013900000000005575
