,neg_model,pos_model,text
382247,0.95587456,0.04412538,RT @oom_lott: Looking for ways to market your #business? #entrepreneur #startup #advice #smallbusiness #socialmedia https://t.co/8O47rqdK9F
258364,0.95523924,0.04476076,RT @FindCoolJobs: Find the latest local job listings in your area! https://t.co/vFEuETlyG7 https://t.co/znMrGJWoKo
426765,0.95513624,0.044863775,RT bitcoinagile: Is Your Startup Positioned Correctly? #bitcoin #fintech #startup #payments #OnDemand … https://t.co/UWOBmrpf2m
564053,0.9550421999999998,0.044957800000000006,RT @2igniteNL: Is Marketing on Twitter Worth the Investment? ~ http://t.co/vH5A5EQkXa #SocialMedia #Marketing #SMM RT @ellendustman
49108,0.9548620999999999,0.045137815,"RT @fbvideomarket: New #research : The Best Time to Upload #videos for Views, Shares https://t.co/uRNa0QxzEL #socialmedia https://t.co/btRi…"
555899,0.9546889000000001,0.045311037,What energy sources are growing the fastest? → http://t.co/h24zTrnSdX #SwitchToClean
341111,0.9546094,0.045390625,RT @JStolzenbach: What is growth hacking? http://t.co/H9k6bzIvXd via @thenextweb #innovation #startup #growthhacking
553302,0.95457536,0.045424648,RT @PixelsMovie: Get pixelated on an exclusive @ExtraLife4Kids #PixelsMovie poster! https://t.co/SOpNqkwk9F http://t.co/SYCV1QPq8k
498911,0.9544444999999999,0.045555465,"Looking for a job in #SantaBarbara, #CA? Concierge https://t.co/zRJF9XGK5R #jobs #hiring"
406351,0.95436305,0.045636925999999994,"RT @StylishRentals: 10,000 Stable/NON Drop/Fast Followers #twittermarketing for $20 https://t.co/t3DQrnLjuJ https://t.co/fidoFzuNG6"
413381,0.95414865,0.045851357,"RT @StylishRentals: 10,000 Stable/NON Drop/Fast Followers #twittermarketing for $20 https://t.co/t3DQrnLjuJ https://t.co/UhiP8erjJa"
81110,0.9541289000000001,0.045871127000000005,#ttalkradio How to choose a better business partner live now: https://t.co/JejlItanj1
442991,0.9541093,0.04589068,RT @W4TNetworkMkg: Do you want a job or a #onlinebusiness? There is a difference. #networkmarketing #workfromhome https://t.co/OE0lTexNxO
178749,0.9540965,0.04590355,RT @TheBookOfKilo: Streaming now http://t.co/bvJpHu4x2A Are you a Customer?  #yingyangtwins #kiloali #krazyswag #newmusic
