,neg_model,pos_model,text
2494522,0.027620537,0.9723795,"starting my job Monday, found out its not just until the end of summer. they're still gonna have me come in on Tuesdays and Thursdays #nice"
2252196,0.027718587000000003,0.97228146,Jus finished all this paperwork for this new job. I aint worked no REAL job in so long i aint gone kno how to act in that joint. Lol.
5546276,0.027742391,0.9722576999999999,Bittersweet shift... losing my favorite manager but I just got promoted to take over his job
6420393,0.027744584,0.9722554,Was late to my job interview (weather) got offered the job on the spot 😏👍🏻 today's a good day
5789744,0.027851882999999997,0.9721481,Walk in my interview at 8 nd was hired at 803 making 10.50/he plus gotta another interview later today man god is good all the time
3865158,0.028038794,0.97196114,I did a gig today where I got hired fired and rehire all in 30 minutes.
1677840,0.028058859,0.9719411,Friend told me about a job. 3 days afterwards I had an interview then Started work 2 days afterwards
3750030,0.028086702999999998,0.9719133,"Just found out I have to have a clean shaved face for this new job..... Damn, bye bye beard"
8918682,0.028231697000000004,0.97176826,"Got all my shit for cmu situated today, got a new suit and some bath and body works and now bdubs for dinner. Today's been hella good."
3226309,0.02823704,0.9717629999999999,been in then new office 2 weeks and just now finally figured out how to work my new desk chair.
8672372,0.028247152999999997,0.9717529,got asked to go out canvassing today &amp; i was gonna but i got called into work. i ALMOST feel bad about not having to knock on doors. ALMOST
173316,0.028300261,0.9716996999999999,That shit better not come out on a drug test...I got a job interview on Monday lmao
3272235,0.028308958,0.9716911,"New job today, after that I'm puttin the finishing touches on a project."
3507341,0.02832112,0.9716789,Got a letter in the mail about scheduling my preliminary dispatcher test AND had a part time job interview yesterday!
7629982,0.028344335,0.9716556000000001,Got a job offer today from Dakota Wesleyan even from out of the country. Now it is decision time.
1639321,0.028352346,0.9716476000000001,So accepted my job and started training and I friggen get offered another job today crazy
4256903,0.028366662999999997,0.9716333,A busy weekend. Some lows but mostly a great time. Now ready to own today by finishing this job in Del. I started Fri.
4447761,0.028369265,0.97163075,"8 hour shift done, got tipped since I worked catering, got the word that I will be promoted to line. Today was successful."
4559283,0.0283995,0.9716004999999999,Lost my job this morning but got 3 job offers this afternoon all with better pay. God is soooo good😭
