,neg_model,pos_model,text
1757212,0.96483207,0.035167977,"#Jobs Receptionist - https://t.co/APC1DLyC4X - Irvine, CA https://t.co/HcsvamHmwr"
7602674,0.964568,0.035431948,#TechFetch: SAP Solution Manager with #Supply chain experience with #Sales and Distribution ex... (#Washington) #job http://t.co/Hc7hRFlPNZ
3720249,0.9645645,0.035435546,"RT @elizabethfrisch: When teams work, they push your idea forward and energize you to accomplish your goal. https://t.co/kgzcOkgKtu https:/…"
4306960,0.9645645,0.035435546,"RT @elizabethfrisch: When teams work, they push your idea forward and energize you to accomplish your goal. https://t.co/kgzcOkgKtu https:/…"
5318795,0.9645453000000002,0.035454757999999996,#Help #Desk Tier II Washington DC needed in #Washington at Dell. Apply now! #jobs http://t.co/Ts8SJOi4bF http://t.co/zTsAKjav1G
813934,0.9643953000000002,0.035604697000000005,RT @linkup: Top 10 people to follow on LinkedIn to give your career an edge. http://t.co/gUMZGizbWL #jobsearch #career http://t.co/Zxt6ZnIZ…
3143183,0.9643905,0.035609465,"RT @elizabethfrisch: When teams work, they push your idea forward and energize you to accomplish your goal. https://t.co/kgzcOkyll2 https:/…"
7114550,0.9643876,0.03561241,#jobs4u #jobs Anchor/Reporter http://t.co/MnKjKxdQAD #COS #springs #CO
2189290,0.9643855,0.03561451,RT @WDFx2EU8: .@KelloggsUS sending jobs to Mexico https://t.co/JD5cfZiUDk
1138754,0.9643845999999999,0.03561534,# Corporate strategic communication through WI-FI network https://t.co/yUUR8NmpAt https://t.co/mXFqzu96PR
7484670,0.9643485999999999,0.035651427,# Corporate strategic communication through WI-FI network https://t.co/z33djXCm42 https://t.co/0cPFunFnkz
6887433,0.9643158000000002,0.035684228,"Sr. Java Engineer - TEKsystems, Inc - CA - Foster City (http://t.co/TjiAVeWCC7) CareerBuilder #jobs"
4798850,0.96427053,0.035729427,#Guest #Service Team Leader needed in #Encinitas at Target. Apply now! #jobs http://t.co/Vx9ilixyI7 http://t.co/X7Uk5fNJLf
3489543,0.9642044,0.035795577,#photography #news Multimedia Sales Account Executive: Make your mark in Broadc... https://t.co/JIvOjFDDaf #jobs https://t.co/5mXsl1CaiH
4821299,0.96416336,0.035836626,#Pizza #Hut Shift Manager needed in #Bakersfield at Pizza Hut. Apply now! #jobs http://t.co/eht0vr3kzZ http://t.co/NgbmOHm98x
8866436,0.9641506,0.035849373999999996,"We're #hiring! Click to apply: IT CLIENT ALIGNMENT SPECIALIST - https://t.co/ZTmgXAdGWV #IT #Birmingham, AL #Job #Jobs #CareerArc"
3525501,0.9641445,0.035855416,"#job #Career Linkedinfluence: Take advantage of Linkedin to drive traffic, generate leads and boost your revenue! https://t.co/dZeUPF2ZXk"
8979419,0.9641379000000001,0.035862125,"Facebook is hiring a #Network #Hardware Engineer, apply now! #MenloPark #jobs http://t.co/MQZ5Wqzviw"
1602838,0.9641226,0.035877448,"#Hiring a Key Holder in Owings Mills, MD - http://t.co/9rTh8sjBXa #jobs #prjobs"
3303669,0.96411794,0.035882063,"#Hiring a Key Holder in Arlington, VA - http://t.co/HIIcBi8tMq #jobs #prjobs"
239214,0.9641074000000001,0.035892583,"#Wireless Construction Project Manager #jobs #jobsearch #Florida: #FL-Jacksonville, RESPONSIBILITIES: Kforce ... https://t.co/iQvBoQP2BM"
