,neg_model,pos_model,text
3058504,0.0017060660999999998,0.99829394,Looking for a #Senior #Manager - Finance - Strategy &amp; Operations #jobs http://t.co/uZG1ZIBqrB http://t.co/PDUVj4tAYA
9023997,0.0017072585,0.99829274,"Looking for a #Senior #Associate, Financial Solutions #jobs http://t.co/fP4If6MICq http://t.co/sDlVHe127L"
7756170,0.0017077096,0.99829227,Looking for a #Security #Officer/SwingShift/Full-time/$13.50/hr #jobs http://t.co/3EZI3bkYNA http://t.co/5U1LGgnvf3
1244793,0.0017110825,0.9982889000000001,Looking for a #Senior #Field Engineer; Protection &amp; Controls #jobs http://t.co/yvPiwPvuhG http://t.co/BWi1D2Seex
1710001,0.001711255,0.9982886999999999,"Looking for a #Marketing #Assistant - Marketing, Promotions &amp; Public Relations #jobs http://t.co/a8ipzzFX5X"
1568801,0.001712934,0.998287,Looking for a #Email #Marketing Specialist #jobs http://t.co/SZoM79aQre http://t.co/VDC9XJvsfs
6400115,0.0017134447,0.99828655,Looking for a #FOOD #SVC WORKER (FULL-TIME) Job #jobs https://t.co/GxwgAC0rFt https://t.co/xi1GoxLOb0
4244776,0.0017138948000000002,0.99828607,Looking for a #Sr. #Associate Marketing Specialist #jobs https://t.co/RinyvfjmQP https://t.co/KXdON7IMzl
3966510,0.0017151362,0.9982849,#Cashier/Customer #Service/Stocker needed in #Olathe at Natural Grocers. Apply now! #jobs http://t.co/a4ZNDmIOoQ http://t.co/MmxJIaeRIx
2319213,0.0017161537,0.9982837999999999,"Looking for a #Community #Marketing Associate, Flashlight Event #jobs http://t.co/J8NFTwOLIp http://t.co/pbPq2Lr40Z"
2326206,0.0017165336,0.9982834999999999,"Looking for a #Community #Marketing Associate, Flashlight Event #jobs http://t.co/6dDhdSxqY9 http://t.co/DumqPYTO3A"
3956652,0.0017174161999999999,0.99828255,"Looking for a #Audit #Readiness Analyst, Mid Job #jobs http://t.co/aUf6hxDAIu http://t.co/k9eRiQpGnp"
7011253,0.0017176960000000001,0.9982823000000001,Looking for a #Experienced #Business &amp; Technology Consultant #jobs http://t.co/DGGgxIpFXi http://t.co/QYhE2nMVt2
1503346,0.0017190685999999998,0.998281,Looking for a #Customer #Service - Event / Retail Marketing &amp; Advertising Firm #jobs http://t.co/yBL64MA7lp http://t.co/OBQ3YGiHrP
8243070,0.0017195106,0.9982805,Looking for Extra #Income? Join Free! #SmallBusiness #ForeverLiving #Marketing #Business #WorkAtHome #Online #MLM https://t.co/h6bmujU4Et
7264083,0.0017197898,0.9982803,Looking for a #Sr. #Oceans Policy Advocate or Sr. Oceans Attorney #jobs http://t.co/LAYspy0LLc http://t.co/vkZ5dEF5ks
2323057,0.0017201685999999998,0.9982798,"Looking for a #Senior #Analyst, Ethics &amp;Compliance #jobs http://t.co/LxIfF8yesc http://t.co/zbY98PFdYt"
2335607,0.0017209786,0.9982790000000001,Looking for a #Senior #Manager - Catering &amp;amp; Events #jobs http://t.co/1H87nUUeag http://t.co/EDguXocqtH
1763200,0.0017211336,0.99827886,Looking for a #Nurse #Intern - L &amp; D - Pool #jobs http://t.co/9pYgwlaeFw http://t.co/Pf5OBMoeoU
2412532,0.0017221029999999998,0.9982779,Looking for a #Patient #Care Assistant - 5 Main Med/Surg - FT/Days #jobs https://t.co/CCLrwF10Jk
8751495,0.0017223324,0.99827766,"Looking for a #Customer #Care Analyst - Alpharetta, GA #jobs http://t.co/yqNlf8uaCf http://t.co/e61aF9liZP"
2342298,0.0017228074,0.9982771999999999,"Looking for a #Software #Quality Assurance Engineer, Mid Job #jobs http://t.co/nfanIijWED http://t.co/ZzGeH9vOTP"
3025982,0.0017230649,0.99827695,Looking for a #Deloitte #Digital -Digital Business &amp; Strategy Senior Manager #jobs http://t.co/vrBTFeDaFL http://t.co/2UGez1Idv3
4705114,0.0017234357,0.9982766,#Mentor #Recruiter needed in #SanMateo at The MENTOR Network. Apply now! #jobs http://t.co/1qrYkC8NKt
2334969,0.0017249541,0.99827504,Looking for a #Senior #Customer Success Specialist #jobs http://t.co/yDWsilnmEK http://t.co/hIauAFIMqT
2362838,0.0017250673000000002,0.9982749,"Looking for a #Senior #Product Manager, Digital #jobs https://t.co/fLZjQLkwVR https://t.co/pkBLJLUUCD"
727676,0.0017251626000000001,0.9982747999999999,Looking for a #Marketing #Coordinator #jobs http://t.co/4G37aNNtON http://t.co/HXfk76go5m
5290976,0.0017261887,0.99827385,"Looking for a #Community #Marketing Associate, Flashlight Event #jobs http://t.co/3YZZ3yVKj3"
959774,0.0017275097,0.99827254,Looking for a #ASSOCIATE #/ CORPORATE / PROJECT FINANCE #jobs http://t.co/pAdbNf5JW4
1487513,0.0017280128,0.99827194,Looking for a #Entry #Level Recruiter/Screener #jobs http://t.co/98sHYP5sGL http://t.co/fuFXtrFley
8043709,0.0017284234,0.9982716,Looking for a #Purchasing #Assistant - Parallon / Supply Chain #jobs http://t.co/RzyatO0Kmn http://t.co/8Z0sqmZJLF
7350378,0.0017288486999999999,0.9982711,"Need a #job? Proposal Coordinator needed in #Columbia, #MD https://t.co/Ruorkbqf8G #jobs #hiring"
2344292,0.0017302294,0.9982698,Looking for a #Supervisory #Public Health Analyst #jobs http://t.co/WachUZsRZB http://t.co/1ZA2x4ifNg
1253311,0.0017303606,0.9982697,#SanJose senior #caregiver #job openings APPLY PT/FT/Livein + Refer-a-Friend &amp; WIN $50 +T-shirts #tweetmyjob http://t.co/V4oZ5LAOcj
5421029,0.0017303374,0.9982697,Looking for a #Procurement #Specialist #jobs https://t.co/MEwMaWXfYL https://t.co/8g8xVpxwso
3903774,0.0017304725,0.99826956,"Need a #job? Customer Service Associate needed in #NorthMyrtleBeach, #SC https://t.co/movthuoF69 #jobs #hiring"
3948613,0.0017305647,0.99826944,"Rent A Wheel is hiring! #Assistant #Store Manager in #Atlanta, apply now! #jobs http://t.co/nblNpcBp9I http://t.co/4k62CruvVp"
4369223,0.0017306263,0.9982693000000001,"Looking for a #Assistant #Store Manager - Philadelphia, PA Proactive #jobs http://t.co/eZc1JaAlZN http://t.co/YjHyUVI05p"
1730799,0.0017307904999999998,0.9982691999999999,#Cashier #(Part Time) needed in #SanDiego at Petsmart. Apply now! #jobs http://t.co/4OC8Vuq9wZ http://t.co/xoUckPYjDl
7169855,0.0017308169000000001,0.9982691999999999,Looking for a #Dedicated #Specialist- Hiring CDL-A Truckers- $1K+ per week #jobs http://t.co/z0tP1Ioi1K
8067531,0.0017311670999999999,0.99826884,"RT @UnMask3d: 2 shirt designs we offer, order now! #augmentedreality #3d #entrepreneur #art #artwork #artist… https://t.co/HfUauihwM3"
1333897,0.0017311051000000002,0.99826884,"Looking for a #Internal #Audit - Reporting Analyst, Sr. - I #jobs http://t.co/CGEqFDimhu http://t.co/itmgyfc64O"
