,neg_model,pos_model,text
2412751,0.03208341,0.9679165999999999,I got broke up with while at work once. I just ran out the building. Called in the next day said I got hit by a car and I'm never returning
254766,0.032953046,0.9670469,Just got bitched out for giving a two weeks notice that I'm quitting.. I could have just left.
630889,0.033134878,0.9668651,I just quit today
6513608,0.03319334,0.96680665,Just smashed my finger at work. Fuck today.
1587100,0.03366728,0.96633273,forgot to mention today was the last day at work till holidays. I got hit on in the drive-thru... again
1551171,0.033844527,0.96615547,Went home at 10 last night because i was incredibly sick. Slept until 7. I don't work until 5 tonight. I have fucked up now.
7545878,0.034051426,0.9659485000000001,its been a month that i got fired.
4541653,0.034100156,0.9658998,Got my ass busted so bad in 2k right now. I just quit lmao. Never again.
8944592,0.03413769999999999,0.96586233,I got off work early and been pissed every sense !
7094496,0.0341676,0.9658324,Last night I busted my ass for 12 hours at work. Ain't even tired. Feet just hurt.
8983294,0.034249615,0.96575034,so I broke my finger last night. Doctor wasn't happy that I worked all day today
6117605,0.034390386,0.9656096,I got punched in the mouth trying to break up a fight today at work lol
5758021,0.03452311,0.96547693,I quit today
4217923,0.03452311,0.96547693,I quit today
2274158,0.03452311,0.96547693,I quit today
5789746,0.03452311,0.96547693,I quit today
6305005,0.03452311,0.96547693,I quit today
6743552,0.03452311,0.96547693,I quit today
8558990,0.03452311,0.96547693,I quit today
5403737,0.03452347,0.9654765999999999,I broke the printer at work. I'm an asshole.
258913,0.034651104,0.9653489,So just COMPLETELY humiliated myself at work. Was funny though
8039263,0.034663427999999996,0.9653366,And I almost quit last year 😂💁
1653692,0.034721683999999996,0.96527827,I almost quit this morning
8698831,0.03476231,0.96523774,At work on break just smashed some breakfast man that shit put me on my ass smh lol
6673194,0.034872368,0.9651277,Had a dream last night that I got laid off because I made to much money. I woke up laughing😆
3726162,0.034927837999999996,0.96507215,"almost broke down at work last night... wouldn't have mattered, i was alone anyway"
8031996,0.034962412000000005,0.96503764,So tired walked right past my fucking car when I got off work... Really dude. Really.
2118674,0.03507729,0.9649226999999999,Today I was late to work. Forgot my phone. Boss talked shit about me being late. Now I'm at home bored AF
764750,0.03509453,0.96490544,I fucked up at work again great
2415294,0.03514286,0.96485716,Just got called into work on my day off... fuck
8700083,0.035148002000000005,0.96485204,Just walked out on my job. Has been a crazy 4 years.
3983788,0.035166636,0.9648334000000001,Also just hit a girl in the head with a cup trying to maneuver my way through the tables so basically I'm quitting today.
6337843,0.035230506,0.9647695,I burnt my finger tonight at work and it hurts like a bitch
4535155,0.035233232999999996,0.96476674,I got yelled at for not helping with the house...I was at work since 9 this morning..
6847294,0.035256777,0.9647431999999999,Just dreamt I got told off at work so hard I started crying in my sleep + got mugged twice so that's where I'm at this morning already 😊
1031606,0.03529847,0.9647015,Tried to hit it and quit it but your so bad I fucked up and got addicted.
3056550,0.03534372,0.96465635,I almost quit my job today that's how aggravated I was 😤
1525376,0.035353936,0.9646459999999999,I hardly slept last night and got told my Wednesdays got cut at work today to make room for a new girl.  Fucking wonderful
5750330,0.03539299,0.96460694,I quit smoking today
2922103,0.035419412000000004,0.96458054,Lol nahh I quit drinking today..
5467023,0.035558134,0.96444184,Just got off work. So tired I even forgot to eat
7126267,0.035566196,0.96443385,I used up my rage quit today 😭
760917,0.03563076,0.96436924,Just got kicked out of a club for my ass hanging out. I quit life man.
2852846,0.035642434,0.96435755,I just got iced at work. rude.
5189166,0.03564751,0.9643525,I basically quit yesterday
6100745,0.035701625,0.96429837,Wife had to work late so I played super dad today and killed it. Definitely deserve a beer now.
1834006,0.035707355,0.9642925999999999,I just got beat up by mosquitoes
4284621,0.035773877,0.9642261000000001,"Went to work with the tail end of a migraine today. Came home, looked in the mirror &amp; realized I went without makeup. Sorry I was so scary."
6941218,0.035833135,0.9641668,Came into work on my day off voluntarily. ..clocked in and instantly regretted it
1104322,0.03585677,0.9641431999999999,Quit my job last weekend and I can honestly say it has taken so much stress from my life
7258639,0.035928233999999996,0.96407175,Just threw up from being dehydrated.... gotta love work!
6575669,0.03598921,0.9640108000000001,got into some shit...working my way out.
7546357,0.03601779,0.9639822,pretty sure I quit coffee on accident.
7762588,0.036034305,0.9639656999999999,Almost just quit my job today because I couldn't find a parking spot after lunch.
5680142,0.03604356,0.9639564,"Not too long ago got off work, and I can't sleep.."
3539894,0.036059264,0.9639408000000002,Pretty sure I got fired lastnight.
4622597,0.036062073,0.96393794,Lost my wallet this morning on the way too work but I got it back with everything in it 🙌🏾
607232,0.036080815,0.9639191999999999,Broke a nail at work and I'm pissed
4881959,0.03608727,0.9639128,My boss drove me home today from work cause of this vertigo stuff. Kinda embarrassed
5989105,0.036185708,0.9638143,Pretty much sure I'm getting laid off cause my boss be sending me home early..
6338038,0.036187578,0.9638124,Got called off work when I was half way there.  Pissed af
3558801,0.03620426,0.9637957,Just puked at work.. Fuck my life
7101964,0.03624321,0.96375674,I got fired on my day off 😂😒nbs tho
4589348,0.036305275,0.96369475,Just got yelled at by the subway worker for getting american cheese on my sandwich... He's concerned for my health
4727130,0.036326356000000004,0.9636737,"Probs gonna get fired today, but I was gonna quit this week anyways"
9167991,0.03633041,0.9636696,I fucked up at work a lot on Friday.
8619302,0.03633979,0.9636601999999999,"On top of everything else going on at work, had a major outage today. Just got home now..."
1113483,0.036342017000000004,0.963658,got called racist at work today because I denied two people their alcohol for not having any idea
6822811,0.036373056,0.963627,Got off stupid early and I don't work tomorrow
7651470,0.03638564,0.96361434,Got called off work for the first time ever and I'm not happy about it🤗🤗🤗🤗
5979045,0.036400456,0.9635995,Got repremanded at work for the first time today.. lol I hate that feeling
7703775,0.0364066,0.9635934000000002,"Also had an accident at work, I was hit really hard on my shoulder and I had to bite my tongue so I wouldn't scream. MY SHOULDER IS SWOLLEN"
5386200,0.03640986,0.96359015,Mad I fucked my knee up at work
3229612,0.03641481,0.96358514,I got caught fake beating off at work today and I hugged a Korean woman
5159182,0.036440317,0.9635597,Burnt myself so bad at work last night 😩😩
8874066,0.0364791,0.96352094,Got to work almost 40 minutes early. Chain smoked. Now I'm hacking up my lungs. RIP me.
1579324,0.03648758,0.9635123999999999,I spent my 4th fucking up. I shoulda called off work man.
6494250,0.036494117,0.9635059000000001,Came home from work yesterday and fell sick within a few hours. Woke up today feeling worse. I'm hiding in my room today.
6552884,0.036523238,0.9634768,I lost my job last night. Picked up my paycheck with 35% of it gone already cause Uncle Sam ain't get paid yet.
8767398,0.036530152,0.9634698,my job really got me fucked up tonight..
911856,0.036537953,0.96346205,"called out of work today because I think I'm dehydrated
which I told my manager
so I'm pretty sure she thinks I'm hungover"
7288225,0.036562199999999996,0.96343786,"Just got ash in my eye, about to quit smoking again smh"
8846837,0.03656274,0.96343726,I got sunburned at work today. Wasn't expecting that!
6776063,0.036578648,0.96342134,Bored at work. Just spent last 30min cleaning my car windows.
8335883,0.03658023,0.9634198,Decided to get super stoned before work today
1992176,0.036585525,0.9634145000000001,So pissed I got work at 7 tomorrow morning -.-
8536220,0.03659961,0.9634004,"Almost died from a coughing attack last night, should prolly quit smoking....but I won't😂🖕🏽"
3689735,0.03664606,0.963354,Left my wristlet at work yesterday and I just realized it.
2442170,0.03667083,0.9633292,Actually I got fired
1656267,0.036678300000000004,0.9633216999999998,"My stream's so bad I thought ""Fonseca"" said ""Francesa"" and I got fired the fuck up for no reason."
3564706,0.03669294,0.9633071,"Sorry for the rant but fuck my ears, septum and my nose ring. I quit."
1779507,0.03669978,0.9633002,So I slipped on my ass walking out of work today
7242855,0.036713615,0.9632864,Just ruined my workout...
1443006,0.03674105,0.9632589,"Worked non stop from eight this morning, just got home and earnt 30 quid, mum is mugging me off"
2538680,0.036769558,0.96323043,Woke up this morning at 6 thinking I was late for work till... Paul reminded me I was off today. Lmao.
396068,0.03677275,0.9632272,So I messed up my elbow at work today 🙄
3427820,0.036777699999999997,0.9632223,i just got fired
8044501,0.036802266,0.96319765,"I had the longest day.. My dog died, work was horrible. All I wana do tonight is smoke and drink!"
5974932,0.036806777,0.96319324,Well fuck. Lost my job. What a great Monday.
8966386,0.036818676,0.9631813,"So today was shitty, I got moved because I talk too much and never finish my work"
3712074,0.036822584,0.96317744,"welp, I just majorly fucked up at work.  Time to get chewed out"
9141004,0.03683625,0.96316373,About broke down and cried at work today. I'm tired of feeling constantly belittled.
59593,0.036841106,0.96315885,i just got fired for having threatening phone calls made to me at work
4544634,0.03684593,0.9631540999999999,Fuck. Just got laid off from a job J really loved. Kinda don't want to finish the rest of the day now
3823216,0.036864754,0.9631353000000001,Had to leave work 4 hours early because I aint shit today and I feel like a flaming bag of poo. I also feel guilty as shit.
1847152,0.03687221,0.9631278,Really got cut two hours early from work.. I hate how slow it's been.
2898995,0.03691739,0.96308255,I actually quit drinking for a while. Gonna get trashed for my bday in July tho.
5231805,0.036926247,0.96307373,Got off work early yesterday and had to stay late tonight. I jinxed it....
5841547,0.03692646,0.9630735,So sick I had to leave work early kinda day.
7676592,0.036933582,0.9630664000000001,I just had a woman throw up on me. I quit.
1961199,0.036935814,0.9630642,Just woke up thinking I was late for work thinking my boss is going to fire me 😅
2853754,0.036940638,0.96305937,"I'm back to work today, but still coughing terribly. I got flirted with by a 76 year old man. He offered to rub vicks on my chest..."
1134063,0.03694593,0.96305406,"I got bit by a mosquito yesterday, first bite all summer. I swear you would've thought I was dying. I flipped out."
800003,0.03694783,0.96305215,Just got called racist while being at work.
8707749,0.03694945,0.9630506,No Homo: dude at my work gave me a dollar today. I tried to not take take it so he stuck that shit in my pocket. Felt violated.
5728013,0.036958545,0.9630414,"Got out of work late, fell down, burnt my tongue on a hot pocket, and gotta be back at work again in about 9 hours. Not my night😔"
7088856,0.036970165,0.9630298,"So tired today I fell asleep in my chair while at work. The best part, no one noticed. The sad part, no one noticed."
5116414,0.036975327999999995,0.9630245999999999,I just quit.
5416116,0.036992416,0.96300757,Some lowlife broke into my car today while at work and I'm not even mad at them. Just fucking livid.
24885,0.036999084,0.96300095,"i got fired today, which is a blessing"
6735181,0.03700558,0.96299446,just got my last warning at work before getting fired for my attitude.... eat a dick!
6048989,0.03701259,0.96298736,I accidentally said fuck on the intercom at work yesterday.
7443509,0.037044175,0.9629559000000001,Almost quit my job today cause they didn't want to pay me..
6450437,0.037044235,0.9629558000000001,"I got beat the fuck up at work last night, fell getting there, caught a burn, misjudged the leverage on a box and dropped it on my head 🤕"
7223466,0.037080072,0.96291995,"hella lit yesterday, called off work and the whole shit"
6518253,0.037095077000000004,0.96290493,Last night I had a dream I was late for work and tried to fly a rocket to make up time. It crashed and I was late and fired.
2690582,0.03711144,0.96288854,I owe money on my taxes this year. I quit.
5024645,0.037120827,0.9628791999999999,Quite upset about this loss today. Not happy with my performance. Kinda ruins the whole day.
8979593,0.037122753,0.9628773000000002,I'm still fucked up about my aunts death the other day. 😓 damn near broke down at work..
8215744,0.037131872,0.9628681,I slayed my face this morning. I kind of wanna skip work and just let somebody nigga state in my face all day
1442620,0.037137106,0.9628629000000001,Left work 30 mins early today and decided not to cook dinner. Clearly I'm exhausted.
5392082,0.03713744,0.96286255,I lost about half a pack of smokes 4 days ago. Haven't had a cigarette since then. Feeling pretty optimistic about quitting this time! :D
6867882,0.037152845,0.96284723,Almost quit smoking but then I got cheated on
5642212,0.03716399,0.962836,My boyfriend called me his exes name today and i had a shitty day at work and got rear ended on my way home. Fab. 10/10. Great day.
272216,0.037177753,0.96282226,"Was off work all week last week. First day back today, not looking forward to it!"
3062682,0.037189566,0.9628104,I got tore the fuck up by mosquitoes yesterday 😞
8334097,0.03720086,0.96279913,Just got out of work and I want to get shitfaced
3823159,0.037201922000000005,0.96279806,"Just got sent home from work. Didn't like that, so I quit. Is that impulsive or what!?"
3572007,0.037234724,0.9627652,i straight busted my ass at work...
4990745,0.037260566,0.96273947,I almost got fired today for fighting 😭😭😭😭
5640083,0.037265576,0.9627344000000001,"Got sick at work, car breaks down and my dryer breaks. Today just hasn't been my day"
2042111,0.03727233,0.96272767,I just found out that Mrs. Wood got laid off and i'm crying
2462455,0.037326793999999996,0.9626732,Worst night of my life last night. Then I get called into work this morning
1660449,0.037333168,0.96266687,Spent a few hours at work yesterday 4 children's ministry. Ran out of gas quick. Still got out of the house &amp;i am getting better bit by bit.
3599767,0.037336655,0.96266335,My job really gave me off today...and i got nothing to do lmao
6609696,0.03736236,0.9626376,I literally just quit my job yesterday and got an interview today.
1152082,0.03736434,0.96263564,What fucking lame night.. And I just got outta work... Sad
7248408,0.037375443,0.96262455,Just got handed liquor at work...
3511463,0.037377954,0.96262205,I just got fired for my choir dress and my measurements were 32 - 26 - 34. I'm so skinny fml.
1722879,0.03738141,0.9626186,I peed twice since I been off work and I been in traffic for a hour..
8866034,0.037382595,0.9626174000000001,I'm late so I quit today
5870393,0.03742826,0.9625718000000001,I quit today. Going to sleep and starting again tomorrow
1064683,0.037431706,0.96256834,Got sent home from work because I'm having an asthma attack and almost passed out
6779767,0.037447717,0.9625523000000001,Today I got called off work and I love my life.
8571454,0.03746546,0.96253455,Well I just got fucked over at work. I have to close now
112257,0.03746785,0.9625321,Just cut the shit out of my thumb on an old guitar string. Smh I quit for the day 😂😭
6683578,0.037475827999999996,0.9625242,"Oh yeah, definitely broke my foot at work last night. Going to the doctor..."
7259150,0.037494667,0.9625053,Got called into work.. My ass negro
8886772,0.03751133,0.9624886,I tried to quit today and my boss told me no🙄
6084671,0.037523367,0.9624767,So since my car blew up I've had to bring lunch to work. Well I forgot mine fml
3691381,0.037546497000000005,0.9624535,Felt so sick all day. Came home from work to take a nap and just woke up from my phone blowing up.
5407502,0.037557464,0.9624425999999999,So blown I just got fired
1985231,0.03757477,0.96242523,I'm legit so sick that I called out of work today... I never do that...
5641651,0.037583616,0.9624164000000001,"Burnt my pizza in the microwave at work..... 

So hurt fam"
7701335,0.037584203999999996,0.9624158000000002,Quit my old nail tech in December.  Now I got a break in my nail.
6186710,0.03758734,0.96241266,Just got off work and I'm beat.
2458656,0.037597727000000004,0.9624023000000002,Did fuck up last night though by eating corn nuts after work at like 12 am lol
7326768,0.037598692,0.9624013000000001,I got fucked up by a mosquito
4630043,0.037634186,0.9623658000000002,Pretty sure I just ran out of work for the day...
8986881,0.037637915,0.96236205,Havent worked out in a few days and already got tits. Too much dairy. Going to kill myself at the gym today.
4800227,0.037644643,0.9623553,Just got off from Mcds..actually tired as hell..Lol..I worked. Usely I slack off
6651598,0.03764884,0.96235114,Just out the door on my way to drop Manny off at my mothers before I go to work. I was out sick yesterday with this damn cold.
4771040,0.037658524,0.9623414,A rat just bit me at work. Fuckin gross.
1682037,0.03766511,0.96233493,I got elbowed in the boob at work the other day and it still really hurts 😕
6958372,0.037667327,0.9623326999999999,My ass just got grabbed at work.
6916583,0.037667412000000004,0.9623325999999999,I fucked up volunteering to work today
4586928,0.037674826,0.9623252,"Kinda mad I got sent home from work, kinda not."
7005911,0.037677888,0.9623221,There's ice on my windshield. Fuck this I quit today.
5820273,0.0376796,0.96232045,Fuckin' Apple. Dropped my phone on the way into work today and smashed the glass on the back of my phone.
2826837,0.037683185,0.9623168,I was joke around about being laid off at work
113589,0.03768524,0.9623146999999999,Just decided to quit one of my jobs. Happy Monday.
1538327,0.03771412,0.9622859,I busted my ass at work today 😂😂😂
5382745,0.037714187,0.9622858,I legit almost lost my job cause of it..
3735745,0.03771438,0.9622856,I just got fired lol fuck
255568,0.03772357,0.9622764000000001,Ate most of my battery at work today. Down to 34%. Gotta get off my phone. And I’m hungry. And gonna leave.
4003839,0.03772517,0.96227485,So I just lost a job today
7244147,0.03773026,0.9622698000000001,I quit today 😩
6677135,0.037736733,0.9622632999999999,"Suddenly got so nauseous at work, had to rest out the class for a min n take lunch early. Not cool"
966711,0.03775736,0.9622426,I left work early today because of these sinuses.. they ain't getting better.
7930241,0.037762377,0.96223766,I just got let go from my job. Lmao.
3918203,0.03777176,0.9622283000000001,I fucked up at work 😂😂😂
2430209,0.037782334,0.9622177,"This weekend sucked. worked all weekend, ripped a part of my nail off, got some nasty bruised, and got bit by a nasty ass cocker 😡"
4418227,0.037783507,0.9622165000000001,I busted my ass last night at work and holy shit I like a car ran over me
6823166,0.037784882,0.9622151,Got sent home sick from work so i guess i get to play Skyrim all day
1306176,0.037785374,0.9622146,I wanged my head last night at work when the store gate fell on me... Fuck this job
2124249,0.03779653,0.96220344,"Stayed up all night and went to work. Ended up staying late, I have to go in early tmrw and stay late again. Fucking kill me"
6770724,0.037798315,0.96220165,Worked out or the first time in 4 months. Think I injured myself
3806524,0.037804425,0.96219563,"A fucking engineer called me a bitch behind my back today, well got kicked off the job site cuz I threw a hammer at him."
981347,0.03781145,0.96218854,I think I messed it up yesterday working out. . .
2470548,0.037822396,0.96217763,I quit drinkin starting today....
8030595,0.037838224,0.9621617,Unemployed and also just realized I have a fat chin.
3848143,0.03785664,0.9621434000000001,So on the way to work this morning I had my first car accident... Been driving all these years never hit anyone...
7152184,0.037861917,0.9621380999999999,Just got off work . My feet hurt .
6952993,0.037861917,0.9621380999999999,Just got off work. My feet HURT.
9193359,0.03786492,0.96213514,I fucked up so bad at work 😭😭😭😭😭
3221121,0.03788501,0.96211493,Almost got fired on my day back to work
3424723,0.03789098,0.96210897,Too fucked up last night didn't even go to work this morning
6061931,0.03789648,0.96210355,I walked outta work to this ugly sky. Weather been trash this week
1587970,0.037902877,0.96209717,Completely ate shit at work today and shattered two glasses but it was the funniest thing ever so I ain't even mad
6242252,0.03790432,0.9620956,"Just got back from first day of school!
I am quitting my job because it got me late and kept me up for like 2 days!
Twas great besides that!"
5471861,0.03790628,0.9620938,I almost got fired today 😳
2591113,0.037911423,0.9620886000000001,"Tatted my face, quit my job, went broke. But I been lovin' everyday a little more. 💁🏻😈💜"
7104802,0.037912022000000004,0.9620879999999999,On leave from my job... And just got called to work my old one real quick. Smh lol
261462,0.03791272,0.9620871999999999,"Alarm went off at 7 because I forgot to change it from work yesterday... Ruined a perfect sleep, not cool"
5317538,0.03791496,0.9620850000000001,I got fired on my day off
2477914,0.03793994,0.9620601000000001,Literally just got my ass handed to me at work.
6998627,0.03795457,0.96204543,Should have just quit last year
1796707,0.03795772,0.9620421999999998,I fucking sprained my foot at work yesterday 😑😒
2338818,0.037964974,0.96203506,Threw up at work today because this bitch stunk so bad
7599324,0.037973385,0.96202654,Dying at work. Got some lime in my eye while cutting it 😩😩😭
1100044,0.03797709,0.9620228999999999,"Went to work this morning and just got off , pathetic"
2590578,0.037989404,0.96201056,almost shit my fucking pants because I thought I locked my keys in my car at work
6648982,0.03801453,0.9619854999999999,Finally didn't feel sick today and was heading to work..... And threw up on the drive in. Great.
9104429,0.038017035,0.96198297,Took off from work today because I'm tired
5365142,0.038018413,0.96198153,My job screwd me over today
8555329,0.038027998,0.96197206,"Just got home from work, I am dirty as fuck and wore the fuck out!"
3595685,0.03803886,0.96196115,I just got out of work &amp; I have to shave.
6901133,0.038044023999999996,0.96195596,Just got into a car accident. Tried to watch this video again to make happy. It didn't work.
6673739,0.03805804,0.96194196,I got a migraine last night at work and blacked out for two hours...so that's new
4415694,0.038058706,0.9619413,Kinda pissed I burnt my arm at work.
3195648,0.038091086,0.96190894,"Everything hurts.

Worked out way too hard yesterday. Also beers."
395537,0.03809554,0.96190447,I tried to quit my job yesterday and my boss said no lmao
3456377,0.03810711,0.96189284,Almost lost a finger at work lol... Thank God I wasn't wearing my ring today
5515612,0.038113534,0.96188647,I almost crashed today on my way to work and this old man just looks points and laughs at me cause my car went side ways😒😳 tf
3017022,0.03813204,0.9618679,Just got off of work tired and bored
7253569,0.038137846,0.9618621999999999,Just gettin off work... I was supposed to been off 45mins ago..
2213321,0.038146105,0.9618539,Got called into work on my day off. Almost got in an accident on the way to work. Spilled my coffee and dropped my sandwich outside. Solid.
1505936,0.03814773,0.96185225,"Doing studio work all day today.

Someone hit me."
8953644,0.03815058,0.9618494000000001,Came to work today and I regret it already ...
4267835,0.038160905,0.9618389999999999,I busted my ass work today
3128893,0.038161106,0.9618389,Quit my job thinking i had the other in the bag. Long story short.....i had to go on unemployment last week. Good news is i found another job so there you go
3907059,0.038180795,0.9618191999999999,"Got called off work because of the rain, mean while I'm broke and I have bills... fuck"
2584620,0.038184438,0.96181554,"Yeah, I got laid off today because of some faggot dooshbag that turned into a bitch."
3950358,0.038192004,0.961808,I think I just got fired lol
4580070,0.03819712,0.96180284,Just got someone fired for trying to try me 😊🙃
7671314,0.038200054,0.9618,Just napped so hard that I thought I overslept and was late for work Friday morning lol
2917744,0.038201402999999995,0.96179855,i got fired on lol by two ugly bitches at the same time
2542269,0.03820991,0.9617901,I bust my ass at work today lmao shit was embarrassing
8435238,0.038215086,0.9617849,"Got sent home from work early because my cough sounded ""bad."""
291827,0.038215086,0.9617849,"Got sent home from work early because my cough sounded ""bad."""
4254871,0.038215086,0.9617849,"Got sent home from work early because my cough sounded ""bad."""
2977328,0.038215086,0.9617849,"Got sent home from work early because my cough sounded ""bad."""
7338848,0.038215086,0.9617849,"Got sent home from work early because my cough sounded ""bad."""
3005629,0.038216025,0.961784,"10 years ago today, I quit smoking, not even a drag since. Never regretted it for a minute."
7151920,0.03821696,0.9617829999999999,Just now got out of work.  So exhausted.  Two more days and then I'm off this weekend.
4564636,0.03822012,0.96177995,I hit myself in the face with a door today at work 😑😑😑
2890325,0.03822432,0.9617756,I have probation today so I had to call out of work . Sketchy much
8491677,0.038224436,0.96177554,got really sick after work this morning and slept all day. my sleeping schedule's fucked up now. thanks obam
1288760,0.03823117,0.9617688,This am my coworker showed up late for a meeting.  Sweater was inside out.  Blamed his wife.  Haha.  Dude's a mess.
6513286,0.03823164,0.9617683000000001,"....I quit, just gonna turn my phone off now."
4506340,0.038237166,0.96176285,Lazy niggas bug the shit outta me. Almost got in a fight at work.
2974841,0.038240623,0.96175945,Just got triple penetrated by my boss. Might have to pull the old Quit before I get Fired routine.
5156082,0.03826448,0.9617355,Today on my way to work I was almost hit by a church van. I feel like that's an omen...
462399,0.038266636,0.9617334000000001,I cut my finger this morning at work shit was bleeding foreverrrr
4612327,0.038277942999999995,0.961722,I was nearly crushed by a semi on my way to work today. Legit thought I was going to meet Jesus. Saw my life flash before my eyes. 🚗🚚💥😳😱
6016092,0.03828226,0.9617177,I just got home from work and realized my turtle died 😪. I’m fucking sad.
3887991,0.038283557,0.9617164,I quit today.
6481199,0.03829601,0.96170396,Friday night and I just got off work. So lame.
1648362,0.038298592,0.96170145,Got sent home from work today for puking. I just wanna cry 😭😭😭
