,neg_model,pos_model,text
2680450,0.02792957,0.9720704,"I was so adult today. Got my new car registered and fully legal, And got a haircut and a lunch all by myself"
3200558,0.028463328,0.97153664,"Been reaping the benefits of being a salaried employer since 6:30AM.  Basically been working for 18 hours, put together cozy coupe in btwn"
5063997,0.028725715,0.9712742,So I picked up a shift tomorrow cause this town is gay
856004,0.028784808,0.9712152000000001,THIS IS MY #September11 #9/11 STORY On September 9th 2001 I was hired and begin my job as a maid at the hotel that https://t.co/0ZHfi7YJlG
5145477,0.029069942999999997,0.9709300999999999,was supposed to start training as a bartender next weekend but i've been slangin' bloody marys all god damn morning.
8318946,0.02925528,0.9707447,"My poor mom's been stressing out that she relayed the message to this guy about going to work at Baileys, the guy got hired last monday"
8600675,0.029625582,0.9703744000000001,Got told I needed to work as a waitress at two different people's restaurant today. 😊
8263467,0.029651817,0.97034824,"I start school tuesday, this summer went by fast!"
7825409,0.029674752000000002,0.97032523,"Got approved for a new car today, then got told I was going to be laid off, just got a call saying since someone quit, I get to stay. 🤷🏽‍♀️"
1515214,0.029868557999999996,0.9701314,"I just called in for another interview, but I just got hired. I wish I could have 2 jobs at once."
3204495,0.029917173,0.9700828000000001,Finally got in and had my eye appointment. Got some stylish new spectacles on the way.
2095666,0.0299267,0.9700733,Finally got that call riding out Sunday be in Gonzales Monday.
3506477,0.030026117,0.9699738999999999,"got my license, got to see Easto in short shorts, and got into the first orientation session today was alright"
8036720,0.030114746,0.96988523,last final done and got my watershed ticket so it's a good ass day
1833458,0.03012615,0.9698739,"I am now the new assistant coach for JV baseball at Mott. Greatest part is, Sammy is on the team."
406069,0.030162777999999998,0.96983725,Just made the appointment to get my license on my birthday 😍😍 I'm so excited.
2160542,0.030194527999999998,0.9698055,got a new mattress tonight and it will be delivered next Friday morning 😊😆👍 #cannotwait #excited
4199499,0.030195102,0.96980494,came to work feelin great in a pretty white maxi dress and the first thing I get told is that I look like Julius Caesar lol
497714,0.030205283,0.96979475,Got called into work tomorrow... That'll make 8 days in a row I've worked... It's a good thing I like my job
