,neg_model,pos_model,text
9066391,0.9645645,0.035435546,"RT @elizabethfrisch: When teams work, they push your idea forward and energize you to accomplish your goal. https://t.co/kgzcOkgKtu https:/…"
5117426,0.96426666,0.035733305,#warriors from the pacific ...#nba http://t.co/CfXHVkhUeP                                   http://t.co/sx8htOoqTB http://t.co/mhkReMqsE9
7855564,0.96424496,0.03575505,#CareerCast: Talking Yourself Into A #Job - http://t.co/o9QqFv4xhT #GetHired http://t.co/0wrCftNeyJ
5132056,0.9642045,0.03579547,http://t.co/DufefnW5tS Files for $75M IPO to Grow the Connected Home http://t.co/oORkeC3q4p
2799551,0.9641665999999999,0.035833426,RT @Mediafly: The right #enterprisemobility tools demand an educated workforce to properly leverage your chosen software http://t.co/vRW087…
1973601,0.96411616,0.03588388,#DataCablingInstallation King Com Cable Networking #E-Rate service provider http://t.co/GK8u2yFXZJ http://t.co/uzxq2FgBFc
1514720,0.96404725,0.0359527,RT @OnPointRadio: Attention recent graduates: there really ARE jobs out there for you. http://t.co/CCfuxs0Zjl http://t.co/ZLzsthcPtc
7870623,0.96402097,0.03597901,RT @BryanZwan3: RT http://t.co/CFiaMMicZE Paving the Road to Success http://t.co/AayTUpmZuU  #business #coaching #goalsetting #habits #mind…
2647072,0.9639622,0.036037783999999996,"#CarolStream, IL #ProjectMgmt #Job: Solution Architect-Cloud Solutions at Zones http://t.co/CgFuAKAm0m #Jobs #Hiring #CareerArc"
6019539,0.9639429,0.036057099999999995,"Article via @NetworkWorld | Majority evolved as #virtualization has matured, but network needs change. h/t @petebart http://t.co/UGjpChESXZ"
1461506,0.9638546,0.036145408,#jobs4u #jobs #IN Full Time Route Delivery Driver https://t.co/dH2KAfnZdb #IND #indianapolis
3393648,0.96382093,0.036179055,"Build a strong #online #network. Check to see if your exclusive domain is available 
#CEO 

https://t.co/Rxkgup4kqH https://t.co/SUtep1dTfb"
7190109,0.96380633,0.036193684,"#Hiring a Internal Communications Specialist in Washington, DC - http://t.co/tOOesR8PPF #jobs #media"
7249858,0.9637694,0.036230627,"If you're building a #socialmedia strategy, know your networks. https://t.co/XMuqjNmWzq via @addthis #SMM http://t.co/LPBzeIfMlS"
6018129,0.9637313,0.036268767,#WEBSITE TECHNOLOGYFacebook: Over A Billion Unique App Links Enabled http://t.co/XeiIY44Wn1 http://t.co/IpFDq4ykuS
692603,0.96370006,0.0363,"#Leedo is looking for Field Managers in multiple regions. Apply today!
#multifamily #jobs http://t.co/yb4v0oTKpO http://t.co/FXxNPMQ9ef"
2652762,0.96365255,0.036347452999999995,"#Production #Engineer, Intern/Co-op needed in #MenloPark at Facebook. Apply now! #jobs http://t.co/zbS9yXtOPa http://t.co/rbxi0uEKH7"
3637825,0.9636491,0.03635083,"#AmazonFulfillment: #Front End #Software Development Engineer (Platform Group, Ubiquity) in #Newark #job http://t.co/8zjTYErFdu"
8764491,0.96363926,0.036360774,"#CarolStream, IL #IT #Job: System Engineer- Cloud Solutions at Zones https://t.co/86YlIvtjih #Jobs #Hiring #CareerArc"
163413,0.96361303,0.036386926,#Content #Marketing Growth Teams 101: What you need to know before building a #growthteam https://t.co/ywWwiRNhUY… https://t.co/igzhgVJIjf
844363,0.96360207,0.036397878,RT @Mediabistro: What's the most important product for you to promote? Yourself. https://t.co/w26KSAyYkm #careeradvice https://t.co/d6GVsPU…
9286205,0.96359676,0.036403198,Make your #resume tell a story. https://t.co/THEjefn3WY via @dailymuse #jobsearch #resumetips
7072494,0.9635761999999999,0.036423832,#sf Sr. Software Engineer - Video Expert http://t.co/Eqm0NEvK #mobile #jobs
7689657,0.9635536,0.036446407,#den Branch Manager - Landmark Branch http://t.co/B1WN2xq7f4 #design #jobs
8951029,0.9635256999999999,0.036474347000000004,"#hiring Software Engineer asap in #MenloPark, #CA https://t.co/LF8gTZnkBr #jobs #job"
8656102,0.96351975,0.036480255,"24 Seven #Sales #Job: Business Development Manager - Beauty (#LosAngeles, CA) http://t.co/VHEbJRsdGV #Jobs #Hiring #CareerArc"
436064,0.96351665,0.036483355,RT @jobs4ORL: #jobs4u #jobs Area Sales Director http://t.co/uDp9gzP3Qf #ORL #orlando #FL
7232452,0.96351445,0.036485612,WEB DEVELOPER - INT Technologies - CA - San Francisco (http://t.co/NekxpDptzj) CareerBuilder #jobs
5231453,0.96350366,0.03649629,#jobs4u #jobs #IN Project Manager http://t.co/SIMP1kFUX9 #IND #indianapolis
1968279,0.96349794,0.036502063,#jobs4u #jobs #IN Customer Greeter Administrator http://t.co/UVTEUjS281 #IND #indianapolis
1072868,0.9634739,0.03652606,"#A10Networks is looking for Network Engineer (101902). Learn more, RT, or send resume to careers@...
https://t.co/gD6kKIY23X #job"
782632,0.9634684000000001,0.036531635,RT @SecondChanceJob: Job Search Tip: Expand your opportunities by getting your CDL. Search over 700 programs https://t.co/MMJvbyy8De #jobs…
6867924,0.9634521,0.03654792,RT @branchfood: #Startup @Crunchbutton in #NC delivers from area restaurants who don’t offer delivery themselves. http://t.co/PSoJzWxqkK vi…
3747375,0.9634476000000001,0.036552392,"See our latest #Minneapolis, MN #job and click to apply: Java Full Stack Developer (ASE4) - https://t.co/mraOfirH22 #OpenSource #Hiring #CareerArc"
2445567,0.9634314,0.03656858,"Check out Creative Web Application Developer in (#Boston, MA) #job https://t.co/VQSGEg3eSS"
615670,0.9634096999999999,0.036590315,"#Marietta, GA #Cosmetology #Job: Hair Stylist at Great Clips https://t.co/4zNPXJ3cY1 #Jobs #Hiring #CareerArc"
