,neg_model,pos_model,text
7193448,0.049780215999999995,0.9502198000000001,Haha I'm indefinitely laid off
4451332,0.04982462,0.95017534,BROWN RECLUSE IN THE BATHROOM AT WORK LETS JUST SAY I AM NOW UNEMPLOYED
526061,0.050310478,0.94968957,Buddy used to love me but now I'm an abused wife.
8085225,0.050315183,0.94968486,I'm paying rent they really expect me to go home for 30 days yall parents must be paying yall rent or something cause I'll be damned
1619846,0.050459,0.94954103,Fatemas mom texted me to tell me I'm ugly ... Oh alright lol
1106155,0.05049006,0.9495099,ok why do i get yelled at for nothing ???
7190173,0.05051306,0.9494870000000001,I smoke I drank I suppose to stop but fuck it...
7063772,0.050536584,0.9494634,My mom just heard me say I kill my self and thinks I'm suicidal... Now mom I just think I'm funny
7005573,0.050579537,0.94942045,"it's funny because i feel like people will be all ""but you watched it in 2 days!!!"" and i am like bish i'm unemployed of course i did"
6763640,0.050586212,0.9494138000000001,So I got in the tanning bed...mf I am BURNT
2956321,0.05071838,0.94928163,"People  say I'm no good, write me off oh yes they should."
4041222,0.050746027,0.94925404,Also I'm really depressed and can hardly motivate myself to walk 6 feet to the bathroom to take a leak so there's that
3246616,0.050814095999999996,0.9491859,I cried in my car for like 30mins it killed my high.. anyways I got dumped
2904124,0.05091003,0.94909,Accidentally drank bad milk to wash down meds before bed and was so out of it I didn't even know. Now it's 4 am and I suffer
105580,0.051008887999999995,0.9489911,tbh my check is my phone bill buuuut because my phone isn't that important to me phone bill not getting paid
4755001,0.051066175,0.9489337999999999,And.... Now I'm unemployed.
6630211,0.051138747000000005,0.94886124,"Hell yea, fuck 'em all, like I’m runnin from the law. Haters probably think they phase me, I’m like no, not at all."
1270856,0.051143527,0.94885653,But in reality I fucked go my car lmao i hate myself.
1682742,0.051154385999999996,0.94884557,Well. Basically I suck.
1152551,0.051160272,0.9488398000000001,i got my electrical parade cd and now i'm depressed omg i miss this parade sfm
53843,0.051218793,0.9487812,Alright I'm annoyed of myself now.
4721276,0.05122487,0.9487752,Blessings this feet stank go away I'm getting nauseous.
1569591,0.051235743,0.9487642,"I kinda just chill always I guess. 
Lol. I'm lame."
2409873,0.051240417999999996,0.9487595999999999,"Whatever i do i always get ""yelled"" at. I hate myself"
4688793,0.05125386,0.9487460999999999,prob an exaggeration. wait yea def an exaggeration i had chipotle like 3 day ago
1705868,0.05125668,0.9487433000000001,"What happened to me? like a year ago nothing mattered to me, or bothered me, I turned into a pussy and grew bitch ass emotions."
