,neg_model,pos_model,text
248826,0.0017319128,0.998268,Looking for a #Intern: #Product Marketing Management #jobs http://t.co/ojN9QGuzue http://t.co/zSe9YTHMZP
2065562,0.0017356301000000002,0.9982644,Want to develop #socialmedia campaign skills? Intern w/ CXC as the Social Media Intern - check it out &amp; pls SHARE https://t.co/s8nK3MJ9aW
8274479,0.001740484,0.9982595,Organized? Dependable? Wiz w/numbers? Apply for our #accountant job before it closes! http://t.co/pxEeMeiF4E http://t.co/gitoah3rsg
4118394,0.0017409117000000002,0.9982591000000001,RT @TheSocialQuant: #Periscope #Marketing: The 5 things your #Business needs to Know: https://t.co/SvF5aznEwj https://t.co/zkiF1VvOj2
6732867,0.0017435928,0.9982564,#Community &gt;&gt; Does Your Workforce Feel The Love? #TChat Preview http://t.co/0cPioWtfkV @talentculture #tchat
8297692,0.0017439704,0.9982559999999999,"Looking for a #ASSOCIATE, #WAIT STAFF (PART-TIME) Job #jobs https://t.co/EyBVANsy5v https://t.co/vL1UC1DosX"
8273675,0.001745438,0.9982546,#Field #Interviewer needed in # at Snagajob. Apply now! #jobs http://t.co/tszVRfPZtT
7765685,0.0017462375,0.99825376,"Need a #job? Client needed in #SanJose, #CA https://t.co/L33llM93Eb #jobs #hiring"
6517656,0.0017463154000000002,0.99825364,#Clerk/Cashier needed in #Mesa at CVS. Apply now! #jobs https://t.co/0y6WBcJn5y https://t.co/be9rmyFkyp
7337970,0.0017481137,0.99825186,#Facebook Begins #Testing a Buy Button : #CTA #CRO #A/Btesting - http://t.co/yWeYEa9JIk via @mashable
9223030,0.0017487976,0.99825114,Looking for a #Marketing/SEO/Social #Media Coordinator #jobs http://t.co/Ak58TP4BMz http://t.co/EvKNo1MqpC
9445378,0.0017503094,0.9982496999999999,Looking for a #District #Sales Manager - Future Opportunities #jobs http://t.co/vVVvyOTUch http://t.co/c06QU7Y5gl
7556101,0.0017523808999999999,0.9982476,"#JobOpening :  Pharmacy Technician – Target Store
#Healthcare - #Cicero #IL #TweetMyJobs  
Apply: https://t.co/j9nKulKPmv"
778071,0.0017531709,0.9982469,Looking for a #General #Managers &amp; Assistant Managers Wanted! #jobs http://t.co/niJgOojGaK http://t.co/3jonzMSQuw
8033706,0.0017531485000000001,0.9982469,#reliability #engineer - Salary: 80000-90000 needed in # at The Judge Group. Apply now! #jobs http://t.co/kWRyQGK1Ib
2096639,0.0017531594,0.9982469,Looking for a #Business #Systems Analyst - Supply Chain &amp; Fulfillment Production Support #jobs https://t.co/stYtOtD71F
9339252,0.0017536725,0.9982462999999999,"#AvisBudgetGroup is hiring! #Operations Manager #Traineee in #Chicago, apply now! #job https://t.co/YLf0Qytkwp"
6208799,0.001753873,0.9982462,Looking for a #Real #Estate Sales Associate/Sales Representative #jobs http://t.co/FuIBEdJngE http://t.co/vijKkirKqW
8654944,0.0017538885999999999,0.9982460999999999,Starting a #selfhelp biz and need #contentmarketing &amp; a success plan? http://t.co/tPjmBNJcCk  #Learn2Queen http://t.co/n9RXuP14WP
6110738,0.0017539564000000002,0.9982460999999999,Looking for a #Marketing #Content Director/ Brand Manager #jobs http://t.co/YkuAIlVFIc http://t.co/NywPkkjHIG
8696361,0.0017540716,0.99824595,#Customer #Service Representative (Part-time - Temporary) needed in #Fresno at Rabobank. Apply now! #jobs http://t.co/5IBN5l1LyM
1535847,0.0017545517,0.9982455,"Looking for a #Project #Analyst, Communications Practice #jobs http://t.co/xxw2vCzu89 http://t.co/TGdz4hMorT"
6208180,0.0017555575,0.9982443999999999,"Looking for a #Policy #Development Analyst, Senior Job #jobs http://t.co/8GNlNAdW9I http://t.co/xuMPVnEtOT"
8281740,0.0017558911,0.99824417,#HR #Recruiter needed in #SanMateo at SolarCity. Apply now! #jobs http://t.co/DCpxM6Kpxb
1401846,0.0017559864,0.99824405,"#Public Health Nurse
#JobSearch -   #hiring #rtjobs 
Apply: https://t.co/cCXv1k3mYX"
3340888,0.0017561310999999998,0.9982439000000001,#CreativeJobAlert: Seeking a dynamic AE to join a Affiliate Marketing Team. Resumes: angelau@jbcconnect.com https://t.co/nSu7dRyaCx
5414068,0.0017562163,0.9982438,"Need a #job? SharePoint Developer needed in #Atlanta, #GA https://t.co/0rGbcIx3TY #jobs #hiring"
8612769,0.001756549,0.99824345,How to get people excited about your #products and #services? http://t.co/DC6Vm7D8qT #selfemloyment #Smallbiz #Contractors #Coaches
1297109,0.0017568476000000002,0.9982431999999999,".@Percolate is looking for a Product Design Intern. Click to learn more or share with a friend. #...
http://t.co/JQsLHh3OUo #job"
4366045,0.0017571669,0.99824286,Looking for a #Deloitte #Digital -Digital Business &amp; Strategy Manager - Life Sciences #jobs https://t.co/3RLzR1MyQE
8443806,0.001757105,0.99824286,Looking for a #Senior #Fulfillment Specialist - warehouse #jobs http://t.co/6j4taMYVmU http://t.co/tHNRYhtRf3
8968943,0.0017574647,0.9982424999999999,#Bather #(Part Time) needed in #WestPalmBeach at Petsmart. Apply now! #jobs http://t.co/1gabXsWiBm http://t.co/fZcf50XuL4
2191098,0.0017586396,0.9982413,"#Manager, Customer #Marketing needed in #NewYork at #LOreal. Apply now! #job http://t.co/kXJxnos63R"
8046692,0.0017589612,0.99824107,"Looking for a #Sr #Accounting Analyst, Revenue Recognition #jobs http://t.co/06oygXMzsS http://t.co/aYm9EVaXJp"
7289294,0.0017596327,0.99824035,#Building #MachineLearning Solution? Learn From a Bartender https://t.co/s0PtjbldaK #bigdata #strategy
420372,0.0017598470000000001,0.9982401,#National #Account Executive needed in #Washington at NGP VAN. Apply now! #jobs http://t.co/UHyXtyKN5P
5188872,0.001760504,0.9982395000000001,#Lab #Technician needed in #Madison at LAB SUPPORT. Apply now! #jobs https://t.co/TDHKqi5gDF
