,neg_model,pos_model,text
2195629,0.021398904,0.9786011,Does anyone know a good place that is hiring?
4417204,0.022061853,0.9779382,anybody know any places that are hiring?
4371169,0.02219744,0.9778025,Does anyone know somehwere that is hiring?
2828092,0.022212835,0.97778714,Anyone know a place thats hiring?
5599152,0.02223869,0.97776127,"I miss having a job, does anyone know any restaurants hiring at state?"
8646551,0.022319308,0.9776806999999998,"Katty is looking for jobs, anyone hiring?"
2684489,0.022510206,0.97748977,Anybody know any places that are hiring besides Walmart and King Soopers?
8369592,0.022770783,0.97722924,anybody know any places hiring??
8217768,0.022839662,0.97716033,I need a job. Anybody know of anywhere that's hiring?
2681321,0.022918967999999998,0.977081,I need a interview sometime soon
1661919,0.022978265,0.97702175,RT @Poedup_: Who Hiring I Need A Second Job ?
1638048,0.023118427,0.97688156,Anybody know of any jobs available right now !?
5184090,0.023180004,0.97682005,Does anyone know any places that are hiring? This girl needs a summer job desperately bad
540531,0.023287931,0.9767121,anybody know where any jobs are hiring?
8655750,0.02330806,0.97669196,anyone know of places hiring?
4205219,0.02341194,0.9765879999999999,Need a job..anyone know where they are applying??
5599246,0.023425942,0.97657406,Is anyone hiring?
5719374,0.023452882,0.9765471,Does anyone know any places hiring? #needajob
5275752,0.023557346,0.97644264,Anybody know any places hiring?
549850,0.023565852999999998,0.9764341000000001,I need a new job. Anyone know anybody that needs a veteran teacher?
8683761,0.02360543,0.9763946,Does anyone know of any place hiring?!
1010469,0.023620402000000002,0.9763796,Anyone know of any part time medical positions?
1083717,0.023666483999999998,0.97633356,Does anybody know any place that is hiring
284432,0.023800332,0.9761996999999999,Does anyone know of any place hiring?! #asap I need a new job!
3230245,0.023850677999999997,0.9761494000000001,"I'm looking for a job downtown, any1 know a place hiring?"
8249775,0.023893797999999997,0.9761062,"Does anyone know of any places hiring right now? 12+ in customer service, help ya girl"
6110410,0.024022357999999997,0.97597766,Anybody know of any jobs available?
3319954,0.024138503,0.9758614999999999,"I need a job, who's hiring?"
6764415,0.024145702,0.9758541999999999,Does anyone know of any places hiring up here?
5906385,0.02428815,0.9757118,Does anyone know anyone is LA looking for a roommate?
2035423,0.02443796,0.97556204,I need a real job. Who's hiring?
5147006,0.024446943999999998,0.97555304,I need a job !! do anybody know somebody that know anybody who hiring.
2877626,0.024480587,0.9755195,RT @_ThatsMINES: Y'all... Who hiring? I need a job.
4486457,0.024534603999999998,0.97546536,I need voucher for nice hotel am going tomorrow.....any one?
9094077,0.024691202000000002,0.97530884,I need a job like right now....who's hiring
5384852,0.024704423,0.9752956,who job hiring?
8708836,0.024918278999999998,0.97508174,I have a job interview tomorrow. Really hoping I get this!
2132479,0.024924562999999997,0.9750754,Does anyone know where I could find a job?
7697670,0.024941377,0.9750587,I need a job. Anybody know a place?
6026241,0.024947688,0.9750523000000001,Seriously searching for a new job. If anyone knows a place hiring let me know.
4316765,0.02495487,0.97504514,Hey if anyone needs a job Rafael's in Trenton is hiring !! I put my notice in today !
2040756,0.024966111000000003,0.9750338,I really need to find a second job but idk where ...
1898399,0.02506078,0.9749392,I'm looking for like a third job so if anyone knows where ya girl can get another job let me know
232331,0.025136666000000002,0.9748633,If anyone knows anywhere hiring lmk
4628608,0.025259502000000003,0.9747405000000001,Someone help me out here... Who's hiring??!
4986765,0.025263965,0.9747360999999999,OK #Nashville - I have a 19 year old with brains and muscles (my son) who needs a job. Anyone hiring or know of an opportunity?
5714469,0.025331087000000002,0.9746689000000001,who's hiring? i need a job asap
274506,0.025350854,0.97464913,Need a 2nd job.  Anybody know anywhere hiring in kc?
5617368,0.025385216000000002,0.9746148000000001,Anyone got any night Jobs hiring!!
4659802,0.02540431,0.97459567,I need a second and/or better paying job. Can anybody help me out?
1963647,0.025456523999999998,0.97454345,Where tf is hiring I need to get a job 😅😅
7102246,0.02552237,0.9744775999999999,Is anybody renting a room out currently or will be soon?
3671510,0.02557905,0.97442096,"Start of a new year! Anyone know of a goob job hiring?""thats an oxymoron"""
8623048,0.025590926,0.9744091,I need a new job. Who's hiring? 😇 preferably retail.
8022365,0.025606322999999997,0.9743937,is anyone hiring ? lol
2420404,0.025647376,0.9743526,Anybody know of places hiring with decent pay?
2358366,0.025690342999999997,0.9743096,hopefully this job offer dont ignore me
8788939,0.025694123,0.97430587,RT @mermm__: I need a new job. Anyone hiring?
4000087,0.025722787,0.97427726,Just got a call for a interview but ion think its for me
6123520,0.025739558,0.9742603999999999,RT @JDeschaep: I NEED A FUCKING JOB!!!! Know anywhere hiring please let a brotha know
3353221,0.025743326,0.97425663,Someone please let me know somewhere that's hiring!
6837877,0.025777496,0.9742225,"It's tough looking for internships, I'm trying to last one somewhere for next Summer"
2171210,0.025833845,0.97416615,I need to start looking for a job
4882392,0.025844136,0.97415584,"Anyone want $50?  If you know someone looking for work &amp; open to temporary/temp-to-permanent opportunities, get them in touch with OfficeTe…"
5842651,0.025847257999999998,0.9741527,RT @yandycapri__: Whose hiring? I'm Tryna find a second job.
2547609,0.025872002999999998,0.9741280000000001,"Any One Know Of Any Job Opportunities for well qualified Mechatronics Engineer, Project &amp; Business Management Training worked through it all"
9083436,0.025892632000000002,0.9741073,@ohhhisaiah same. I've applied to a bunch of places that are hiring and none of them have answered back.
1091612,0.02599369,0.9740063,Is anyone looking for a job?
8612894,0.02601837,0.9739817,Where is hiring ??? Plzzzzz let a girl know
6096924,0.02604484,0.9739552,This job hunt is something real I can't be not working right now
6491927,0.026053700000000003,0.9739462999999999,I really need a job... Like bad . Anyone hiring ?? Not looking to downgrade from my past jobs like the y and my nanny job . Sorry ha
1798413,0.026079922999999998,0.97392005,"ICYMI: know anyone hiring, particularly in writing/journalism or digital marketing? I’m looking for work. Get in touch!"
7139250,0.02622628,0.9737737,"I need a new job, who's hiring 🙄"
3521073,0.026228467000000002,0.9737715,"Anyone Who Is Looking For A Job Let Me Know, Pay Is Good !"
3236841,0.026234023,0.97376597,Interview went great but I dont think imma take the job
4667031,0.026243795,0.9737562,"Applied for a job at Nordstroms, they liked my resume and scheduled an interview, anyone that has worked there have any advice for me?"
355522,0.026272787000000002,0.97372717,An opportunity has arisen for me to travel to Poland for WYD. Need to find way to raise $3K. Anyone have fundraising ideas?
6142985,0.026276931,0.9737231,Anyone need a job?
6994227,0.026441066000000003,0.9735589,Does anyone know of anyone hiring? I am looking for a part time/ full time gig during the midnight hours. Anyone? Anything? #WesternMass
3371403,0.02648803,0.973512,RT @iTweet_YuTwatch: who else is hiring? i need a new job ASAP.
5283547,0.026492177000000002,0.9735078000000001,Any girl need a job? We're hiring as of right now lmao
4880676,0.02650673,0.9734933000000001,Youngin Tryna Go To Work Who The Fuck Is Hiring.
4468263,0.026611326,0.9733886999999999,I gotta go some where. Staying in the house not a choice
4941687,0.026622152000000003,0.9733778000000001,I need to get Pebo to Athens. Idk what kind of friend she call herself. At least Kymbria call and ask if I'll be in Athens
4132721,0.026627455,0.9733725000000001,"@ItsChantieYO_ Clarie's and more,  i going over ther later on to get more application for who ever hiring..."
