,neg_model,pos_model,text
1175656,0.033700477,0.9662995000000001,I got cut off last night for no reason 😔😔😔😔
7198132,0.03371205,0.9662879000000001,I got this candy and been over doin it lately. I passed out like 9 last night. Terrible
6892941,0.0340767,0.96592325,really lost my fucking phone last night on some drunk shit
2551300,0.034102194,0.9658978000000001,Pretty pissed I barely went fishing this summer...
2549990,0.034459848,0.9655402,I just got dumped dude. Like idek
8266836,0.03450639,0.96549356,Fucked around and forgot my card at home.. hate going up to the window to pay for gas
6184082,0.034604594,0.9653954,Blacked out hard last night.. And now I get to go to work..
7273644,0.03477097,0.9652291,Really pissed I missed the northern lights yesterday..
8558356,0.035050265,0.9649496999999999,I got mother fucking burnt today
6190557,0.035145547,0.9648545000000001,My ex broke up with me and I.. Well I still dressed like a little boy everyday I guess that's why I got deaded
7568216,0.03531934,0.9646806,Basically just wasted my whole day
1255981,0.03576354,0.96423644,Literally went starving last night
7732039,0.035805386,0.96419466,Yup. Blew all my money yesterday. I'm broke again.
7261567,0.035828076,0.9641719000000001,Beautiful day. Too bad i get off at 9 so someone hit me up then.
5704573,0.035868372999999995,0.9641315999999999,Got into my first car accident today
2060501,0.03592987,0.9640701999999999,just wanna go out today but got yelled out two nights ago for always being out☹️
8721774,0.036124196000000004,0.9638758,I done fucked up now...
7178775,0.03624658,0.9637534,Just woke up. I got in some trouble at school yesterday. I have a in school suspension next week... Mmm.
4789355,0.03630641,0.9636935999999999,Still PISSED I broke my debt card.
3586369,0.036392400000000005,0.9636075999999999,Literally pissed I fell last night cuts all over my legs n shit 😒😒😒😒
2578646,0.03642027,0.9635796999999998,I just got kicked out.
581652,0.036568243,0.9634318000000001,All nighter my ass. I knocked out so fucking early smh
3529056,0.036600623,0.96339935,Got kicked out of a bar last night. I'd say I left San Antonio with a bang
9355546,0.036630142000000004,0.9633699,Got hit with that ntb twice last night.
1113272,0.036632057,0.96336794,"Got approved for a new car today, then got told I was going to be laid off, just got a call saying since someone quit, I get to stay. 🤷🏽‍♀️"
2994262,0.036659796,0.96334016,I got fucked up this weekend. Don't really like the aftermath
285818,0.036668662000000005,0.9633313,Got punched in the face at the tailgate because my ex is a fucking nut case.
3239536,0.036763422000000004,0.96323663,I was fucked up last night...
5684307,0.036784012000000005,0.963216,Just bashed my knee on my desk.... GOOD MORNING.
7805270,0.036812607000000004,0.9631874,i almost just burnt my house down i
1170196,0.036834694,0.9631653,I fucked up not gettin the flu shot this year
3212964,0.036928378,0.9630716,"I fucked up my foot on Friday night, no cardio for some days."
7276918,0.036977366,0.96302265,I got drunk tonight. Again
3692296,0.037003476,0.96299654,Got too fucked up last night 😵
9123540,0.037062656,0.9629373,I just hit a car and got on lol
5134078,0.037093807,0.96290624,I lost my cool tonight. Threatened to stab a few females... No big deal.
6829142,0.0371036,0.9628964,Pretty sure I just died my hair blue by accident...
3091854,0.037139818,0.96286017,Just gave myself second degree burns in the shower...
5437830,0.03715319,0.96284676,So I wiped out on ice tonight lol
7790210,0.037167326,0.9628325999999999,hurt myself so bad at gym yesterday. My tit was even bleeding. Now woke up wit the biggest scar ever.
7939916,0.037182692,0.96281725,I got fucked up today
7732936,0.037214357,0.96278566,"My boss got fired today, sucks but shit my words are so powerful"
2303434,0.037241466,0.9627585999999999,Pissed myself in Hollywood last night
3521890,0.037274767,0.9627252000000001,Had to put my dog I had for 17 years to sleep yesterday. I been in so much pain.
5986605,0.03728952,0.9627104999999999,Well I failed going to the gym today. Got sucked into watching one movie after another.
3543108,0.037312664,0.9626872999999999,Just shaved my face... No one talk to me for 3 weeks .
198816,0.03737496,0.962625,EVERYBODY GOT ME FUCKED UP TODAY
5124222,0.03740211,0.96259785,Cut my foot last night and it hurts so bad now
2443783,0.037437797,0.96256214,Just found out i slept through a fire alarm this morning...shit
1690877,0.037445605,0.96255445,Just got zinged by my boss so hard.
6491408,0.037475526,0.96252453,Got hammered like 5 hours ago and now I'm drinking again 😂
8819815,0.03748094,0.9625190999999998,"I had a really bad day, First, My ex-girlfriend got ran over by a bus,Thoughts are just what is, They appear, Theyre inn"
2503556,0.037516776,0.9624832,Got savaged on dinner. This sucks.
4101680,0.037520606,0.96247935,Pretty sure I just broke my back...
4034564,0.037532166,0.96246785,I woke up skinny today
9349166,0.03762209,0.96237785,I straight busted my ass in the kitchen today at work...thank god no one saw me lol 👍
2696798,0.03763059,0.9623693999999999,Last winter kicked my ass. I was legit traumatized- no exaggeration.
2045475,0.037638105,0.9623619000000001,Almost lost my life to a pussy nigga 3 years ago . 😐
1820029,0.037641235,0.9623588,Fucking hammered tonight. That rumple minze fucked me up lol.
6086502,0.03768661,0.9623134,So mad I broke my phone
8941602,0.0377233,0.96227676,I got sunburned today... I thought it was supposed to be winter 😡
4063242,0.037731268,0.96226865,Got my fat ass up to play tennis this morning and... Terrible idea now I'm injured
2047385,0.037759274,0.96224076,I FUCKED THIS GIRL RAW ONE TIME AND HAD A HEADACHE ALL DAY.  I THOUGHT I HAD AIDS BUT NAH IT WAS JUST A MIGRAINE
3725081,0.037803918,0.96219605,Went smack out early last night
2460098,0.037804715,0.9621953000000001,i was way too stoned last night
8664378,0.037806347000000004,0.9621936,I busted my ass so hard on the ice last night and my arm fuckin hurts
7305812,0.03783515,0.9621648000000002,I almost died in the bus today -.- no kidding
4703787,0.03787412,0.96212584,"I lost my phone today and didn't even care. 

Still gonna fuck shit up."
2638037,0.037884887,0.96211517,Also just found out I'm anemic this week. I'm on a roll.
4108975,0.037889972,0.96211,"smashed a whole pizza today, and skipped the gym. Worth it"
789081,0.037922684,0.9620773000000001,Missed a tip in this morning. Was too early to be angry at myself. Just stuck with it
5969379,0.037950512,0.9620495000000001,Yesterday I smoked so many blunts I got a migraine.
8685074,0.03795658,0.96204346,Finally killed both of my parents...
1924644,0.03797335,0.96202666,Dying at work. Got some lime in my eye while cutting it 😩😩😭
7748785,0.03798498,0.962015,Oh I got hit in the face at work today. That was fun 😂
3983804,0.03799004,0.96201,Well started this morning off with a bang and got my car broken into
5400110,0.03799075,0.96200925,Just had a mini heart attack that my car got stolen. In reality I forgot where I parked #bart
9130948,0.038003117,0.96199685,I just got grounded...
5613103,0.03800328,0.9619968000000001,My nigga got fired before he clocked in haha
526368,0.03801988,0.9619800999999999,sick all day at work and i got off early so i walked home and i stepped in a GIANT ASS PUDDLE and my pants are soaked to my knees
9352493,0.038023703,0.96197623,Woke up with my eyes all puffy like I got beat up lol.
4448557,0.038028445,0.9619715,kid slapped my butt today at work...
7449014,0.03803886,0.96196115,I just got out of work &amp; I have to shave.
2800231,0.03803972,0.96196026,Just chased off someone harassing my 'a-rab' neighbor. Sad and backwards.
313000,0.03804772,0.9619523000000001,Blew up my phone while I was driving 😍😍
803650,0.038049504,0.9619504000000001,oh I got my chewed out by an ex veteran at MEPS today. lol he straight embarrass me
7372986,0.03809409,0.9619059000000001,And recently for only two months lost a friend that committed suicide. Tbh that I'm still in denial in.
4748848,0.038094386,0.96190566,Today I smashed my forehead into a corner and busted my lip on a couch 🆒
6341643,0.038108375,0.96189165,Well... I messed up lol
7989036,0.038119047999999996,0.9618809000000001,God forgive me I been hurt by a couple niggas...
4786212,0.03814564,0.9618544,I was straight knocked out during my lunch. . . I need more sleep
8376691,0.03814982,0.96185017,My oven broke on Christmas... Ain't that some shit
4023172,0.03817878,0.9618211999999999,Got my phone taken away again....
1562215,0.03820093,0.96179914,Just had my first skateboard wipeout. It was rad except I tore my jeans.
1656396,0.038215045,0.961785,"Got sent home from work early because my cough sounded ""bad."""
