tweet_id,text,score,rank,point,class
1.17493E+018,Currently still unemployed. If anyone is hiring hml PLEASE,0.96318543,1,0,1
2278861647,still unemployed,0.962389231,2,0,1
7.73819E+017,"Still looking for a job, been unemployed since january. Who's hiring?",0.962356091,3,0,1
5.72463E+017,Haha still unemployed and have no idea what i'm doing someone punch me in the face for this.,0.961641431,4,0,1
1.2489E+017,Officially unemployed. Woot?,0.96158421,5,0,1
1.50313E+017,Currently Phoneless,0.961536288,6,0,0
9.60815E+017,Currently unemployed and have zero fucks to give bruh!,0.961385787,7,0,1
1.15677E+018,Unemployed and my ankles broken. This too shall pass. If I could succeed at something that’d be great Universe,0.961264372,8,0,1
1.24213E+018,Officially unemployed ya love to see it,0.961077154,9,0,1
7375010246,Ive been unemployed for a month now and still looking for work. I don't know what to do. No one is hiring.,0.960970461,10,0,1
1.48138E+017,Officially unemployed #notastudentanymore,0.960945666,11,1,1
3.05451E+017,unemployed again;(,0.960933805,12,1,1
5.80074E+017,Blaring music and cleaning. #Unemployed,0.960901082,13,1,1
1.14839E+018,officially jobless somebody hook me up w a job,0.960783541,14,1,1
2.25248E+017,on the hunt. #unemployed,0.960761666,15,1,1
1.41658E+017,I need a job in nyc....does anyone know who is hiring...#jobless,0.960744739,16,1,1
9.39259E+017,emotionally unavailable. somethings gotta change.,0.960714698,17,1,0
1.00328E+018,Am now jobless,0.960599363,18,1,1
1.16043E+018,28 and unemployed,0.960537553,19,1,1
9.77387E+017,Lost job due to my health condition. Trying to get help for it but also need help with bills and rent. Could anyone please help? Please please help if you can. Thanks in advance. Your kindness is appreciated.,0.960500181,20,1,1
1.11801E+018,Ok someone send help I need a job.,0.958987713,101,2,1
1.10378E+018,Unemployed 😠,0.958985984,102,2,1
3.92758E+017,@_Nixstar_ kinda MIA. in and out since I got fired,0.958974242,103,2,0
8.92127E+017,Just lost my fucking job... again.  Laid off. How many more punches can I handle?? #ontheedge,0.958969533,104,2,1
7904326674,Lots on the to do list today...still looking for a job...any suggestions???,0.958924472,105,2,1
1.06786E+017,SOS  I just lost my job. I am looking for something in social media/branding but will take most anything.,0.95891571,106,2,1
3.18374E+017,Hungover #stilldrunk,0.958910644,107,2,0
7.53762E+017,Lol just got fired.😹✌🏻️ whoops.,0.958891571,108,2,1
1.49302E+017,"@bretmichaels Hi, I lost my job last year and Im scared that I wont find a job. Its so hard finding a job. Could you tweet me to cheer me up",0.958875597,109,2,1
3.66011E+017,I'm sorry for taking so long to add your links. I'm unemployed and busier than a long tailed cat in a room full of rocking chairs!,0.95887053,110,2,1
1950221347,Ugh. Bored. I need a job already.,0.957334161,317,3,0
3.34903E+017,Need a job... #brokeasfuck,0.957331777,318,3,1
3.7828E+017,Lost my job because I made the stupidest decision ever ): #fml,0.957328379,319,3,1
6812697143,....still jobless...i make my money #spangeing !!!,0.95732671,320,3,1
6.62299E+017,Just got evicted from my apartment,0.957315505,321,3,0
9.07997E+017,"STILL BROKE, AND STILL CLUELESS APPARENTLY https://t.co/2n6lDA8Zhy",0.957313299,322,3,0
3.92419E+017,There's so much i could be doing right now... #Unmotivated,0.957305193,323,3,0
3.29821E+017,#Lost #Frustrated #Annoyed,0.957299113,324,3,0
26201178606,Im single and i can do whatever i want and i will keep doing that until yall stop bulllllllllll crap n. #random,0.957292736,325,3,0
2.38027E+017,The way Yu say my name makes Me feel like I'm that nigga...... But I'm Still unemployed,0.957282484,326,3,0
2.03213E+017,Need a job BAD. anyone got any hookups or ideas let me know.,0.95501411,1001,4,1
1.09238E+017,mmm head feels gooooooooood -_- #stilldrunk,0.955011249,1002,4,0
2.74698E+017,I am currently homeless as of tinight.  I needed rent and food at this time.  Any help would be greatly appreciated,0.955008984,1003,4,0
6.2355E+017,Bc I don't have a job yet 😭  https://t.co/2crBIJm4gV,0.955003321,1004,4,0
1.10095E+018,I need a job. Bad,0.955002785,1005,4,1
4.3764E+017,i need a job so i can spoil myself.,0.955002606,1006,4,1
4.04384E+017,holy shit I really need to get a job #brokeasfuck,0.954999208,1007,4,1
1.04479E+018,i REALLY need a job,0.954997063,1008,4,1
1.981E+017,@flyKJair not yet... I need a job! Haha,0.954996169,1009,4,1
6.13891E+017,I need a job. Someone help me out?😬,0.954995751,1010,4,1
4.04319E+017,Why am I still single?!?!,0.952787161,2155,5,0
4.79733E+017,Feeling very poorly :((,0.952785969,2156,5,0
4.46129E+017,I'm at m wit's end. I'm having a very hard time finding a job.,0.952785969,2157,5,1
4.09865E+017,"No, i need a job!!",0.952785671,2158,5,1
6.20251E+017,@48jimjohnson me neither. LOL I'm unemployed but hopefully not for long. 😀,0.95278424,2159,5,1
14150629944,Unanswered-Suicide Silence,0.952783585,2160,5,0
3.16078E+017,Chillin at that the fire!!! Not going home cuz I'm homeless #NoLife,0.952782631,2161,5,0
4.92864E+017,I need a job...😐,0.952782631,2162,5,1
1.02768E+018,I need a job...😂,0.952782631,2163,5,1
1.88711E+017,Officially unemployed celebrating with a #budlight and some pizza hut,0.952781677,2164,5,1
1.57624E+017,@AliciaSilv I don't have ne holiday debt BUT since losing my job I can't pay my bills. I don't have heat or even hot h2o. Any advice 4 that?,0.949238837,4642,6,0
3.08752E+017,Over this week already #Tired #Sick #Annoyed,0.949234486,4643,6,0
2.28158E+017,I don't feel like doing anything today.. #lazy,0.949234009,4644,6,0
5.64521E+017,I need to get a job so I can gtfo of here.💯💯💯,0.949229002,4645,6,0
1.16754E+018,"@pulte Well, lost my job, my wife found out she has MS, 3 ER visits in 4 days, but we're still alright. Every day alive is a good day.",0.949229002,4646,6,0
2.45216E+017,Thinking its time for a job...anyone know of a place hiring??,0.949228764,4647,6,1
3.61218E+017,Ugh. Why did I ever get a job.,0.949226856,4648,6,1
7.58051E+017,I'm single but too socially awkward to mingle. #SocialProblems,0.949223638,4649,6,0
1.20988E+018,why did i quit my job i hate myself,0.949223161,4650,6,0
1.04281E+018,Binging #atypical for the third day in a row. Business can wait 🙈😂 @MichaelRapaport #selfemployed,0.949223161,4651,6,0
1.10681E+018,Drunk and wanna make out,0.942928851,10001,7,0
2.70347E+017,"So if it's fck me cuzz I hate disrespectful, den its fck Iz #Single",0.942928433,10002,7,0
1.04508E+018,Always been abandoned,0.942927659,10003,7,0
2.88458E+017,@krys_crossed LMFAOOOOOOOOOOOOOOOOOOOOOO #DEAD,0.94292748,10004,7,0
8.02E+017,I'm an alcoholic and I have a problem. My real friends tell me my problem is not enough alcohol🤘🏻,0.942923009,10005,7,0
3.90888E+017,I Got Suspended From School For Nothing.,0.942921817,10006,7,0
3.19018E+017,"LOL and I'm single. 
Imagine the baggage that comes with that

BABY DADDY. That's the baggage.",0.942921638,10007,7,0
2.26429E+017,im single cause we haven't made it official taken cause he said no one else can have me #Single but Taken,0.942920446,10008,7,0
4.06167E+017,"@vventz My job is seasonal. I work from April to November. But thankfully next season is supposed to start in March. I need a job for now,",0.942918956,10009,7,0
3.64607E+017,“@Colleen_Ziglar: I need a job. 😭” 🙌🙌🙌,0.942918003,10010,7,0
