tweet_id,text,score,rank,point,class
1.20191E+018,We are hiring a Program Associate: https://t.co/J9NOTHXySA,0.999140501,1,0,1
7.10891E+017,We are hiring! Property Manager - https://t.co/1IuiYzzHqx,0.999140501,2,0,1
9.1557E+017,We are hiring! #careers #workhere https://t.co/Lz8WsElCl5,0.999138951,3,0,1
7.63012E+017,"We are hiring! :)
https://t.co/RceVilHdej https://t.co/qLgMLo42kL",0.999137223,4,0,1
1.17617E+018,We are hiring! #careeropportunities #Beautysupply https://t.co/JKllOsjWbR,0.999137104,5,0,1
1.02004E+018,We're Hiring.  #Jobs #comeworkforus #productionlineleadpositionopen https://t.co/E2RjSfi2lA,0.999136746,6,0,1
4.61252E+017,We're hiring! Warehouse Production Tech http://t.co/g6hfCLZr8q #job http://t.co/Ttw9p0d1Ob,0.999136388,7,0,1
5.06771E+017,We're hiring! Assistant IT Manager http://t.co/rzfhRFB3Bi #job http://t.co/uqSIVWJSXZ,0.999134958,8,0,1
1.13821E+018,We are #hiring Sales Superstar / Sales Manager / Sales Representative / Sales https://t.co/igC12lRKcF #jobs #Durham #Sales,0.9991346,9,0,1
3.07144E+017,We are hiring! http://t.co/WP54nt8QWn #jobsinaustin #software #developer #jobs,0.999134481,10,0,1
1.03311E+018,We’re hiring! 👷🏻‍♀️👨🏻‍🔬💼 https://t.co/A3FmTDkqJm,0.999134243,11,1,1
1.02975E+018,"We are hiring 
https://t.co/yu3U2NW1DS https://t.co/X5hoK482uy",0.999133766,12,1,1
9.79179E+017,We are hiring! #AutodeskCareers https://t.co/moTs41l8gr https://t.co/bZTHAmwzbJ,0.999133527,13,1,1
3.65688E+017,Quality Manager http://t.co/4mfmXw78hz #job #qualitymanager #hiring,0.999133289,14,1,1
5.72845E+017,Our Program is hiring https://t.co/qA1g8TLyhf,0.99913305,15,1,1
4.36616E+017,We're hiring! Account Executive position open https://t.co/tCuysFg1Bc,0.99913305,16,1,1
9.66375E+017,Chicago Vision is hiring! https://t.co/4azlO1MVZO #jobs #Chicago #jobsinchicago #chicagojobs #opportunity #chicagocity #joinus #followus #opportunity #marketing,0.999132812,17,1,1
7.44233E+017,We are hiring: Americas Sales Operations Lead Am https://t.co/BTY6xpg6M7 #job @awscloud #salesoperations #enterprise #sales #recruiter,0.999132693,18,1,1
8.50128E+017,We are hiring! Visit https://t.co/4PqUeFpRDX #usmed #careers #dme #diabetes #sleepapnea #growwithus,0.999132693,19,1,1
1.18973E+018,"We’re hiring 😁
#jobs #reruitment #hiring #construction #roofing https://t.co/JPffH1s12F",0.999132454,20,1,1
8.85899E+017,We are hiring! Senior Field Engineer https://t.co/kLKEdMEAE2,0.999127448,101,2,1
7.72345E+017,#jobs #job #hiring Package Gas Driver 1 #DesMoines # https://t.co/zfq7uGx3W5 #jobsearch #career,0.999127328,102,2,1
6.19656E+017,★ JOB ★ #hiring #ITJob #Job #Springfield - OR Communications/Data Support Specialist http://t.co/vvHxdc8m7Y ☜ view details #jobs,0.999127328,103,2,1
7.00424E+017,The Portillo Restaurant Group is #hiring Hiring Event for Restaurant Managers for Por https://t.co/ACdIe3xM2O #jobs #Willowbrook,0.999127328,104,2,1
5.03945E+017,We're hiring! Software Engineer in #Hillsboro http://t.co/rKf63zK3yZ #job http://t.co/6oKVYydeXA,0.999127209,105,2,1
6.43908E+017,★ JOB ★ #hiring #job #New York - Benefits Manager http://t.co/SwFtErlSqn ☜ view details #jobs,0.999127209,106,2,1
1.14468E+018,We are hiring an Account Manager position: https://t.co/sZQljNdV9f,0.999127209,107,2,1
9.70691E+017,Senior Application Developer https://t.co/OSwD98p5oV ⬅️#tech #job #hiring #job,0.999127209,108,2,1
9.76704E+017,Hiring for Adoption Specialist https://t.co/CfrSh6OoMR,0.99912709,109,2,1
7.38088E+017,We're hiring @conversocial !! https://t.co/1sS8bPjB3I,0.99912709,110,2,1
1.13595E+018,"We are #hiring Maintenance Technician in Lehi, UT https://t.co/ZQiGDCMXM7 #jobs #Lehi #Facilities #Maintenance",0.999124348,317,3,1
4.94463E+017,We're hiring! Field Service Technician http://t.co/aezCHpNG8Y #job http://t.co/b8hsnPz5kg,0.999124348,318,3,1
6.14533E+017,★ JOB ★ #hiring #ITJob #Job #San Francisco - Product Services Analyst http://t.co/dq7biKO8oP ☜ view details #jobs,0.999124348,319,3,1
9.61357E+017,We're Hiring! Bookkeeper Software Specialist  https://t.co/HGy0J328Zn,0.999124348,320,3,1
6.19167E+017,"★ JOB ★ #hiring #ITJob #Job #New York - Software Engineer in Test, The Huffington Post http://t.co/H86f9OFjKm ☜ view details #jobs",0.999124348,321,3,1
8.18813E+017,We are hiring a Sponsored Awards Manager. Join the team at the #Cornell #Synchrotron https://t.co/i9mxozMUg9 #Jobs in #Science #Management https://t.co/yPIxyXwYIL,0.999124348,322,3,1
6.38432E+017,★ JOB ★ #hiring #ITJob #Job #Durham - Senior Data Modeler http://t.co/SzpYHwOUCT ☜ view details #jobs,0.999124348,323,3,1
7.98908E+017,"We're #hiring! Click to apply: EPIC Business Intelligence Analyst - https://t.co/yoilJHEIne #diversity #healthieryou #chicojobs #Chico, CA",0.999124348,324,3,1
1.00983E+018,#MachineLearning for better #HR https://t.co/SU1cRoXtVQ #IoT #IIoT #BigData #hiring #talent,0.999124348,325,3,1
6.12274E+017,★ JOB ★ #hiring #ITJob #Job #San Francisco - Analytics Engineer http://t.co/kRQQGRLqeV ☜ view details #jobs,0.999124229,326,3,1
6.22609E+017,★ JOB ★ #hiring #ITJob #Job #Walbridge - 13F Fire Support Specialist http://t.co/qdEgn5ZeAu ☜ view details #jobs,0.99912113,1001,4,1
5.08439E+017,HiredMD is hiring Emergency Medicine Physician http://t.co/kGEzabGrTS #jobs,0.99912113,1002,4,1
1.01154E+018,"This #job might be a great fit for you: Full Time Retail Sales Associate - https://t.co/eM0IvZb1AT #Retail #ElSegundo, CA #Hiring",0.99912101,1003,4,1
6.18557E+017,★ JOB ★ #hiring #ITJob #Job #New York - Total Rewards Analyst http://t.co/9KTCQ3I5yK ☜ view details #jobs,0.99912101,1004,4,1
3.01485E+017,Now Hiring: Recruiting Manager in Michigan http://t.co/niPpLiG2 #job,0.99912101,1005,4,1
6.09894E+017,★ JOB ★ #hiring #ITJob #Job #Aurora - Financial Systems Specialist* http://t.co/nDirspeFPi ☜ view details #jobs,0.99912101,1006,4,1
6.80412E+017,"Physical Therapist position is open for apply in #Irvine, #CA https://t.co/9qcoh7mGEM #jobs #hiring",0.99912101,1007,4,1
6.40279E+017,★ JOB ★ #hiring #job #Massapequa Park - Owner Operators http://t.co/aC5TIt8Bqt ☜see #trucking #jobs,0.99912101,1008,4,1
7.70655E+017,"https://t.co/XiPlHxnEHW - Project Manager - Richmond, Virginia #ITJob #Job4Tech #Job #Jobs #Hiring #CareerArc",0.99912101,1009,4,1
6.39133E+017,★ JOB ★ #hiring #ITJob #Job #Chantilly - Contracts Support Administrator http://t.co/QoCjb8uNbr ☜ view details #jobs,0.99912101,1010,4,1
5.04281E+017,We're hiring! Food Specialist (#Houston) http://t.co/KhL0KY2LAI #job http://t.co/SCZiIK5aEp,0.999118388,2155,5,1
1.11569E+018,#springtosprint Sprint is hiring #denver https://t.co/xxsTjLMEkk,0.999118388,2156,5,1
6.76296E+017,"Beyondsoft is hiring a #Windows #Applications Administrator, apply now! #Irvine #jobs https://t.co/EAILOahjJp",0.999118388,2157,5,1
5.27222E+017,Hiring - Member Development Specialist in Illinois http://t.co/SeCMlm4D6P #job,0.999118388,2158,5,1
3.95261E+017,New #job: Territory Sales Manager Location: Albany .. http://t.co/ALTvPgnoZV #jobs #hiring,0.999118388,2159,5,1
6.72983E+017,"#hiring Financial Analyst asap in #Northbrook, #IL https://t.co/gn90oh7fAt #jobs #job",0.999118388,2160,5,1
6.75353E+017,"Brookdale is hiring! #Resident #Care Associate in #Ontario, apply now! #jobs https://t.co/vAYsm3boEx",0.999118388,2161,5,1
6.26725E+017,We're #hiring! Read about our latest #job opening here: Internship with Award Winning Documentary Photographer - http://t.co/AOAbr0YnGq,0.999118388,2162,5,1
6.45695E+017,"SONIC Drive-In: Assistant Manager (#Lawson, MO) http://t.co/qrk1SWjdjM #Hospitality #SONIC #Job #Jobs #Hiring #CareerArc",0.999118388,2163,5,1
7.05885E+017,"#hiring right now: Physical Therapist in #Merced, #CA https://t.co/G2VjfYqX2g #jobs #job",0.999118388,2164,5,1
