tweet_id,text,score,rank,point,class
5.5848E+17,"New job, yes",0.969978869,1,0,1
4.34899E+17,New job on the 20th,0.969693601,2,0,1
1.6344E+17,"New job, new 💰💰💰",0.969629288,3,0,1
6.18419E+17,Got hired on the 18th,0.968951106,4,0,1
3.75667E+17,Start my 2nd job on the 14th ;),0.968478382,5,0,1
7.69299E+17,New Job Tonight 😩,0.968413174,6,0,1
9.58344E+17,New Job New Me 🗣💰,0.968288422,7,0,1
2.95445E+17,Start my new job on FEB 4,0.967907786,8,0,1
9256182887,NEW JOB NEW JOB NEW JOB!!!!!,0.96790725,9,0,1
1.62327E+17,NEW JOB NEW JOB NEW JORB NEW JORB,0.967560589,10,0,1
3.72008E+17,New job 👌👍,0.967340469,11,1,1
5.93605E+17,Start 2nd job next week😏,0.966877401,12,1,1
6.46029E+17,New job ✔️ ☺️,0.966745794,13,1,1
1.03159E+18,"new job, new mindset.",0.966668248,14,1,1
3.4829E+16,I start my new job on the 15th!,0.966651917,15,1,1
2.75594E+17,New week. New month. New job.,0.966623127,16,1,1
7.55879E+17,Starting my 3rd job today lmao,0.966459572,17,1,1
1.00922E+18,New job starting July 2nd☺️,0.966386735,18,1,1
11200084308,"New day, new week, new job!",0.966163933,19,1,1
4.59307E+17,And soon I'll be starting my 3rd job 😊🔫,0.965950727,20,1,1
9.03003E+17,GOT THE JOB! 😊 #employed,0.964055121,101,2,1
9.02763E+17,my new job 😊😊🔥🤷🏾‍♀️,0.964035094,102,2,1
6.01882E+17,Start my first job tomorrow 😳,0.964033067,103,2,1
1.06239E+18,Start new job on Thursday 💯💰,0.964032292,104,2,1
7726677821,Wohoo! I got the job! I GOT THE JOB! I start Feb 1st as a salaried manager for Fuddruckers!,0.964028001,105,2,1
1.1762E+18,Start my new job tmrw 🥳🤑,0.964019418,106,2,1
15663446082,New year. New job. So far so good.,0.963956952,107,2,1
6.11937E+17,My new job 😍,0.963942468,108,2,1
3.25344E+17,Wooohoohoohoooo I GOT THE JOB #FINALLY,0.963937461,109,2,1
1.17618E+18,New job. New money. New beginnings.,0.963937044,110,2,1
1.46334E+17,Yes!!! Got a second job!,0.962684989,317,3,1
3.08682E+17,It's official! Starting my new job at the end of March!!!,0.962684453,318,3,1
1.19479E+18,I start my new job tmw !!!,0.962683558,319,3,1
5.85188E+17,Just got hired on the spot yay!,0.962682545,320,3,1
5.30818E+17,Excited for my new job ☺️💸💰,0.962671757,321,3,1
1.13639E+18,i got my first big girl job 💆🏼,0.962663889,322,3,1
9.92865E+17,Started my 1st job already and starting my 2nd one this Monday. I'm readyyyyyy,0.962662697,323,3,1
1847158452,starting week 2 of the new job.... no fun,0.96265769,324,3,1
2.4064E+17,Start new job 2maro,0.962656736,325,3,1
20310106393,"YAY!!!!!! I GOT THE JOB!!

!Livinig4jesus!",0.962643802,326,3,1
1.3585E+17,First day on my second job :),0.96054107,1001,4,1
