rank,tweet_id,text,score,point,class,Calibrated score,log_score
1,3.05351514380181e+17,Im just layin here .,0.989996790885925,0,0,0.9206770234250067,-0.0043662131830495
2,1.18716589141235e+18,I’m in a funk. I’m sad.,0.989275395870209,0,0,0.8613887969594216,-0.0046827920654966
3,4.07832721193316e+17,"I haven't slept, I'm sick, and I'm in a shitty mood.",0.989223897457123,0,0,0.8558959688466157,-0.0047054005917776
4,9.72116336179544e+17,I’m cranky today. It’s bad.,0.989197909832001,0,0,0.8530512895755191,-0.0047168099708568
5,7.19666241133089e+17,SOS!!!! I'm babysitting &amp; I need dinner. Someone help.,0.98918867111206,0,0,0.8520280669252747,-0.0047208661296772
6,2.6441185614635e+16,Sadface. Im losing my voice.,0.989175975322723,0,0,0.850611683719875,-0.0047264401387584
7,6.63930074266112e+17,I need a job. Plz help. SOS.,0.989149034023285,0,1,0.847566334590921,-0.0047382687893862
8,3.70965242676646e+17,I need a drink. I'm stressin right now.,0.989130616188049,0,0,0.845453138262825,-0.0047463553753358
9,2.86252343744406e+17,I need to write. It's raining. I need to write.,0.989130258560181,0,0,0.8454118520526839,-0.0047465123979121
10,3.6156131969611e+17,What day is it today? I've lost my mind.,0.98912900686264,0,0,0.8452672741233455,-0.0047470619773778
11,1.02775989057437e+18,Squeezing my stress ball. I’m stressing bad rn.,0.989122331142426,1,0,0.8444941878140435,-0.0047499930796054
12,7.28441108733133e+17,"I have a migraine, I can't deal right now.",0.989097476005554,1,0,0.8415860107930019,-0.0047609063752381
13,3.66759290943439e+17,I'm sorry I've been so quiet today. I have a cold. :(,0.98908942937851,1,0,0.8406343897852612,-0.0047644395153208
14,3812519970.0,"Im sorry. Im sorry. So so so so so sorry. I need to puke
Sarah.",0.989072740077972,1,0,0.8386447646606907,-0.0047717676012002
15,3.20363316746785e+17,I need a job. Now. ,0.989052355289459,1,1,0.8361853130232839,-0.0047807185024218
16,8.14240919234806e+16,HELP !i need a job,0.989033579826355,1,1,0.8338913506383367,-0.0047889629167587
17,6.95422078489473e+17,I'm losing my voice and I'm sad,0.989028334617615,1,0,0.8332455557927618,-0.0047912661461931
18,7.99299198105555e+17,help. i need soup.,0.98901492357254,1,0,0.8315845165919434,-0.004797155140631
19,4.9791362124324e+17,"Sorry can't tweet, I have died.",0.989003241062164,1,0,0.8301259722320772,-0.0048022851741988
20,6.58145069162209e+17,it's early. I'm drunk.,0.988996028900146,1,0,0.8292201336664797,-0.0048054522149703
101,3.29999359137702e+17,"ADTR AND OM&amp;M IS TODAY GUYS.
IM DYING.",0.988778650760651,2,0,0.7999283540477246,-0.0049009192343635
102,2.1815355758361e+17,Im getting a slight headache.,0.988778412342072,2,0,0.7998940658949233,-0.0049010239533374
103,4.11792577839374e+17,Two more hours to go. I have a headache. :(,0.98877614736557,2,0,0.7995680877588894,-0.0049020187848495
104,9.03651091354616e+17,I don't know what to do anymore. I'm just lost.,0.988775491714478,2,0,0.7994736443642173,-0.0049023067628175
105,3654187484.0,sick. i got the flu. about to go to sleep.,0.988775372505188,2,0,0.7994564689151136,-0.0049023591224688
106,8.94123061942723e+16,I'm in need of a friend. Somebody to talk to. But nobody is here.,0.988772690296173,2,0,0.7990697021318665,-0.0049035372162875
107,7.63919517386838e+17,Feeling pretty low. I need help today.,0.988768458366394,2,0,0.7984582265406639,-0.0049053959930336
108,6.9304808962866e+17,I've been snoozing since 5AM.,0.988768458366394,2,0,0.7984582265406639,-0.0049053959930336
109,1950221347.0,Ugh. Bored. I need a job already.,0.988767325878143,2,1,0.7982943338829418,-0.0049058934135123
110,5.58871488917672e+17,Fuck. I lost. Peace out $80,0.988766014575958,2,0,0.7981044270985336,-0.0049064693747782
317,1.15622653734943e+18,I’m lost ... I need help and guidance right now ...,0.988583207130432,3,0,0.7701815789055708,-0.0049867710879986
318,3.05995302362575e+17,I can't feel anything. I'm lost,0.988582372665405,3,0,0.7700474673513253,-0.0049871376769785
319,6.96982595364594e+17,now I'm just rambling,0.988582372665405,3,0,0.7700474673513253,-0.0049871376769785
320,8.930853635683e+17,I am lost. And hurt. I don't know what to do.,0.988580524921417,3,0,0.7697502895646573,-0.0049879494108209
