rank,tweet_id,text,score,point,class,Calibrated score,log_score
1,6.75341811154481e+17,"We're #hiring! Click to apply: Cleaning Attendant - https://t.co/WpI6fsiMXs #FacilitiesMgmt #Milwaukie, OR #Job #Jobs #CareerArc",0.997326850891113,0,1,0.9999999562174495,-0.0011624883528085
2,7.11564181179204e+17,"We're #hiring! Click to apply: Warehouse Attendant - https://t.co/mPaoaIEgDj #Labor #Salisbury, MD #Job #Jobs #CareerArc",0.997321665287018,0,1,0.9999999540240176,-0.0011647464742023
3,3.89246386429907e+17,"We're hiring! Guest Service Officer in DIF-Mexico City, MEX http://t.co/JARcLPXOyt #Job",0.997317731380463,0,1,0.9999999522862265,-0.0011664595396436
4,7.59109616047301e+17,"We're #hiring! Click to apply: Field Service Technician - https://t.co/ZqTxHbLOkx #Job #Energy #LosAngeles, CA #Jobs",0.997316658496857,0,1,0.9999999518008676,-0.0011669267404822
5,7.26414202881999e+17,"https://t.co/lCi1NM8xkp: Team Member - Cook (#GAITHERSBURG, MD) https://t.co/kaOPbnl3Qz #Hospitality #Job #Jobs #Hiring #CareerArc",0.997315347194672,0,1,0.9999999512008666,-0.0011674977644119
6,7.71488508955468e+17,"We're #hiring! Click to apply:Welding Instructor -https://t.co/Ah3L52lya2 #Clarkesville, GA https://t.co/g6hJDDv4H0",0.997314512729645,0,1,0.9999999508151242,-0.0011678611436672
7,7.18340851001344e+17,"We're #hiring! Click to apply:Machine Operator, Maintenance Technician -https://t.co/gIToF7nSD0 #Florence, SC https://t.co/yfVa7Vin0U",0.997313559055328,0,1,0.9999999503704998,-0.0011682764346172
8,3.30207006713606e+17,Property Manager (Downtown L.A.) - http://t.co/O5QZrOL0lX #Hiring,0.997312426567077,0,1,0.9999999498372306,-0.0011687695931359
9,7.40529071646335e+17,"We're #hiring! Click to apply: Coffee Shop Attendant - https://t.co/1IKTvcoKQQ #Hospitality #Sandusky, OH #Job #Jobs #CareerArc",0.99731171131134,0,1,0.9999999494974476,-0.0011690810619623
10,7.58763069950407e+17,"We're #hiring! Click to apply: Transit System Project Planner - https://t.co/JHsO3OJLHH #Job #MARTA #Atlanta, GA #Jobs",0.99731171131134,0,1,0.9999999494974476,-0.0011690810619623
11,5.03314590114251e+17,"Apply Now: Consultant - Organizational Development Specialist in Atlanta, GA http://t.co/PLSHq78kaN #job",0.99731171131134,1,1,0.9999999494974476,-0.0011690810619623
12,5.02438396040868e+17,"Apply Today - UI Developer in New York, NY http://t.co/wPr4kaU74k #UIDevJob",0.997310280799866,1,1,0.999999948810888,-0.0011697040002854
13,6.09378177073422e+17,"Now Hiring - Digital Designer  in New York, NY http://t.co/G0wqBbKAYt #job",0.997308611869812,1,1,0.9999999479979679,-0.0011704307627921
14,7.20714080521101e+17,"We're #hiring! Click to apply: Team Member - Cashier - https://t.co/o9SxBpApro #Hospitality #ALBANY, NY #Job #Jobs #CareerArc",0.997308015823364,1,1,0.999999947704489,-0.001170690321125
15,7.35469667175653e+17,"We're #hiring! Click to apply: IT Support Technician in Washington, DC - https://t.co/nme2mEm6fD #IT #Washington, DC #Job #Jobs #CareerArc",0.997307419776916,1,1,0.9999999474093343,-0.001170949879613
16,4.69810513275527e+17,"Now hiring for: Application Architect - .NET in Nashville, TN http://t.co/nmJIKWJd6w #job",0.9973064661026,1,1,0.99999994693358,-0.0011713651735161
17,2.95976449423335e+17,"Now hiring: Manual Testing / QA Analyst - Kaztronix, LLC - Piscataway, NJ http://t.co/YB3LzMCo #jobs",0.997305989265442,1,1,0.9999999466940744,-0.0011715728206166
18,7.12649981732127e+17,"We're #hiring! Click to apply: Patient Care Technician - https://t.co/18om6WLSzQ #Healthcare #dialysis #Plymouth, NC #Job #Jobs #CareerArc",0.997305512428284,1,1,0.9999999464534762,-0.0011717804678164
19,4.72431009188028e+17,"I'm hiring - Sr. Developer, Video Platform in Atlanta, GA http://t.co/uyBYLX8q9F #job",0.997305393218994,1,1,0.9999999463931536,-0.0011718323796321
20,3.99200722476347e+17,"Apply Today: Web Developer - Minneapolis, MN in Minneapolis, MN http://t.co/ypBhRmwYNS #job",0.997305274009705,1,1,0.9999999463327647,-0.0011718842914535
101,7.54373349443183e+17,"Can you recommend anyone for this #job? Assistant Store Manager - Sperry - https://t.co/kThWVDNK06 #Retail #BocaRaton, FL #Hiring #CareerArc",0.997291266918182,2,1,0.999999938736045,-0.0011779839737013
102,3.26372707656688e+17,"We're hiring a Sr. International Accountant (Santa Clara, CA) http://t.co/f6pfiIUtEf #Job",0.997291266918182,2,1,0.999999938736045,-0.0011779839737013
103,7.53638691810062e+17,"We're #hiring! Click to apply: NET MVC Developer - Davie, FL - NEEDED ASAP - https://t.co/v0goKAlp3g #Job #IT #Davie, FL #Jobs #CareerArc",0.997291147708893,2,1,0.9999999386669274,-0.001178035886258
104,7.18126060768993e+17,"I'm hiring - Xamarin Developer in Charlotte, NC https://t.co/adJxZdxwDH #job",0.997291028499603,2,1,0.999999938597732,-0.0011780877988214
105,9.76807876634149e+17,"Can you recommend anyone for this #job? Carpenter/Tile Technician - https://t.co/rkQmnCzsv0 #FacilitiesMgmt #Durham, NH #Hiring #CareerArc",0.997291028499603,2,1,0.999999938597732,-0.0011780877988214
106,6.37761493384065e+17,"Can you recommend anyone for this #job? 1-Release Engineer -US - http://t.co/VIoRUAqqCw #Irvine, CA #IT #Hiring #CareerArc",0.997290790081024,2,1,0.9999999384591037,-0.0011781916239664
107,6.70955248836588e+17,"I'm hiring: Accounting Clerk - St. Louis, MO in Ballwin, MO https://t.co/UEMnl1CeFR #job",0.997290790081024,2,1,0.9999999384591037,-0.0011781916239664
