rank,tweet_id,text,score,point,class,Calibrated score,log_score
1,1712283565.0,Got kicked out last night.,0.996340274810791,0,0,0.9064989967175731,-0.0015923139511867
2,5.65013246316462e+16,"Got laid off today. Next Friday will be my last day.  I'm sad & very stressed, but the xanax & ice cream are making me feel a little better.",0.996230900287628,0,1,0.8980178398143795,-0.0016399917982938
3,2131140348.0,Got shut out this morning.,0.996049344539642,0,0,0.8755597000775767,-0.0017191459834855
4,3.23167969599427e+17,Guess I got sent off today,0.996018350124359,0,0,0.8698341627314747,-0.001732660286804
5,4.9524363198113e+17,Just got flipped off 👌,0.996010661125183,0,0,0.8682925133436831,-0.0017360129386927
6,1.07887836045191e+18,Just got dropped off 😐😐😐,0.995974957942963,0,0,0.8604334169367664,-0.0017515810179778
7,1.14276761684036e+18,I got cursed out last night.,0.995974004268646,0,0,0.8602067922581851,-0.0017519968674812
8,3.63460622132187e+17,@fromheretoLI @Rdowling21 sorry bro. I got arrested yesterday. Just got out.,0.995960056781769,0,0,0.8567874707237456,-0.0017580787119616
9,3.57878089176457e+17,"Apparently I got fired today. Huh, that's unfortunate. #Fired http://t.co/5Wg3qA7len",0.995956003665924,0,1,0.8557563063102455,-0.0017598461015429
10,6.64565981407121e+17,Just got fired. No reason.,0.995943486690521,0,1,0.8524546212190327,-0.0017653042618306
11,6.23923960296542e+17,Just got called off of work today so someone do something with me!!!,0.995940804481506,1,0,0.8516452147749162,-0.0017664738765313
12,2.97142413879828e+17,Just got kicked out of my house. Who's house can I stay at tonight?,0.995925068855285,1,0,0.7473691098553407,-0.001773335679556
13,2.14918692247585e+17,Just got pissed off!! Good nite...,0.995922684669495,1,0,0.7466191328540606,-0.0017743753561383
14,3.20253096674615e+17,Had to have surgery to remove my gall bladder Wednesday...Ugh. Just got released from the hospital today. Very sore but happy to be home.,0.995918452739716,1,0,0.7453634048266294,-0.0017762207882024
15,1.24585339487653e+18,I just got laid off 😢,0.995879054069519,1,1,0.7327678012952934,-0.0017934018771481
16,2.8184022543147e+17,Just got checked out .,0.995861113071442,1,0,0.726456431734627,-0.0018012258660332
17,9.06233320710832e+17,I've already called Holly 3 times today and I just got out of school...,0.995856940746307,1,0,0.7249385108700691,-0.001803045418534
18,2.96478557453025e+17,I just got pulled over. WTF!!,0.995841801166534,1,0,0.7192772686312431,-0.0018096478587681
19,24988865380.0,Just got kicked out. Hopefully theres a hotel somewhere.,0.995840847492218,1,0,0.718912806374515,-0.0018100637638755
20,3.81975911240716e+17,Just got pissed the fuck off .,0.99582976102829,1,0,0.7146104351379328,-0.0018148986899794
101,6.99617144795836e+17,I got out of bed today. Go me!,0.995403051376343,2,0,0.5655365883243733,-0.0020010322740563
102,6136439091757056.0,Just got knocked out. Hahah foots bleeding.,0.995401978492737,2,0,0.5653513465326188,-0.0020015003735666
103,1.80099163046941e+17,i just got jumped..!!!,0.995400011539459,2,0,0.565013808522503,-0.0020023585573127
104,4.89908442510152e+17,Well...I just got kicked out of my house 😳,0.995392084121704,2,0,0.5636800714869439,-0.0020058173150547
105,2.27179538998784e+17,i got ditched today wow,0.995391249656677,2,0,0.5635421129302705,-0.0020061813964195
106,1.05443972545135e+18,I got kicked out of the taco bell in my building this morning. I've reached my peak.,0.99538642168045,2,0,0.5627527985511224,-0.0020082878731641
107,7.53761568177873e+17,Lol just got fired.😹✌🏻️ whoops.,0.995381593704224,2,1,0.5619783175909789,-0.0020103943601254
108,2.98856753859269e+17,Just got put out the library !,0.995380997657776,2,0,0.5618837111285078,-0.0020106544209528
109,2.97715294762332e+17,Well I lost my phone last night.,0.995377540588379,2,0,0.5613392890332258,-0.002012162776822
110,7.29346608966599e+17,I just got dumped..?,0.995372354984283,2,0,0.5605361457723912,-0.0020144253204486
317,1.77289284208955e+17,"I honestly just got dumped Monday and @Scottie_Martin 's tweets can make me smile! And feel better

-Erin",0.995012938976288,3,0,0.5198355960966824,-0.0021712717271722
318,9.91582198171074e+16,Just got locked out of my office... :(,0.995009660720825,3,0,0.5193611861312889,-0.0021727025935936
319,3.73977352868348e+17,"Lost my keys. 
I'd use my extra one but I lost it last night.",0.995008826255798,3,0,0.5192390809719459,-0.0021730668148899
320,1.97124267157111e+17,I just got outtttt @palmsheaaa woooop,0.995007753372192,3,0,0.5190812694159447,-0.0021735350998626
321,8.85997836042719e+17,Just got pulled over.... again 🤦🏽‍♂️,0.995005071163178,3,0,0.5186826353818053,-0.0021747058145029
322,2.9682485672765e+17,Just lost power-very spooky with the rain.,0.995003283023834,3,0,0.5184135501599964,-0.0021754862926837
323,2.4304897494732e+17,Just got thrown out of verizon #yolo,0.995001375675201,3,0,0.5181235168385643,-0.0021763188042889
324,3.61432510636368e+17,Just got sick outta nowhere... Great,0.995000422000885,3,0,0.517977314274935,-0.0021767350606897
325,2.60119963883409e+17,Just got laid...now weed,0.99499785900116,3,0,0.5175803946860874,-0.0021778537517442
326,8.68941682892583e+17,Wow I got fried today,0.994994342327118,3,0,0.5170260354123652,-0.002179388704625
1001,1.09044820568522e+18,"Oh, I got broken up with today. https://t.co/QkCmYyCfZI",0.994467258453369,4,0,0.20038251961942719,-0.0024095108875668
1002,1.19834151033442e+18,"I got banned for 12 hours last week. I used the word “slaq”
Except I used the correct letter on the end. I said @KellyannePolls should have  blank @wolfblitzer for being ugly about her marriage. I got out in twitter jail. https://t.co/kyKWRxnUrp",0.99446702003479,4,0,0.20027439991512938,-0.0024096150075212
1003,5.56399595955159e+16,Just got out of class and my stomach is growling.,0.9944669008255,4,0,0.20022037303820697,-0.002409667067508
1004,4.56153330935271e+17,Got pulled over for the first time last night.,0.994466602802277,4,0,0.20008540193194446,-0.0024097972175015
1005,6.9479634238473e+17,Just got punched in the chest 👊🏾,0.994466483592987,4,0,0.2000314518925405,-0.0024098492775102
1006,4.26453070088655e+17,I broke out in hives today. That wasn't fun.,0.99446564912796,4,0,0.1996544149407674,-0.0024102136977441
1007,7.96353093734728e+17,Just lost a friend. Wow. I am super close to having an emotional breakdown.,0.994463860988617,4,0,0.19885007835934448,-0.0024109945992749
1008,1.17420223325413e+17,I went the fuck off today,0.994463860988617,4,0,0.19885007835934448,-0.0024109945992749
1009,3.18342265338675e+16,Just got out of church. Potters House in Las Vegas! Sin City! Believe it brotha!,0.994463860988617,4,0,0.19885007835934448,-0.0024109945992749
1010,4.80082713610052e+17,I just got home yesterday and I already want to go back. Thanks for nothing.  😔😥,0.994463384151459,4,0,0.19863641390947845,-0.0024112028399202
2155,5.83468781210481e+17,"I got pulled over today and I was hoping the police officer would be like \""April Fools\"" and let me go. But he didn't..",0.993951320648193,5,0,0.09960625642384795,-0.0026348849100958
2156,7.8958956245667e+17,Tbh I've done nothing with my life since I got home today.,0.993951082229614,5,0,0.09959424347748452,-0.0026349890840965
2157,8.33190659104191e+17,I lost friends today... thank you those of you that did me that favor. 👍🏻,0.993950843811035,5,0,0.09958224220733866,-0.0026350932581223
2158,4.19563268412154e+17,I just got kicked out of my own basement by my brother and his friends so feel free to come save me anyone 😅,0.993950843811035,5,0,0.09958224220733866,-0.0026350932581223
2159,1730283592.0,"Lost my billfold last night; spent the morning canceling cards, digging out my passport, making sure I could still travel Monday. Sigh.",0.993949770927429,5,0,0.09952838055002719,-0.0026355620415478
2160,5.4128391478274e+17,"I got kicked out the party last night 😂😅
There wqs fights...
Domestic disputes
My shit got stolen 
Hah my night tho... &lt;&lt;",0.993948936462402,5,0,0.09948665044612356,-0.0026359266512286
2161,6.11750707645944e+17,Literally just got so sad 😞😢 https://t.co/b8VHWFa7nk,0.993948936462402,5,0,0.09948665044612356,-0.0026359266512286
2162,4.59411969582592e+17,"Just got out of school, man I can't wait to get home and sleep :) 😊😴 http://t.co/wa01J9JLj5",0.993948578834534,5,0,0.099468809396829,-0.0026360829126137
2163,3.67469076471226e+17,Just got back !!,0.993948459625244,5,0,0.09946286813643448,-0.0026361349997549
