,neg_model,pos_model,text
535834,0.023072647,0.9769273,"#Job alert: CDL A (HazMat REQ)Tractor-Trailer Truckload Driver Dedicated | UPS | #GREENWICH, CT https://t.co/lbaWspSsd4 #Jobs #Hiring"
85489,0.023129437000000003,0.97687054,#NeedRegularCleaning #job in  # #Detroit apply at https://t.co/NXLtTe7rWw
321837,0.023215602999999998,0.9767844000000001,#Senior #DevOps Engineer needed in #NewYork at Constant Contact. Apply now! #jobs http://t.co/3LpSnEcCCt
334455,0.02341989,0.9765801,#Part #Time Warehouse I Phoenix AZ needed in #Phoenix at Nestle. Apply now! #jobs http://t.co/KOcZuJ3c7K http://t.co/xR5V848MnS
522987,0.023493327,0.97650665,#Retail #Store Shift Supervisor needed in #LasVegas at CVS. Apply now! #jobs http://t.co/LLhAKaPybb http://t.co/96DFDx2arn
20539,0.023525367000000002,0.9764746,"Teak Media + Communication is hiring! #Public #Relations Account Executive in #Boston, apply now! #jobs http://t.co/An32OSVlcH"
431226,0.023547172999999998,0.9764529000000001,#Buyer #I needed in #Pittsburgh at Life Technologies. Apply now! #jobs https://t.co/1kO6cbaCep
69061,0.023657313,0.97634274,"#job alert: Lead Cook needed in #Beaverton, #OR https://t.co/VZCbKNMq1M #jobs #hiring"
486664,0.023823338,0.9761766,#Yelm #CS - Cafeteria Worker/Cashier - 2014-15 needed in #Washington at GovernmentJobs. Apply now! #jobs http://t.co/TGycmw9THk
224011,0.023872777999999997,0.9761271999999999,"@Indeed Needs U: Software Engineer, Full Stack (Resume Team) @Jobvite #Jobs #theforceawakens
https://t.co/Vqj4onGjVY #job"
245251,0.023899973999999997,0.9761001,"#job alert: Territory Sales Manager needed in #Modesto, #CA https://t.co/j8yAVCW164 #jobs #hiring"
38777,0.02395677,0.97604316,"#Associate, #Warehouse needed in #Phoenix at Office Depot. Apply now! #jobs http://t.co/cYgtvxsVP0 http://t.co/bNI0yiXXS8"
