,neg_model,pos_model,text,dist_point5
26968,0.50002515,0.49997482,I'm so much happier when I have 4 jobs riddle me that,2.5180000000013525e-05
434545,0.49994653,0.50005347,Palisade athletic director Mike Krueger resigns. Krueger was hired as the District AD for Aurora Public Schools. #GJSentinelSpts,5.3469999999999906e-05
419127,0.49986464,0.5001354,Got to class feeling good about my homework to realize I left it in my room.. #dandy,0.00013540000000000774
152303,0.50014466,0.49985534,"Me: I actually got up and got ready for work on time this morning and I'm feeling so good 

Train: lmao sike",0.00014466000000001866
84096,0.4998548,0.5001452000000001,After like 3 months of not working and a few months of being freelance it's tight to not be completely broke,0.0001452000000000675
54358,0.49985272,0.5001473,Why my coworker asked me where I could get some molly and weed at today when I was leaving lol,0.00014729999999996135
440057,0.49984914,0.50015086,Met some people at work who were there.,0.0001508599999999749
338646,0.5002054,0.4997946,Just got outa work like a nigga selling crack,0.00020540000000002223
443853,0.49972690000000003,0.50027317,"I've been up for the last 2 hours, I gotta be at work at 11, and its a 9 hour shift...",0.00027317000000004477
77943,0.49972394,0.5002761,I actually got work off when I asked for it tonight (only 4 hours but still) 😁🙌🏻,0.00027610000000000134
389000,0.50027907,0.49972096,"Weather was nice, on my way to work, shitty when I got to work and nice when I got off.... Iowa weather is more moody then a white bitch.",0.00027904000000000817
207369,0.5003005,0.49969947,Fuck bro I gotta work a double today!!!,0.00030053000000002106
261372,0.5003027,0.49969733,I have to get this work for school done today like Tuesday is the last day of class lol 😭,0.0003026700000000049
283200,0.499683,0.500317,I need to be getting ready for work,0.0003170000000000117
132983,0.49965662,0.5003434,Ready to get back to work 💰💵💸,0.0003433999999999937
10615,0.5003456000000001,0.49965438,Tomorrow we head to Kent State for our 1st spring tournament. Can't wait to see what we have learned &amp; what we need to work on! #YSUVB 🐧🏐👊🏻,0.00034561999999999093
200640,0.50034773,0.4996523,We do good work!,0.00034770000000000634
327099,0.4996122,0.5003877999999999,Even though things aren't going exactly how I planned I'm gonna make it work,0.0003877999999999382
247472,0.49958435,0.5004156,QUIT BEING SO RUDE,0.00041559999999996045
220339,0.5004289000000001,0.49957106,love going to work still drunk 😄,0.0004289399999999888
421518,0.5004491,0.49955085,It's so nice out and I'm at work😃🔫,0.00044915000000000926
488395,0.49952126,0.50047874,I love pulling up to work to see a full patio! $ time!,0.00047874000000003303
392984,0.5004799,0.49952015,It's Friday. And I'm off work? Hell has frozen over. 🙅,0.0004798500000000039
409602,0.50048286,0.49951709999999994,"So proud of Rohan Campbell and his work in ""Klondike""!",0.00048290000000006383
