,neg_model,pos_model,text,dist_point5
12317,0.49999186,0.50000817,"RT @JayBilas: This is my life, I ain't tryin' to set trends. 'Cause everybody knows how this brick road ends. I gotta go to work.",8.169999999974031e-06
108339,0.5000111,0.49998894,@DelaneyJoanne oh god I wish but blah I work Wednesday!,1.1060000000007175e-05
369533,0.49998572,0.5000143,I need to leave work already !!,1.4300000000022628e-05
173611,0.50002396,0.49997607,Someone bring me fries to work I'm feeling pretty shitty,2.3930000000005336e-05
145020,0.49995816,0.50004184,My head is pounding and I have a long shift at work tomoro but no where near sleepy xD,4.183999999995969e-05
420988,0.49993230000000005,0.5000677,RT @MensHumor: My boss asked me why I wasn't working today...I told him I was going as #Obamacare for Halloween.,6.770000000000387e-05
420996,0.49993230000000005,0.5000677,RT @MensHumor: My boss asked me why I wasn't working today...I told him I was going as #Obamacare for Halloween.,6.770000000000387e-05
421256,0.49990326,0.50009674,WHY DO I WORK TIL 11 AT NIGHT ON A SATURDAY!?!!? #MORECRYING,9.674000000003957e-05
29792,0.50009716,0.49990278,Bouta start getting myself together for work 💸,9.722000000000897e-05
393515,0.50010526,0.49989474,Why would I get embarrassed about my job if I am making a lot of money?,0.00010525999999999591
145491,0.5001055999999999,0.49989438,"oh guys, I'm really bad ... I have a disease that does not quite know what it is :( I hope to improve",0.00010561999999997296
434722,0.49989155,0.5001084,phone on silent and hittin the sheets. Beyond tired and back to hell. I mean work tomorrow,0.00010840000000000849
378457,0.50011533,0.49988459999999996,I've never made a better decision in my life than quitting the hotel &amp; taking a chance on doing what I wanted. 😁,0.00011540000000004325
212425,0.4998619000000001,0.5001380999999999,I think a mosquito bit me on my forehead bruh 😂,0.00013809999999991884
380574,0.49983599999999995,0.500164,"Okay that was weird. I called the temp agency to check on if the Lab looked at my resume yet, walked away, COMPLETELY different job called.",0.000164000000000053
313609,0.49982342,0.50017655,"RT @pinningnut: I swear this mood is caused from not drinking.

Can I have withdraws 5 months after I quit drinking?",0.00017655000000005305
428699,0.49982150000000003,0.50017846,"It doesn't matter what I do, if I work out or dye my hair or cake on makeup I'll never be good enough for you. So I don't care anymore.",0.0001784599999999914
214283,0.5001814,0.49981859999999995,People don't understand I literally don't do shit at work. Be bored asf.,0.00018140000000005374
425180,0.50019795,0.49980202,All these mosquitoes chewing me up and shit,0.0001979799999999865
62798,0.49978924,0.50021076,Massive car meet outside of work 😱,0.00021075999999997652
56972,0.5002138,0.49978623,I be at work looking like a straight poo-putt,0.00021377000000000201
372516,0.50021416,0.49978584,I need a new job,0.00021416000000001878
361109,0.50021416,0.49978584,I need a new job,0.00021416000000001878
434497,0.50021416,0.49978584,I need a new job,0.00021416000000001878
265299,0.50021416,0.49978584,I need a new job,0.00021416000000001878
132726,0.50021416,0.49978584,I need a new job,0.00021416000000001878
439203,0.50021416,0.49978584,I need a new job,0.00021416000000001878
97068,0.49977618,0.5002239,"@TFLJr Jesus Christ, in 2018, I'm a retired veteran who has a pension, disability, and a good paying job and I can't do that!!",0.0002239000000000546
380158,0.5002389,0.49976107,Who job hiring 👀,0.00023893000000002607
380061,0.49975094,0.5002491,The work gets dark and people think I must be dark. But they don't know and they can't see what's right in front of them--I was born dark.,0.0002491000000000021
65501,0.4997438,0.5002562,So bored at work today.,0.00025620000000003973
51043,0.49974078,0.5002592,"I start business school in August, I am also a manager who works 40 hours a week. Goodbye social life",0.000259200000000015
437833,0.49973446,0.5002655,On first flight to Vegas...gotta make connection in Philly. Hope it all works out. No one wants to be stranded in Philly,0.0002655000000000296
420007,0.50027794,0.49972209999999995,Exactly one week until I start my new job!! #excited,0.0002779000000000531
133129,0.49971673,0.5002833,"RT @GHETTOCHINESE: Where do you work? I don't have a job
How do you stay with money? mind yo fucking business 😂",0.00028329999999998634
268084,0.50029147,0.4997085,I got the job 🙌🏽,0.0002915000000000001
438133,0.50029147,0.4997085,I GOT THE JOB 😏👌,0.0002915000000000001
337701,0.50031483,0.49968517,I'm not tryna ride the bus when it looks like its gunna pour. Helllllll nahhh. I might get fired today lol,0.0003148299999999882
409802,0.4996825,0.5003175,I'm sick and the fact that I have work in the morning &lt;&lt;&lt;&lt;&lt;,0.0003174999999999706
329971,0.49966794,0.50033206,@sboulton quit it. You do not want.,0.0003320599999999674
279566,0.50033873,0.49966124,My co workers probably be thinking im crazy cause im just laughin 😅,0.0003387599999999935
423441,0.5003541,0.49964592,Why give up? Why quit? Don't give up on anything.,0.00035407999999997886
115335,0.50039977,0.49960020000000005,"I didn't get in a workout today, but I can't wait to kill it tomorrow. Today I was just SO exhausted from the week, and I woke up at 5 AM. 😴",0.0003997999999999502
55549,0.5004069,0.49959308,I have to leave for work in 10 minutes and I don't even have the energy to get out of bed. 🙃,0.0004069199999999773
142965,0.50042814,0.49957183,ok i need to sleep i have to be at work in 7.5 hours,0.0004281700000000055
369710,0.49956286,0.5004371,IVE LITERALLY DONE HOMEWORK ALL FUCKING DAYYYY,0.00043709999999996807
415050,0.49955434,0.50044566,"""This fuckin job can't help him ? So I quit, y'all welcome."" - Kanye",0.0004456600000000144
434874,0.50047517,0.49952483,"I'm at work, sick...i hope I get to go home early..if not, I have feeling I'm going to throw up on a customer.",0.00047517000000002474
433852,0.49951705,0.5004829000000001,Just to let everyone know @arielt1025 drunken self dropped her phone in the toilet has no phone till well she gets done at work maybe lol,0.00048290000000006383
425343,0.5004847,0.49951532,@BelAmourRih lmao I don't have off until after the 27th until then I'm pretty much working girl 😫,0.0004846800000000151
323663,0.50049025,0.49950975,Not going to work tonight to much shit on my mind,0.0004902500000000254
317990,0.50049037,0.49950963,"RT @loganjp45: Part of me doesn't wanna work and bum around all summer, but the other part of me wants money. 🤔",0.0004903700000000177
233493,0.49949896,0.50050104,@ReyzGaming @klovaking33 cool I just got off work gonna eat n get on. Bo1 or bo2,0.0005010399999999526
145479,0.5005149999999999,0.49948505,Coworker sending me drunk text messages,0.000514950000000014
163844,0.4994845,0.5005155,I don't want to go to work 😒,0.0005155000000000021
41929,0.4994845,0.5005155,I don't want to go to work 😭,0.0005155000000000021
1222,0.4994845,0.5005155,I don't want to go to work 😞,0.0005155000000000021
344624,0.49947256,0.5005274000000001,@princessallly Right haha alright cool. I know you work so when are you off.?,0.0005274000000000667
381577,0.49946899999999994,0.50053096,New things are in the works. Getting pumped!,0.0005309599999999692
356305,0.49945159999999994,0.5005484,Stalking everyones eid pictures all day cause I'm stuck at work. Y'all look hot just fyi,0.0005484000000000044
3113,0.50056636,0.49943370000000004,"Fuck up off of my dick, no bitch you my hoe job.",0.0005662999999999641
434033,0.5005765,0.49942353,"""I don't think I've ever been stressed out. I got practically no responsibilities, my job's a breeze, and I got a killer rack! Ha ha ha ha!”",0.0005764699999999956
350314,0.49942127,0.50057876,RT @Ethan_H9: Why can't I just be filthy rich and not need to go to work?,0.0005787600000000115
224790,0.49941397,0.5005861,"Hey Mosquitos, FUCK OFF. thanks 😘",0.0005861000000000338
141511,0.49940476,0.5005953,I walk into work and my manager asks how I'm doing.. I start crying,0.0005952999999999653
11380,0.49939695,0.5006031,RT @ThaRealGNasty: Work tomorrow. Thank god. I've had too much time on my hands. I need money.,0.0006030999999999676
344871,0.5006109000000001,0.4993891,Im glad I don't have to work.,0.0006109000000000253
342099,0.49936056,0.50063944,I've been doing slave work since 10 am and I'm still not even done wtf ! #DEAD,0.0006394400000000466
135839,0.5006443,0.49935567,my sc never works ever sense i changed to t mobile,0.0006443300000000263
140112,0.49932438,0.50067556,RT @So_Justice: I'm literally so tired !! I just want to nap ! Work always has me exhausted 😴,0.0006755600000000195
139529,0.49931666,0.50068337,I deadass just got ready for this job forgetting I ain't even have my resume,0.000683369999999961
337478,0.5006851999999999,0.4993148,It's a hot day! Good thing my AC works. Oh wait it doesn't work!,0.0006851999999999969
113408,0.5006964,0.49930355,I've been waking up 2 hrs before I have to be up for work alllll week. What gives 😫😴😵,0.0006964500000000151
403811,0.5007008,0.4992992,God has been doing some serious work in my life lately and has provided me with so many great things. I am just overflowing with joy!,0.0007008000000000014
335729,0.49929103,0.500709,"maintenance guy is like my best friend today. its sad. so uh, is the air working? got that internet working? is everything workin?",0.0007089999999999597
373896,0.49926390000000004,0.5007361,Errr body and they mammy in PC and I gotta work all weekend 😑😑😑,0.0007361000000000173
347431,0.50073916,0.4992608,In a class of my own  teacher got fired #2Chainz,0.0007391999999999954
134077,0.50074005,0.49925995,@DadGrombone Working at ur graduation. My feet hurt. I want beer.,0.0007400499999999921
92400,0.50075525,0.49924478,Don’t want to work tomorrow,0.0007552200000000009
99314,0.5007621,0.49923787,Working late for the next 3 days 🙄,0.0007621300000000275
326127,0.49923515,0.50076485,I need this new job more money = tattoos,0.0007648500000000391
268889,0.5007868,0.49921325,I got off work 4 hours ago and I've already had two naps...,0.0007867500000000027
387805,0.49919677,0.50080323,I need a new job . I need to make this money .,0.0008032300000000436
23584,0.5008045999999999,0.49919540000000007,"RT @HarrisJOfficial: Been away from home  few weeks now. Missing my family a lot, but I'm having fun too.. #WorkWorkWorkWorkWorkWork... htt…",0.0008045999999999331
426963,0.49918455,0.50081545,Im ready for everyone too get off of work already 😞,0.0008154500000000509
114110,0.5008514000000001,0.49914858,@jonnah21 ugh I can't stand people like that!! Makes work so much more miserable lol that's why I have to be my own boss.,0.0008514199999999916
343527,0.4991347,0.50086534,@Tanya_Chavez I am just a big pile of sexy I am done working on myself. bahaha jk but idk idc I guess lol.,0.0008653400000000477
195938,0.49913135,0.5008686,@CassieChampion no you! :D I hope so too! Today is my only day off and I have so many errands. Works horrible 😥,0.0008685999999999972
51477,0.5008864000000001,0.49911362,I would've got fired that day. https://t.co/w9OUhM4kKI,0.0008863800000000199
88763,0.50088716,0.49911284,All I do is work 😩,0.000887159999999998
347772,0.49908739999999996,0.5009126,I just want to stop this crying cause Im hurt for no reason why do I think that it'll work out cause mostly they never last :(,0.0009126000000000412
344846,0.5009153000000001,0.49908474,What a movie moment this is... Everything breaking when I need it to work and it's raining while Im stuck in a parking lot,0.0009152599999999733
111490,0.49908379999999997,0.5009162,man it's cold as the fuck and I don't feel like going to work,0.0009162000000000337
62184,0.49908018,0.5009198,I hate working after noons cause it's the longest recess.... Ya girl dripping sweat,0.0009198000000000262
70574,0.49907187,0.5009281,I have a mosquito bite on my forehead. Lovely. 😒,0.0009280999999999873
355063,0.49906090000000003,0.50093913,I was only at work for three hours and I'm exhausted. Sunday mornings are crazy🙅⛪,0.0009391300000000102
110727,0.49904683,0.50095314,"I'm hungry, cold , tired and have homework and you have done nothing",0.000953140000000019
387683,0.5009617000000001,0.4990383,Ahhhh feels so good to be getting ready for WORK. Not servin nobody hahahaha,0.0009617000000000098
59294,0.49902257,0.50097746,We need a 🚗!  Got to get a job.  I know easier said then done.  Do u contact him tomorrow or what?,0.0009774599999999856
349337,0.50099844,0.49900153,I dont want to go to work....ugh,0.0009984699999999735
