,neg_model,pos_model,text
3636722,0.97181016,0.028189888,@chateausalon Emilie is going to work her magic! #Before https://t.co/hYLAC3YLca
5469630,0.97164303,0.028357017999999998,"Reality Bites Back: ‘Dudes of Juicy Couture,’ Left shocked Obamacare is costing them work hours #Ccot #tcot #wtp http://t.co/LF9A8UxpnI"
4263854,0.9714560999999999,0.02854386,Allison and D.J. Fix Your Stupid Problems About Work https://t.co/L1gFaP7EhH via @tfpHumorBlog
4567532,0.97144216,0.028557874,RT @ExpelledMovie: .@camerondallas working hard for you guys. #Expelled http://t.co/LzY9Ql25rT
3858801,0.97144216,0.028557895,RT @ExpelledMovie: .@camerondallas working hard for you guys. #Expelled http://t.co/LzY9Ql25rT
6896878,0.97144216,0.028557895,RT @ExpelledMovie: .@camerondallas working hard for you guys. #Expelled http://t.co/LzY9Ql25rT
6896797,0.97144216,0.028557895,RT @ExpelledMovie: .@camerondallas working hard for you guys. #Expelled http://t.co/LzY9Ql25rT
1971765,0.9713419,0.028658025,Hard at work today y'all 😴 http://t.co/WQBeACQcVe
4534324,0.9711485000000001,0.028851515,We got to dress up at work this year!!!! #b71rocks  #halloween2014 http://t.co/FFDerkpYeq
1987170,0.97113246,0.02886751,Met the guys fixing roads in Lawrence our at dinner. #goodguys #urtaxdollarshardatwork… http://t.co/Fadr5TNhaa
5676763,0.9711158000000001,0.028884156,Tell us how you spent your Fourth of July this year! Camping? Block party? Fireworks? http://t.co/cozgLipmPC
225179,0.9710931999999999,0.028906783,"Birthday festivities today bc @T_rains10 works tomorrow. Perfect day, perfect gifts, perfect guy 💕🎣 http://t.co/laffAsS5cX"
4947205,0.9710485000000001,0.028951524,Fireworks. Bonfire. And my girl @Emily_McGaffic #allineed #vacation
8150977,0.97102934,0.028970682999999997,RT @Lizzs_Lockeroom: I quit RT @aaron_est_laced: Crying http://t.co/gnKVLHsiQW
2726695,0.97099316,0.029006792000000003,Did you leave your last run covered in bug bites? Learn how to keep pesky insects away while you're working out: http://t.co/S0MfTl5BcW #UMN
7746555,0.9709443999999999,0.029055571000000002,Friday Morning Fly By: LET'S GO KIM-MO! clap clap clapclapclap (it worked last time) http://t.co/WAPoEaVlQx
1689912,0.97089124,0.029108811000000002,20 Things They’ll Never Tell You About Being a Sex Worker ~https://t.co/4tsuQmiCzC~ #SexWorkers #Escorts
6449518,0.97087985,0.02912009,RT @mbquilts: ::quiltr:: Afternoon break from too much fun - http://t.co/oSkidnW7v4 #Dayjob #Dothework #Haiku
5411378,0.9708763000000001,0.029123746000000002,"RT @TheHuntingGirl: The best parts of Fall:
- Cool weather
- Hoodies
- Football
- Bonfires
- All the mosquitoes die and burn in Hell"
8366437,0.9708573,0.02914272,Your Bad Job Is Ruining Your Mental Health (and It's Not Getting Any Better) https://t.co/GyB88Ou0N6 #Startups
2606692,0.9708434000000001,0.029156632999999998,we had fun at work today lol http://t.co/Rs1NHlMQaa
7994917,0.9708318000000001,0.029168261,Got my Lee Live ticket! :D finally going this year! #schoolevent #workevent #work #fundraiser http://t.co/QYrf1eccqu
4648047,0.97082293,0.029177124,RT @ShaanParvaga: Sister was crying because she had so much homework lmao noob. http://t.co/CYHBxpHQDO
2163493,0.9708136,0.029186467,NMSF and Smokey hanging with 4th graders @ Bernalillo Elem. today. A busy bear's work is never done! @smokey_bear  #fireprevention
718493,0.9708053,0.029194755,Came into work and found this in my locker. Thanks guys http://t.co/AZHDjrtBFX
1499257,0.9707709999999999,0.029228987,#snow is trying to work its way into #Howard County #HoCo this now. http://t.co/YM2YvTDwZY
4090421,0.97076786,0.029232128,We can't control our excitement for #BringYourDogToWorkDay tomorrow #FridayFun http://t.co/p5yRhHjdjI
7491567,0.97071844,0.029281536,RT @Emp_Parents: Homework Hell? Part I:  How to Turn It Around http://t.co/NLXPz86KHC #parenting
3830330,0.9707155000000001,0.029284505,New updated lovelies list! Thank you so much for all the love guys!&lt;3 @robzstang @TomArquitt1tomm @HornyDutchy http://t.co/ECicHZnuvH
192661,0.97068036,0.02931966,RT @MikeMcPeck12: Mosquitos almost ruin summer days #somanybites
5035448,0.97067505,0.029324975,RT @jasminethomas38: #growingupwithawhitemom :  The Most Embarrassing Things Your Parents Did https://t.co/jObHhCEEaU
4543096,0.970649,0.029350927000000002,We miss the jeans... http://t.co/9SLXcB8nZU RT @TigerWoods: Back to work @BluejackNation http://t.co/DiRlngKjYj
6962652,0.9706294,0.029370675,RT @_youhadonejob: And you thought you had a bad day. http://t.co/9qfCkKRmg1
5380395,0.9706096,0.029390397000000002,@GailJonesEFS *walks in sees you hard at work* http://t.co/T0PDqbKXQu
4925235,0.97060883,0.029391186,Rogue's Rants is out! http://t.co/fEVcPmndjG ▸ Top stories today via @NBrusatore @InTheWorks1 @maatfeuloon
1411652,0.9705949,0.029405119,@knology gearing up 4 our 3rd day of biz internet cancellation hostage situation #dontsignup #doesntwork #theslowskys #rude @cjasonkennedy1
8277901,0.9705940000000001,0.029406024,RT @taylorshimko: @carrieunderwood came to our show! #lovemyjob http://t.co/By0FCZrSyi
4805434,0.97057825,0.029421742999999997,"Mike and Kim working behind the wine bar tonight.
Stop in and say hello! http://t.co/Fbto3R9mlE"
4274443,0.9705748,0.029425157,RT @Dory: her sister was crying over her 6th grade math homework 😂 https://t.co/ocT1LjAHXF
3605078,0.9705748,0.029425157,RT @Dory: her sister was crying over her 6th grade math homework 😂 https://t.co/ocT1LjAHXF
5454899,0.9705748,0.029425157,RT @Dory: her sister was crying over her 6th grade math homework 😂 https://t.co/ocT1LjAHXF
1239904,0.9705748,0.029425172000000003,RT @Dory: her sister was crying over her 6th grade math homework 😂 https://t.co/ocT1LjAHXF
2368741,0.9705748,0.029425172000000003,RT @Dory: her sister was crying over her 6th grade math homework 😂 https://t.co/ocT1LjAHXF
8363896,0.9705748,0.029425172000000003,RT @Dory: her sister was crying over her 6th grade math homework 😂 https://t.co/ocT1LjAHXF
7435451,0.9705748,0.029425172000000003,RT @Dory: her sister was crying over her 6th grade math homework 😂 https://t.co/ocT1LjAHXF
362275,0.9705748,0.029425172000000003,RT @Dory: her sister was crying over her 6th grade math homework 😂 https://t.co/ocT1LjAHXF
2070804,0.9705746999999999,0.02942531,RT @QuiteSimplyElle: Your official Valentine’s Day sex playlist http://t.co/JrI7xIwjCX #adult
7883358,0.9705722999999999,0.029427635,Trust me you don't want to miss @ZookandTower tomorrow morn starting right at 6:06AM... Fireworks #Tebowtime #Bruins http://t.co/bRTwnHSHnZ
6524910,0.9705669,0.029433094,"Work day is done. The boys and girls in blue keeping #NYC safe. @NYPDnews @ New York, New York https://t.co/u37xATyIrv"
3335149,0.97054905,0.029450933999999998,RT @TiffanyJamesxxx: Will be going on cam in ten minutes guys #AdultWork  #BigBoobs http://t.co/UlLHQHIkHq
5774243,0.97054684,0.029453184,RT @Workkkk_It: Homecoming shenanigans with my fave @HannGilll 😆❤ http://t.co/8K86Nzvamw
9146148,0.97053164,0.02946836,Gotta love puppies. #justworking# http://t.co/rjyVaXlsBu
617503,0.9705219999999999,0.029477945,Friday Morning Fly By: LET'S GO KIM-MO! clap clap clapclapclap (it worked last time) http://t.co/ZfoLwbms8x
3562379,0.9705184000000001,0.02948159,Had a fun time dressing up for work! #halloween #WheresWaldo http://t.co/ivZr5OYV1d
7479039,0.97047687,0.029523157,Rain don't stop the work cc: @eenahsanairb http://t.co/ms0srmwOoj
4056449,0.9704568000000001,0.029543275,RT @nytimesbusiness: Shortcuts: Speaking Freely About Politics Can Actually Cost You Your Job http://t.co/QljuV3mF4I
7326243,0.9704511999999998,0.029548796000000002,Coming home to snuggle with my sis tonight :) she came to sleep with me&lt;3 #ilovemybabysis #workaholics… http://t.co/rrbPT67c1n
3785614,0.970447,0.029553004,"It's Bring Your Teddy Bear to Work Day. We brought in our favs, but bad behavior got them a talking to with the boss. http://t.co/xBKUzpl8xJ"
8254609,0.970447,0.029553022,@ScarpalTunnel time to get fired up #HockeySeasonIsGettingClose http://t.co/VkBZCdX723 #BigJohn
6166993,0.97042793,0.029572116000000002,I found the shirt I thought I lost at work!!!! So I bought it before it does disappear :D https://t.co/JxRw239FBo
4382152,0.9704259,0.029574082999999998,RT @gisellecantt: @NFHSNetwork CB GIRLS AND OUR VIEWING PARTY HOLLER #AshWednesday http://t.co/3gYlAtgjRG
859628,0.9704021,0.029597862000000003,"Thottie Stockings RT @DaniFantastic: RT @iHateMe2: Ladies, what did y'all wear to work today? http://t.co/VCGGBwvCEn"
8946986,0.9703832,0.029616699,@josh_seiter You did a great job on You and me this morning. Teaching those guys how to strip was hilarious. Much Luv http://t.co/fCrvz5I97A
1207836,0.9703685999999999,0.02963139,New toy arrived at the shop. Time to put it to work #openitup @TPCPG http://t.co/TudOz26Heh
2592732,0.9703666999999999,0.029633304,Had a pretty cool day at the shop.... Imma upload some of today's work.... #1 #BlackPearl http://t.co/mAM0tMaqpZ
3879191,0.97035754,0.029642498,"Take a load off, you've worked hard today http://t.co/G1fr5uIRob"
7256883,0.9703343000000001,0.029665663999999998,@Sassy_Linn shots fired #DramaAlert @KEEMSTARx
7194337,0.9703232,0.029676814,Don't miss out on the preorder for our new hoodies! #MollyschicBoutique #raisinglittles #lovemyjob… https://t.co/KdtOP8f0Ht
6392748,0.97032285,0.029677127,RT @CapitalSS: Coworkers just saw her get sucked out the window like she opened the emergency exit door mid flight http://t.co/mO0pZlzj2A
