,neg_model,pos_model,text
301636,0.9569138,0.043086197,"What Is the Best Way To Find Targeted Leads? Watch This =&gt;https://t.co/L6ealvfFIh
#prospects #MLM #networkmarketing https://t.co/hk2pA0Vn9t"
93302,0.9553036,0.044696383,"Need Fast Advertising Results? Post Ads In For Sale / Website Traffic. 

Go To:  https://t.co/mspPdUAjV6 

Promote Anything - Fast.  #Networkers #Sale #Website #Traffic"
339199,0.9549380999999999,0.045061838,"Who Else Wants to Get 4-MILLION People Seeing YOUR Tweets Each Month?
HERE =&gt;https://t.co/D3fZjSmwc7

#Itworks #leads #Business #Marketing"
40778,0.95490485,0.045095123,"Looking for a job? Check out the latest B:E Employed! 
https://t.co/JnyO2HHnLE https://t.co/Noo2z86q9o"
370241,0.9548356,0.045164444000000005,RT @FindCoolJobs: Find the latest local job listings in your area! https://t.co/vFEuETlyG7 https://t.co/UMSV7Rzbux
87991,0.9547766,0.04522346,"RT @skinny_que: A bag is a bag, a job is a job https://t.co/ntc6zrXvEP"
87993,0.9547766,0.04522346,"RT @skinny_que: A bag is a bag, a job is a job https://t.co/ntc6zrXvEP"
256812,0.95475966,0.045240402,RT @SanJoseSharks: Nice job @BLerg11! #SJSharks http://t.co/Gx5JF4qvqq
338623,0.9547454,0.045254584,RT @CNNMoney: A good job is still hard to find https://t.co/nZj8BSRKhE https://t.co/QGptzTEth3
25755,0.9546220999999999,0.045377944,#JobHunting? @BosPublicMarket is #hiring a Director of Market Operations https://t.co/CwiwnJMr6U
32489,0.9546193000000001,0.045380697000000005,"How to prospect on Facebook HERE ===&gt;https://t.co/KTK2uHEsLI

#Advocare #prospect #mlm #networkmarketing"
234792,0.9544963,0.04550365,Looking for a #Driver #Contractors W/ or W/O Own Tow Vehicle-Great Pay Next Day! Local/Reg./OTR! #jobs https://t.co/DN6j6FxP0L
327102,0.9544395,0.04556045,RT @AdonisGoldenRat: #DowJonesFocusGroup Does It Works? https://t.co/ONHZQfHK5E #DowJones #Equinox #BinaryOptions #Forex #Money #Investing …
260805,0.9544165000000001,0.04558356,Get all mobbed up. An unforgettable job interview #Coffee #Mystery #BookBuzzr GLOBAL LINK: http://t.co/kr0u3bMJQX http://t.co/QaRCbLr8XV
672,0.95436907,0.04563092,RT @CruzWhobris: Why does #BillOReilly still have a job on #FoxNews? https://t.co/p8eD3DLQBX
389349,0.9543391999999999,0.04566084,"#Account Manager
#Orlando - #Best[][]Version[][]Media #Seffner  #hiring #JobOpening #rtjobs 
Apply: https://t.co/TJkGXvOtcY"
324545,0.9542824000000001,0.045717657,Networking Deals #441 &gt;https://t.co/PTIGGPRMOm Cable Tester +Crimp Crimper +100x RJ45 CAT5 CAT5e Plug Network Too… https://t.co/SQrAdv2ZiC
394972,0.95427775,0.045722254000000004,Hiring Driver in #Richmond. Watch: https://t.co/C9bn1Vyvs3 #Jobs #LogisticsandTransportation
71007,0.95426446,0.045735486,RT @Mediabistro: What exactly does a digital sales planner do &amp; is it the right role for you? https://t.co/WpepFeWd6G #jobs https://t.co/OE…
2675,0.9542635,0.045736518,"#jobs #jobsearch # #Gonski fertilises green shoots of success in disadvantaged suburbs:  
           #Money is... https://t.co/1Gr5PjZkvA"
366352,0.954262,0.04573798,RT @FindCoolJobs: Find the latest local job listings in your area! https://t.co/vFEuETlyG7 https://t.co/rc9TRocfRn
41156,0.9542396999999999,0.045760218,"Looking for a job in #Fenton, #MO? Companion Animal Leader https://t.co/MbpHbUxrWC #jobs #hiring"
345221,0.9542052,0.04579478,RT @FindCoolJobs: Are you looking for legitimate work at home jobs? https://t.co/vi66fNV1mG https://t.co/tBQHMs3j7O
23934,0.9542052,0.04579478,RT @FindCoolJobs: Are you looking for legitimate work at home jobs? https://t.co/vi66fNV1mG https://t.co/tBQHMs3j7O
203578,0.95419174,0.045808233,#Inventory #Planner needed in #Chicago at US Cellular. Apply now! #jobs http://t.co/xyZvTtgILA http://t.co/XDu2PUlf60
400887,0.9541444,0.045855515,"Looking for a great advertising network?
https://t.co/qJKxziejuN https://t.co/N8cCkh136R"
251108,0.95407075,0.04592925,#ManhattanJobs #NYCjobs #NYjobs #jobs Manager/Director of AdOps- Premium Mobile- NY - Th.. direct apply @  http://t.co/K0gb00cVaW
365418,0.95406455,0.04593546,RT @hbcutostartup: Should Blacks Work At Companies Like Twitter and Google | HBCU to STARTUP https://t.co/QmsLzVUA6D
156977,0.95400685,0.04599319,RT @HDmicrojobs: Get 1000 likes on any #pinterest #advertising pin https://t.co/R2Z5Dheh2V https://t.co/54lgbXfy44
390692,0.9539972,0.04600282,RT @savingsangel: #Blogger? Want to offer #coupon #deals on your site w/ little/no work? We can help. https://t.co/pDXp0TiN5Z
342987,0.95399505,0.046004992,RT @KESocial: Do You Want a Job or the Right Job? https://t.co/e5lkyb8kVr #KESocial
54016,0.95396876,0.046031285,Looking for a new job? Try @brainfuse JobNow! https://t.co/0Dd0VrEQxR
24743,0.9539124,0.04608764,RT @FindCoolJobs: Search Hundreds of Job Boards at Once https://t.co/wI6lSO7uhZ https://t.co/IlR8yCxHeG
345974,0.9539124,0.04608764,RT @FindCoolJobs: Search Hundreds of Job Boards at Once https://t.co/wI6lSO7uhZ https://t.co/IlR8yCxHeG
392039,0.9539124,0.04608764,RT @FindCoolJobs: Search Hundreds of Job Boards at Once https://t.co/wI6lSO7uhZ https://t.co/IlR8yCxHeG
41949,0.95389163,0.04610836,"RT @seb66: Virtual Reality.
How to position your business for the next wave?https://t.co/JQJrXoCF1k #VirtualReality #VR"
207630,0.9538759,0.046124134000000004,#Finance #and Insurance Manager needed in #SanDiego at Hertz. Apply now! #jobs http://t.co/pHR65ahgni http://t.co/IthRwLogYn
32874,0.95382917,0.046170868,RT @EdLeake: What the FAQ is Social Media? #1 Which Networks? https://t.co/K9KlQtOL37 https://t.co/SLFKHPpJLl
4223,0.95380366,0.046196355999999994,#SocialMediaJobs: Facebook to create 200 new jobs at Dublin HQ: Facebook is to ... https://t.co/6a10itFURm +#SMM↬https://t.co/RP1dw06roV
161694,0.9537424000000001,0.046257555,RT @HDmicrojobs: Get 1000 likes on any #pinterest #advertising pin https://t.co/R2Z5DhvRUt https://t.co/VYmGxxe448
