,neg_model,pos_model,text,dist_point5
336879,0.49998686,0.5000132,I cannot wait to see Straight Outta Compton 😩,1.3200000000046508e-05
254006,0.5000327,0.4999673,Still so grateful,3.269999999999662e-05
411971,0.5000939,0.49990609999999996,#Hillary is back,9.390000000003562e-05
85480,0.50009507,0.49990493,"Such a sad moment when my gas light turns on, just another reminder of how broke I am😕",9.50699999999749e-05
262298,0.4998848,0.50011516,So lonely 😔,0.00011516000000000304
332671,0.4998804,0.50011957,I love having the day off!!!,0.00011956999999995777
291273,0.49983177,0.50016826,"My Daddy My Daddy !!
My Mommy My Mommy !!
My Sister My Sister !!
My Grandfather My Grandfather !!
My Grandmother My Grandmother !!
My WTF",0.00016826000000003116
285269,0.49982822,0.5001717999999999,"Wish I never hung up the phone like I did
I wish you knew that I'll never forget you as long as I live,",0.00017179999999994422
233489,0.49977458,0.5002255,Soooo happy rn!,0.0002254999999999896
418573,0.5002477,0.49975225,I like where I am in life,0.00024774999999999103
236745,0.5002514,0.49974862,summer summer summer summer summer summer summer summer summer summer summer summer summer summer summer summer summer summer summer summer,0.00025138000000002325
406809,0.50031656,0.49968344,Vikings got a former Heisman winner,0.00031656000000002127
45702,0.49968234,0.50031763,Take me back to 2011/2012 😅,0.00031762999999995767
364571,0.49966973,0.50033027,TWO WEEKS UNTIL IM BACK IN MY FAV CITY,0.00033026999999996587
24593,0.500376,0.49962407,me n my niggas go to jail we got the same cases,0.0003759300000000243
527192,0.5003924,0.4996076,Crazy in loveeeeeeee!!!!!,0.00039240000000001496
97806,0.50040084,0.49959916,Goal line,0.0004008400000000134
381686,0.49959362,0.50040644,THERES EXACTLY A MONTH LEFT UNTIL I GO TO POLAND YES,0.0004064400000000079
301430,0.5004582000000001,0.49954185,I can't believe she put me for honors environmental next year noo i want chemistry,0.0004581499999999905
448732,0.50046843,0.49953154,For the love of Music,0.0004684600000000039
67540,0.5004851,0.49951485,Just ate 10 pieces of pizza,0.00048514999999998976
23668,0.50064856,0.4993514,I love her voice😊,0.0006485999999999992
333620,0.49934968,0.5006503,The day s almost over but I had to extend a very Happy Fathers Day to all the awesome daddy's out there making it happen for their kids!!,0.0006502999999999926
271494,0.49932915,0.50067085,I gotta cold man,0.0006708500000000006
486290,0.50067145,0.49932858,So freaking bored,0.0006714199999999781
302415,0.50067765,0.4993223,Zero dark thirty👌,0.0006777000000000033
49837,0.5006871,0.4993129,Good job D!,0.000687099999999996
337208,0.49928826,0.50071174,@doubleohblondie I haven't been sine the first week I moved in here,0.0007117399999999607
80039,0.50071675,0.49928328,Don't you love it when you're playing hardcore search and destroy and you get team killed in the beginning of the match? Because I sure do.😒,0.000716720000000004
228863,0.500729,0.49927098,It's snowing,0.0007290200000000246
529790,0.50073206,0.49926797,So hard to wake up on Mondays,0.0007320299999999946
294402,0.5007418,0.49925816,I miss GiGi,0.0007418399999999936
326076,0.5007739999999999,0.49922594,Hella throwback,0.0007740600000000208
331734,0.49916464,0.50083536,i have to go to work today but I'd rather be hit in the head with a 2x4,0.0008353599999999517
325734,0.49909472,0.5009051999999999,Ayyye. Within the next couple of days im getting moved up to shift supervisor. Things are looking up,0.0009051999999999394
156254,0.50090545,0.49909455,"No one, but u💖",0.0009054499999999743
12414,0.49909294,0.5009070999999999,It bothers me so much! #ugh,0.0009070999999999385
143563,0.5009107,0.49908927,Ass getting fat,0.0009107300000000262
74954,0.49897948,0.50102055,I love this weatherrrrr,0.001020550000000009
