,neg_model,pos_model,text
492565,0.97502524,0.024974775,RT @Inc: Why copying your competitors will ruin your chances at real success @RavinGandhi1 http://t.co/UZjmNtAUyz http://t.co/D4pN2knT4q
18729,0.974116,0.025883999999999997,RT @SusanGilbert: Do you have testimonials and endorsements for your business or brand?  http://t.co/Wnubz7SJyI
372060,0.9738815999999999,0.02611839,RT @kimgarst: Why Personal #Branding? https://t.co/1PIANlnMSl https://t.co/nSdhxKSpgT
402748,0.9736038,0.026396258,"RT @PeterTownsend7: #pjnet""#isis #muslim Defending #Islam? What would you like to defend first?  https://t.co/uHyMZ2V4qB "","
258927,0.9734784,0.026521672000000003,RT @Marketingland: How To Conduct A Content Audit by @lieblink http://t.co/FIa3DTsli8
293001,0.9734663,0.02653379,RT @cayenneapps: 4 steps to aligning your business and personal #goals with your actions http://t.co/Pwg518FjtZ #planning #leanstartup http…
472845,0.97343624,0.026563795,RT @smoothblink__us: Click here to buy&gt;&gt;http://t.co/JA0gE30RWN $7.09 #Desert Essence Organ... Global #Smoothblink2Amazon http://t.co/HBjutP…
426736,0.9734168,0.026583197000000003,"RT @etaks6evil: Which would you wear?

RT for Left 🔶
FAV for Right⚫️

Get them at👇
            http://t.co/d2hdA7VSpd http://t.co/b62iiDJwsk"
414933,0.9733863000000001,0.026613766,"RT @EllRino: RT @ASiamesePunk: question for every ~PoC~: if you don't date white people, why? https://t.co/OTjXqxeVWO"
247166,0.97338593,0.026614102,"RT @etaks6evil: Which would you wear?

RT for White ⚪️
FAV for Black⚫️

Get them at👇👇👇
http://t.co/f1grkASAlg http://t.co/amPM2sWyIm"
482432,0.97335625,0.026643699,RT @hustlebranding: Journey To Selling A Billion KIND Bars http://t.co/jFCDY4TCzx @DavidKWilliams @MaryMichelleS @MJGottlieb &amp; @danlub http…
231129,0.97334486,0.026655178999999998,"RT @KosplayKitten: http://t.co/50k63EVfrv #cosplay #kosplay #beautiful #awesome #girls #geek #nerd #sexy cosplay, sexy, cosplay gi... http:…"
465159,0.9733136999999998,0.026686322000000002,"RT @Amazon3PSellers: Follow + RT for a chance to win a @RennySmartPhone!
http://t.co/nd41Uwkdc2
http://t.co/Ib1pnHasjj
#AmazonSweeps http:/…"
443650,0.9732414,0.026758574,RT @LIONS4Mercy: Why do circuses suck? #BoycottTheCircus http://t.co/5pozAefZoq
15273,0.97324,0.026759971,RT @TheNextWeb: Ellen Pao loses gender discrimination case against #KleinerPerkins http://t.co/TDDGCF0r3X http://t.co/uEPrmlGwur
122834,0.9732127,0.02678725,#Job #Marketing Interim Indirect Source-to-Pay Procurement Lead: Jersey Experience required: Having a successf... http://t.co/yl6liWySVE
