,neg_model,pos_model,text,dist_point0.725
366641,0.27496679999999996,0.7250331999999999,@dinahsity I don't have money 😂,3.319999999995549e-05
422768,0.27521873,0.72478133,Just wanna get out of high school and get on with college,0.00021866999999997638
124603,0.27535248,0.7246475,IMA have to go to Alabama and break up a happy home when I graduate.... Damn shame,0.00035249999999997783
249047,0.27453256,0.7254675,@yandereprincess i look so angry and I apologize,0.0004675000000000651
264855,0.27453059999999996,0.72546935,Lol I'm so out of shape 😅,0.000469350000000035
247718,0.27449197,0.72550803,woke up from a nap and everyone was gone from me house 😳,0.0005080299999999927
504741,0.2744836,0.72551644,I be on campus looking bad everyday . But idc,0.0005164400000000624
420794,0.27432564,0.72567433,Wow fuck Facebook lol I just looked through some high school pics and now I'm sad hahaha,0.0006743300000000563
107899,0.27574770000000004,0.7242523,Shits funny,0.0007477000000000178
32477,0.27606854,0.7239315,I just can't bro shit not fair,0.0010685000000000278
468450,0.2760828,0.72391725,I'm crying sweat 😭 it's so hot,0.0010827500000000212
112834,0.27351823,0.7264818000000001,Kinda annoyed and don't even know why,0.0014818000000000886
46074,0.27654445,0.72345555,"She say she don't miss me, I know eh lying.",0.0015444500000000305
368083,0.27660125,0.72339875,Can't sleep thanks anxiety. 😭😭,0.0016012499999999985
414446,0.27660286,0.72339714,Woke up tired is that normal. Lol #TiredbutGoing,0.0016028599999999837
464749,0.27662066,0.7233794,RT @thejokerxo: I been gone..,0.001620599999999972
172541,0.27666199999999996,0.723338,🆘 I need coffee and can't leave my bed 🆘,0.0016619999999999413
200152,0.27668688,0.7233130999999999,"I really hate spending my own money , it could be the littlest thing I still don't wanna spend my money on it 😂😭 so I spend my mom and dad 😌",0.0016869000000000467
145757,0.27673948,0.72326046,@No_PainJustGain lol same shit happened to me when I left early,0.0017395399999999839
144261,0.27325195,0.72674805,im lowkey mad as hell.,0.001748050000000001
470810,0.27322432,0.72677565,I hate when im an accidental asshole. Sorry (nt!),0.0017756500000000175
