,neg_model,pos_model,text
9404762,0.058678765,0.94132125,who's hiring i seriously need a job
725212,0.058756277,0.94124377,"I need a job, who's hiring?"
9037648,0.059048727,0.9409513,who's hiring? i need a job asap
7329787,0.05925601,0.94074404,is sonic hiring i need a job asap
1762546,0.059603605,0.9403964,I need to start looking for a job
8858682,0.05982188,0.94017816,I need to get a gig this week
9367235,0.05983294,0.94016707,who job hiring?
2266406,0.060008384000000005,0.9399915999999999,I definitely need to pick up a second job
1658021,0.06002879,0.93997127,Maaan I need a job
6890853,0.060098477000000004,0.93990153,I legit need a job
5960890,0.06010181,0.93989813,Who's hiring ? I need a job 😅😂
3202462,0.06021742,0.93978256,never mind I'm on my way to the job interview
7454794,0.060453594000000006,0.93954647,I needa job asap
6062061,0.060477268,0.9395228000000001,Is anyone looking for a job?
1969409,0.060710043,0.93929,I need a real job. Who's hiring?
8237156,0.060903963,0.9390960999999999,I need to find a job
971178,0.061103713,0.93889624,Anyone know of a place hiring I need a new job ASAP
7646843,0.061183542,0.9388165,So um Nobody job hiring 😒😂
4412858,0.06121715,0.9387829,Who's hiring ?
7351442,0.061225597,0.93877435,Gotta start looking for a second job
3591412,0.06134747,0.9386525,Getting tattled on for being 2 min late? Probably a strong indicator I should look for a new job
4752302,0.061489115999999996,0.93851084,Kinda need to find a job
2899556,0.06152991,0.9384700999999999,Is anyone hiring?
6275251,0.061529875,0.9384700999999999,I need a second job again
7184892,0.061550796,0.9384492,is anyone hiring ? lol
6424550,0.06166723,0.9383328000000002,Damn I need to get a job 😴
722565,0.061901674000000004,0.93809825,bout to pick up a second job I might not have social interaction for 6 months but after looking at the apts I want in chi it'll be worth it
1830116,0.062005795999999995,0.93799424,Who hiring?!😩😭
4191310,0.06205236,0.93794763,Yup I will be looking for a new job tonight
9382639,0.06214580000000001,0.93785423,wow i would suck at any job interview
5223550,0.062221017,0.93777895,"I need a new job, who's hiring 🙄"
1208897,0.06222767,0.93777233,I need to find a job ASAP
3310927,0.062337022,0.9376629999999999,I want a job lol.
8192659,0.062372353,0.9376277,I'm trying to move out soon if anyone interested we can go look for some apartments asap
2327689,0.062409032,0.937591,Who need beats??
4482278,0.062427922999999996,0.93757206,I need a job but idk where to go please help
6859302,0.06243041,0.9375696,I need to get a job ASAP
446796,0.06251767,0.93748236,I need to know asap if i got this new position
2858781,0.062547676,0.93745226,ok. I need a job lol
5138693,0.06259352,0.9374065,Who go take me???
7143234,0.06264993,0.93735003,"Katty is looking for jobs, anyone hiring?"
592585,0.06266775,0.9373322000000001,We Trying To Find Another Studio To Pull Up To Tonight... WHO WORKING?
6040617,0.06273384,0.9372662,I should start lookin for a job here lol
3692816,0.062788896,0.9372110999999999,Is Jags hiring?
