,neg_model,pos_model,text,dist_point5
569827,0.50000924,0.49999079999999996,I crack myself up,9.200000000042508e-06
446519,0.50000924,0.49999079999999996,I crack myself up,9.200000000042508e-06
334588,0.49996957,0.5000304,@thatseximexi5 lmaooooo hell yeah . It was successful though . I had fun and twerked on your mom,3.0399999999985994e-05
528099,0.5000382000000001,0.49996182,RT @BigNeechi: I really hold back a lot,3.817999999999877e-05
69648,0.5000388,0.49996117,"RT @WeiyanChee: Humans of Grad School:
""I don't know what I'm doing. Nothing works. My funding just got cut. There is no inspirational endi…",3.8829999999989706e-05
553266,0.4999566,0.5000434,Everything hurts.,4.340000000002675e-05
503596,0.5000475000000001,0.49995249999999997,"RT @ManUtd: Louis van Gaal on Michael Carrick: ""He is rested because he played two matches in a row. He's not the youngest so we take no ri…",4.7500000000033626e-05
409328,0.50005794,0.49994209999999994,RT @NoHoesGeorge: HOW I GOT CAUGHT TAKING A SHIT AT SCHOOL: https://t.co/fJitgTOByZ,5.790000000005513e-05
472366,0.5000635999999999,0.49993643,RT @ZackLyman: Had a dream I lived with @ReidReadRedReed and @natetella then some guy tried to rob us. We beat him up by the trash cans.,6.357000000001278e-05
52340,0.49992734,0.50007266,"RT @_newnew: ""Single and ready to lead you on for the next 2-4 months""",7.265999999994666e-05
62178,0.5001277,0.4998724,I can't freaking breathe,0.0001276000000000055
311481,0.5001502,0.49984977,I'm so grateful for having supportive parents.,0.00015022999999997344
74389,0.49983463,0.50016534,I'm definitely not at the more-than-enough stage. But it's a far cry from what I grew up with.,0.0001653400000000138
190042,0.49982223,0.5001778,That azvab practice test had me stuck some problem I haven't seen in a minute 🙈🙈,0.00017780000000000573
32835,0.4998218,0.5001782,RT @jeune_renegade: Drove fanning tonight and he convinced me that the pt cruiser behind me was a cop,0.00017820000000001723
107639,0.50018585,0.49981418,"@Terence_Huie dang I ain't know they was sooped in football, but my lil cuz transferred to TC from they basketball team",0.0001858200000000032
135419,0.5002013,0.49979872,"@remidemmi1 @esibun We even got the ""Don't die once ever"" achievement because we didn't wipe up to that point. Was pretty fuhnny.",0.00020128000000002588
433457,0.5002495,0.49975052,RT @gabecoven4: my tweets keep getting deleted but one more time @JackRatterman is so hot and will definitely be a dilf soon enough😫😉💦 #noh…,0.0002494800000000241
458896,0.49971834,0.5002817,I hate Miguel,0.00028170000000005135
580832,0.50029516,0.4997048,"I'm 22 in three days, I don't have a goddamn thing figured out, but I am genuinely happy for once. 

It kind of balances out.",0.00029519999999999547
490575,0.49969885,0.5003010999999999,I'm back and I'm better. 😌,0.0003010999999999431
257004,0.5003111,0.49968895,‘Dancing Cop’ says he was fired from annual traffic gig for protesting Black Lives Matter https://t.co/YIRMCbKhYC https://t.co/xjZ38bMcvy,0.0003110499999999794
286076,0.500317,0.49968296,@jondiaz614 we don't even get Presidents' Day off,0.00031703999999999066
74200,0.50032675,0.49967328,@Radio1045 @thelumineers  Ohphelia was GLORIOUS! Made my morning better!!,0.00032672000000000256
568828,0.49967159999999994,0.5003284,RT @Sammie11_: I text literally nobody nowadays,0.00032840000000000646
516390,0.50032926,0.49967074,"@wamu885 oh, thanks! But I opted for the Capital Area Food Bank contribution -- my lack of a tote bag is my own fault.",0.0003292599999999979
434275,0.5003425,0.49965748,so sensitive it's not even funny. 🙄,0.0003425200000000128
356774,0.5003489000000001,0.49965107,*saves the day once again*,0.00034893000000002505
533594,0.49963019999999997,0.5003698000000001,RT @trillesstt: All of my ex's keep track of my progress,0.0003698000000000867
433727,0.49962512,0.5003749,@BBTN to think that I liked him!!! #WhiteSox,0.0003748999999999558
134841,0.49962303,0.5003770000000001,@mafe_xx wtf lol jk ima miss it I just opened my book lmk,0.0003770000000000717
