id,text,class
1680,today I signed a contract quit my old job quit my new job then unquit my old job  so that was just great 🎃🔫,1
4111,I just got hired as a electrician and I start tomorrow,1
6143,Last day at the old job. Next week I start a new position which I found through @coreintjobs!,1
963,Get HIRED Today to Work for @LoveNightClubDc were HIRING for Multiple positions Txt 3013436531 for application http://t.co/xK878Mxvip,0
6537,I got a job today 2s later I got fired,1
4078,whatever i got hired today so thats good,1
1948,At my new job some guy had a dog in his office &amp; I asked my boss about it &amp; he casually told me they sometimes just BRING DOGS TO WORK!!!,1
4486,Anyone looking for a job wanting to drive a tow truck?!?! Get ahold of me kalebs looking to hire someone asap!,0
7868,My employment has been rocky this year. I quit my job today after my supervisor threw her badge at me.  I needed her credentials for my refund request for a customer. New job stars next week Nebraska this weekend to see family!! Short vacation!!,1
1269,Interested in working at @sus_org? Check out what opportunities might be waiting for you!  https://t.co/brX0vRwl8Y https://t.co/gsBowjXCrq,0
4928,After being unemployed for 5 months i went into Olive Garden interviewing for a to go position &amp; got hired on the spot as a SERVER!#blessed,1
4052,Got hired today to work at The Cheese Cake Factory. Got a job,1
253,I GOT HIRED MOFUCKA!,1
2166,Searching for #work in Santa Fe NM? Send your #resume to New Mexico State Personnel Office. http://t.co/4krwNDdDYo #gethired,0
7544,Job searching is never easy but anybody who knows me know I wont be unemployed for long,0
8815,Good news! I have been hired by an employer today! However i am currently broke and seeking funds for… https://t.co/7SAzBWsXFj,1
5719,I got laid off on Monday needing to find a job quickly also hoping my house~ https://t.co/EBlIQaTyhn #pray #prayer https://t.co/KK4e7zDX6b,0
1422,Unemployed Under-Employed Unhappily Employed? Find jobs &amp; career solutions on LinkedIn in JCD The Job Seeker &amp;... http://t.co/Rmgc5mEYNh,0
4978,Anybody hiring ?!?!?! ya girl needs a job,0
4028,Yea so I got hired as manager of a pizza place so prob nvr eating pizza again thats my new thing,1
3222,Got laid off today... And then got another job 5 hours later,1
513,Saw my first check from my new job today &amp; I never been happier that I got fired from my last job God is good,1
109,I got hired on at 8.50,1
3024,just started my new job and some bitch i work with decided to tell me that my bf fucked her in HS? Like ok? Do you want a cookie?,1
115,Lost my job yesterday. Jus got hired again LOLLL,1
3047,Ive learned more &amp; talked more with my co-workers in 3 days at my new job than I did in 3 weeks at Dicks. extremely grateful &amp; happy.,1
4621,Thanks to Marquita I got hired turn up,1
7867,I started a new job yesterday and I think I want to quit already omg what am I doing,1
2544,Looking for an exciting new #job? Opportunities include a Senior UI Developer position in #Arlington VA. #... https://t.co/dClbbeWAtU,0
6549,I get hired on the first fired on the second,1
7701,Default isnt an option. I was laid off from my previous position. Scared shitless. I found a new position back in Louisiana. #VICEonHBO,1
3356,Star Wars hired me as a celebrity endorser of their new products. I was immediately fired http://t.co/9MvRJ9n1Up,1
8496,Got hired for a new job today that will definitely change my life. Very thankful.,1
3308,I was hired on April 1st started on the 2nd and today got my first write up. At this rate Ill be fired before the 15th!,1
9359,Got called from an extras service in California to work tomorrow and Friday on a movie set. I was picture chosen by producers..UNION VOUCHER,1
4510,Microsoft posted a job you might be interested in. Sr Solution Spec SURFC ADR - SMSG - Beijing - Beijing City China CN via LinkedIn.,0
2539,Looking for a campaign position in Minneapolis in 2016? Apply to be a DFL Regional Organizing Dir. (ROD) today! https://t.co/bP4N8ket8j,0
2746,#Job #Milwaukee Sales Opportunity (Waukesha): Position Information Position: Automotive Program Sales Consult... http://t.co/fh6DujIP3Z,0
1080,Well I am actively searching for a new job.,0
922,Last week I got hired as the Scenic Designer of an awesome play! Today I was offered the Art Director position for a TV show! So thrilled!!!,1
9499,Today I left the ranks of the unemployed and joined the workforce again. #happyhappyhappy,1
1676,I just got hired in today and im already thinking of quitting by the end of the year....smh,1
2036,Looking for a #NewJob? #CareerCast has all your #Job and #Career needs at your fingertips. https://t.co/TP0fqqrlDk #CareerAdvice #GetHired,0
8315,my roommate got hired right after me and our friend who lives on our floor works there too this is so cute,1
6721,Well I injured my back at work in June. My RN position was posted at work. Not able to work. depression is severe just dont know anymore,0
9209,I woke up this morning realising Im still #unemployed so I went back to bed.,0
2232,Have you seen my mid-week video? I decided to vlog whilst unemployed! http://t.co/MAppy5oxiT #lbloggers #crazybloggers #bdib,0
1105,I am looking for a job as property manager or assistant property manager as full-time job.Let me know if you have something,0
6791,Anyone know any lawnmower repair person that charges fairly and does good/quick work???,0
1987,Im already subject to termination at work and I started 3 weeks ago lol . I need more clientele to end this job saga,1
9446,I was unemployed yesterday and have two jobs today lol #helookingoutforme,1
6018,@courtneycaw33: Praying I get this job!,0
4068,Got hired for a magic show tomorrow night who has a party on a Monday I do not know but I got hard for it,1
1991,First day at my new new job &amp; my boss is 10 mins late when I was 10 mins early..Hmm.,1
6507,I was just offered a position at the Seven Inlets Spa and I am still waiting to hear back from Massage Envy. Not sure what to do. #Decisions,0
4102,Hey I got hired full time today :),1
1993,I was stressing over leaving my old job but my new job treat me like I own the place. You really gotta be willing to progress,1
1076,am looking for a job i lost my job due to the misunderstanding btwn me and my manager according to the increment of my salary,0
5328,Unemployment its been real - but Ive got a new friend now. Its a senior-level position at RED Digital Cinema. They help make movies.,1
1534,Im not fired btw but I have a job interview next week becauSe this guy is FUCKING crazy lmao,0
6838,Network for Good posted a job you might be interested in. Product Manager - Washington D.C. Metro Area US via ... https://t.co/a6veGrMt1f*,0
4106,I applied yesterday and I got hired today lmao @ahricynthia5 @__AdamCCXX,1
7493,I am disabled veteran been unemployed since 2009 and I cant get disability benefits. I would like to do computer work (administrative or billing). My email:barryevanslive@gmail.com https://t.co/9CBcfriM5P,0
4061,Received a phone call today from Dollar General.  I got Hired! Woot woot!,1
3738,Looking for a new #job in #Kentucky? Subscribe to #JobAlerts! http://t.co/nlyggAo5xX,0
9406,My manager offered me 100 dollars for every person I bring in to apply and get hired.......... who needs a job?,0
2792,I got hired yesterday and started working the same day too 🖖🏽,1
8587,Unemployed or Looking For a Way to Make Extra Money? --&gt;&gt; http://t.co/OvRAR4rAEe,0
3763,Looking for a #Adjunct #Position – ​Principles of Marketing #jobs http://t.co/7U5AhGKDtN http://t.co/Mc4bIS0vxx,0
5037,On a personal noteI was recently fired because my job knew I was about to leave for a (much)better position.Inadvertent blessing though. :),1
6438,Laid off yesterday morning and got a temporary gig today? Still looking for a permanent position but its better than nothing.,1
9309,#Job #Birmingham Want to hire sexy muscle men (Birmingham): I am searching for built men to work on web cam from home http://t.co/xKu8mDd9NU,0
4024,I just got hired at my new job congratulations. I plan on buying my own firearm to carry around.,1
8093,Looking for a new #job? Look no further—Brivo is #hiring! Find out the details of our open positions: https://t.co/qnKnTrBgfV,0
4063,Got hired today to write two new Batman chapter books. Which villains should I choose?,1
4058,I got hired before I got laid off today #boilergypsy,1
4451,Teacher friend and I are in the works for a new job watching dogs sleep or blogging about hit shows each week.  Anyone hiring??,0
9445,I was unemployed for all of three hours yesterday Im not even kidding new job starts today,1
