id,text,class,ProcessedText,ProcessedText_length
1680,today I signed a contract quit my old job quit my new job then unquit my old job  so that was just great 🎃🔫,1,today i signed a contract quit my old job quit my new job then unquit my old job  so that was just great 🎃🔫,25
4111,I just got hired as a electrician and I start tomorrow,1,i just got hired as a electrician and i start tomorrow,11
6143,Last day at the old job. Next week I start a new position which I found through @coreintjobs!,1,last day at the old job. next week i start a new position which i found through @coreintjobs!,18
8895,Laid Off? 5 Simple Things To Do After Layoffs http://t.co/P785jpZOyT,0,laid off? 5 simple things to do after layoffs http://t.co/p785jpzoyt,10
6537,I got a job today 2s later I got fired,1,i got a job today 2s later i got fired,10
4078,whatever i got hired today so thats good,1,whatever i got hired today so thats good,8
1948,At my new job some guy had a dog in his office &amp; I asked my boss about it &amp; he casually told me they sometimes just BRING DOGS TO WORK!!!,1,at my new job some guy had a dog in his office &amp; i asked my boss about it &amp; he casually told me they sometimes just bring dogs to work!!!,31
4629,Someone quit today jus walked out on her shift I didnt even notice cuz I do all the work anyway,0,someone quit today jus walked out on her shift i didnt even notice cuz i do all the work anyway,20
7868,My employment has been rocky this year. I quit my job today after my supervisor threw her badge at me.  I needed her credentials for my refund request for a customer. New job stars next week Nebraska this weekend to see family!! Short vacation!!,1,my employment has been rocky this year. i quit my job today after my supervisor threw her badge at me.  i needed her credentials for my refund request for a customer. new job stars next week nebraska this weekend to see family!! short vacation!!,45
7389,I work 45 to 50 hours a week for foodhousehealth ins. It is time to quit and get my free food stamps health ins. and government housing.,0,i work 45 to 50 hours a week for foodhousehealth ins. it is time to quit and get my free food stamps health ins. and government housing.,27
4928,After being unemployed for 5 months i went into Olive Garden interviewing for a to go position &amp; got hired on the spot as a SERVER!#blessed,1,after being unemployed for 5 months i went into olive garden interviewing for a to go position &amp; got hired on the spot as a server!#blessed,26
4052,Got hired today to work at The Cheese Cake Factory. Got a job,1,got hired today to work at the cheese cake factory. got a job,13
253,I GOT HIRED MOFUCKA!,1,i got hired mofucka!,4
2604,Cowboys rumored to be looking for an offensive coordinator on the same day Norv is fired. Coincidence?,0,cowboys rumored to be looking for an offensive coordinator on the same day norv is fired. coincidence?,17
8639,Anyone know of jobs that are hiring? Have a few unemployed friends that could use the help.,0,anyone know of jobs that are hiring? have a few unemployed friends that could use the help.,17
8815,Good news! I have been hired by an employer today! However i am currently broke and seeking funds for… https://t.co/7SAzBWsXFj,1,good news! i have been hired by an employer today! however i am currently broke and seeking funds for… https://t.co/7sazbwsxfj,20
8649,I came in to work 2 hours early yesterday and volunteered to pick up an extra shift for later this week.. And this is why I have no life,0,i came in to work 2 hours early yesterday and volunteered to pick up an extra shift for later this week.. and this is why i have no life,29
8796,Looking for a #Registered #Nurse ? Intensive Care Unit (ICU) #jobs https://t.co/09uOml1on9 https://t.co/nWQFWM4jRP,0,looking for a #registered #nurse ? intensive care unit (icu) #jobs https://t.co/09uoml1on9 https://t.co/nwqfwm4jrp,13
4861,so bye everyone I am basically canceling all my friendships because I dont believe I am worth your time whilst unemployed and depressed,0,so bye everyone i am basically canceling all my friendships because i dont believe i am worth your time whilst unemployed and depressed,23
4028,Yea so I got hired as manager of a pizza place so prob nvr eating pizza again thats my new thing,1,yea so i got hired as manager of a pizza place so prob nvr eating pizza again thats my new thing,21
3222,Got laid off today... And then got another job 5 hours later,1,got laid off today... and then got another job 5 hours later,12
513,Saw my first check from my new job today &amp; I never been happier that I got fired from my last job God is good,1,saw my first check from my new job today &amp; i never been happier that i got fired from my last job god is good,25
109,I got hired on at 8.50,1,i got hired on at 8.50,6
3024,just started my new job and some bitch i work with decided to tell me that my bf fucked her in HS? Like ok? Do you want a cookie?,1,just started my new job and some bitch i work with decided to tell me that my bf fucked her in hs? like ok? do you want a cookie?,29
115,Lost my job yesterday. Jus got hired again LOLLL,1,lost my job yesterday. jus got hired again lolll,9
3047,Ive learned more &amp; talked more with my co-workers in 3 days at my new job than I did in 3 weeks at Dicks. extremely grateful &amp; happy.,1,ive learned more &amp; talked more with my co-workers in 3 days at my new job than i did in 3 weeks at dicks. extremely grateful &amp; happy.,28
4621,Thanks to Marquita I got hired turn up,1,thanks to marquita i got hired turn up,8
7867,I started a new job yesterday and I think I want to quit already omg what am I doing,1,i started a new job yesterday and i think i want to quit already omg what am i doing,19
7718,Some folks at my job that was laid off are all excited for unemployment. Im sorry but I like to work lol,0,some folks at my job that was laid off are all excited for unemployment. im sorry but i like to work lol,22
6549,I get hired on the first fired on the second,1,i get hired on the first fired on the second,10
7701,Default isnt an option. I was laid off from my previous position. Scared shitless. I found a new position back in Louisiana. #VICEonHBO,1,default isnt an option. i was laid off from my previous position. scared shitless. i found a new position back in louisiana. #viceonhbo,23
