id,text,class,ProcessedText,ProcessedText_length
3256,Just fired up my GPS from 1999. New batteries and in 30 seconds it found a position indoors! http://t.co/gWZXkx2L2w,0,just fired up my gps from 1999. new batteries and in 30 seconds it found a position indoors! http://t.co/gwzxkx2l2w,19
6090,@MysteryColorist its a fuckin CRIME!! They just charge batts turn the thing on &amp; go. YET STILL GET HIRED FOR SLOPPY WORK!,0,@mysterycolorist its a fuckin crime!! they just charge batts turn the thing on &amp; go. yet still get hired for sloppy work!,22
5811,WAIT WHAT ? WHO QUITS THEIR JOB BEFORE THEY GET AN INTERVIEW WITH THE NEXT COMPANY?....,0,wait what ? who quits their job before they get an interview with the next company?....,16
1085,Searching For a LinkedIn Marketing Superstar! - oDesk: I am seeking an experience LinkedIn ... http://t.co/tK73BjLJ6H #sales #mktg #jobs,1,searching for a linkedin marketing superstar! - odesk: i am seeking an experience linkedin ... http://t.co/tk73bjlj6h #sales #mktg #jobs,19
2383,Who is hiring???,0,who is hiring???,3
660,A social cause might have you so fired up today that you cant... More for Leo https://t.co/NaDUeSbwWi,0,a social cause might have you so fired up today that you cant... more for leo https://t.co/naduesbwwi,17
6333,Looking for flexibility diversification &amp; return potential?  http://t.co/2cPNHMkM 130/30 approach to equity investing may be one solution,0,looking for flexibility diversification &amp; return potential?  http://t.co/2cpnhmkm 130/30 approach to equity investing may be one solution,18
783,Job Opportunity: Gateway Center has an open position for a full-time Event Manager. If interested please send... https://t.co/1EDCcZXX8F,1,job opportunity: gateway center has an open position for a full-time event manager. if interested please send... https://t.co/1edcczxx8f,18
1324,Job Opportunity -  Java/Scala Equity Derivatives Developer in New York NY https://t.co/3wPhydpT3M #jobs #java #scala,1,job opportunity -  java/scala equity derivatives developer in new york ny https://t.co/3wphydpt3m #jobs #java #scala,16
9470,Got my first juror duty summons. Good thing Im unemployed;),0,got my first juror duty summons. good thing im unemployed;),10
8222,All work and no playCannot wait to get awaySad over so soon  #Haiku #haikupoetryday,0,all work and no playcannot wait to get awaysad over so soon  #haiku #haikupoetryday,15
