id,text,class
2772,I was late again got work today. They gonna fire the shit outta me one day,0
1205,Got laid off today :/#work,1
4512,Microsoft posted a job you might be interested in. Sr. SW Engineer for Windows System - Beijing City China CN via LinkedIn.,0
7249,Now the owners wife is having a breakdown and saying she wanna quit. This is hilarious,0
9453,I am happy today. Good. Time to get some food and do some work on Unemployed. Season 2 premiere is scary really liking what I have though,1
7348,day 10: im thankful that im quit my job and my two weeks notice is almost upstaying home in bed? yep the unemployed life is life for me,1
1766,Laid off next week. Ahhhh #CorporateAmerica #Merica #unemployment,0
5353,Now I have to do illegal shit to obtain this money. See the position you put me in big face financial companies?,1
7912,Well no chance of that since Im the ONLY lunch closer the other guy quit earlier this week.  #awesome #fml,0
8532,I got a job at diamond pizza bc I go there so much aND THEY GAVE ME AN ENTIRE PIZZA FOR FREE TODAY OMFG,0
7678,Well its official Im being laid off next week...... sucks.... but i might look for there other GameStop to apply too hoping they are hiring,1
2981,I was offered a supervisor position today. The wrong people are giving me job offers and this is very distressing.,0
1769,Laid Off Now they want me back. - https://t.co/n7fgL3fDFR #taxreturn #taxes #taxrefund #personalfinance #money #,1
59,About to be laid off from receptionist job at hair salon (going out of business). Rethinking my life. Suggestions/advice/mockery welcome.,0
6677,FML! Just lost my job yesterday and I went outside and my car was fucking stolen!,1
4760,Looking to organize #payroll? BBVA Compass Payroll Service provides efficient online management.https://t.co/SfpG9DlxKI,0
7401,Now Im quitting McDonalds altogether.  󾌦 https://t.co/qXwLCmt7Zi,0
6459,Am currently lying on couch in the fetal position biting my nails in anticipation of this game. Excited &amp; nervous at the same time,0
5680,The architecture firm laid off a group of employees and unfortunately I was one of them. I am currently in shock... http://t.co/IFToIYFbg8,1
8658,Why cant they fired me I dont wanna work anymore,0
7698,I have been officially laid off from my one steady PT day job gig (not my fault). Hopefully this end will become an awesome beginning soon.,1
3087,Today my coworker was like HEY U QUIT? and I was like nah just told them my last day bc Im going to school Im stuck here!,0
6804,Live in Boston or DC? Register for a free AAUW Work Smart salary negotiation workshop: https://t.co/P62C7rhhPk #equalpay,0
8307,Ugh- I just got hired for two jobs that Ive recently applied too. 😶 I was hoping for a new job soon &amp;I got double the luck! 😛,0
4774,I need a job. Or a hobby. Or to volunteer somewhere. #unemployedlife,1
6594,So asshole boss fired me today,1
7504,currently unemployed thanks for reminding me  https://t.co/BlfDZmzlPo,1
1454,my manager lost her voice and I cant hear well because of congestionwork was a blast today,0
3044,So we did secret Santa at work... and I got the girl I recently got into it with. I think this is a sign I need a new job,0
7340,Im tied of working 70+ hrs a week Im quitting and getting unemployment idgaf 😂,0
2132,Searching for #work in Washington DC? Send your #resume to Department of Veterans Affairs. http://t.co/khcdy3C0Hd #gethired,0
5299,baby Im a boss an ya man unemployed,1
317,I lost my ID &amp; my credit card... basically I lost my wallet,0
2385,Who hiring??,0
4850,my heart dont work Im unemployed,1
8810,Just got hired by an add company and just got fired! So if you like my work Im available to hire! http://t.co/XrNzPnrerE,1
6405,i got laid off this morning and now Im watching SNL for the third time. https://t.co/NkNYlILDyY,1
4004,I applied to 7 Subways today. I better get fucking hired.,1
8166,Ok.Im job seeking.Not currently working. Ive been told by hr pros recruiters to tell my network friends FB. Didnt tell LinkedIn. (1),1
8493,I have work Monday thru Saturday &amp; I got called in yesterday to work my 2nd job yesterday night,0
8819,my work hired a girl with the same name as me.....this is not okay,0
796,I just had a baby so I am in no position to help as I am not working https://t.co/OhDOevXF6b,1
9111,My best friend died and I got laid off from my job in a span of less than 5 days. I need a goddamn ice cream,1
4338,@69kykid @TrevBales do some work #TeamGetOurMembersBack,0
560,Roadhouse fired me? You cant fire me,1
4523,@rsalcido92: Its about time I say that..... I got fired today :((((  fuck Target!! Haha,1
6238,Interested in a Sales job? A career in Real Estate might be for you! Come meet us for career opportunities! https://t.co/nz937tWwn4,0
7101,I made a friend who is also unemployed and in their early/mid 20s and we both might be going to Providence together tomorrow. Up tha punx.,1
1733,Day 8 of being unemployed: From laid off to unemployed http://t.co/ho30xFHS #jobsearch #blog #unemployed #jobs #nonprofit,1
4651,Yup I quit today,1
4700,Now i got work in an hr &lt;&lt;&lt;&lt;,0
8799,I am doing a UX study on a real website. Its a fake study but its to practice my skills to possibly get hired. Here is a link to a survey…,0
8519,I guess today i got promoted &amp; certified at my taco job lmao now i can quit my week job &amp; just work weekends &amp; still make the same money😂😮,0
8419,So many people were laid off from my job this week. Thankful for what I have.,0
7509,I am officially unemployed.. Worst job ever goodnight,1
