id,text,class
3256,Just fired up my GPS from 1999. New batteries and in 30 seconds it found a position indoors! http://t.co/gWZXkx2L2w,0
6090,@MysteryColorist its a fuckin CRIME!! They just charge batts turn the thing on &amp; go. YET STILL GET HIRED FOR SLOPPY WORK!,0
5811,WAIT WHAT ? WHO QUITS THEIR JOB BEFORE THEY GET AN INTERVIEW WITH THE NEXT COMPANY?....,0
1085,Searching For a LinkedIn Marketing Superstar! - oDesk: I am seeking an experience LinkedIn ... http://t.co/tK73BjLJ6H #sales #mktg #jobs,1
2383,Who is hiring???,0
660,A social cause might have you so fired up today that you cant... More for Leo https://t.co/NaDUeSbwWi,0
6333,Looking for flexibility diversification &amp; return potential?  http://t.co/2cPNHMkM 130/30 approach to equity investing may be one solution,0
783,Job Opportunity: Gateway Center has an open position for a full-time Event Manager. If interested please send... https://t.co/1EDCcZXX8F,1
1324,Job Opportunity -  Java/Scala Equity Derivatives Developer in New York NY https://t.co/3wPhydpT3M #jobs #java #scala,1
9470,Got my first juror duty summons. Good thing Im unemployed;),0
8222,All work and no playCannot wait to get awaySad over so soon  #Haiku #haikupoetryday,0
3186,just found out that the new Haggens grocery store in my area laid off an employee of 12 years due to his mental handicap and I am sick.,0
5818,salary or equity? this website wants to help you understand #startup job offers https://t.co/GMPfddLtrp,0
2148,Searching for #work in Metuchen NJ? Send your #resume to Franco Manufacturing Co. Inc.. http://t.co/8XbC1bsFqC #gethired,1
1585,Looking for a job a new career or more job satisfaction? 51 #Career &amp; #Job Affirmations. https://t.co/8hR97kCZPj#hr,1
6446,Looking for something to do in todays Real Estate Market? Ask me about the Eddie Nivens story. He started from scratch after being laid off,0
411,#Job #PaloAlto Hardware Development Engineer II - REQ260: Cupertino Multiple positions available company: a2z ... http://t.co/Y2o5xobBr0,1
8499,Ive put in 3 job applications today what are the odds I dont get hired now,0
6053,@Softykjr I thought Wedge was going to get these guys fired up but I think he realizes they have no offensive talent at all.,0
4040,Searching for #work in Iowa City IA? Send your #resume to Department of Veterans Affairs. http://t.co/za2MoXL6sa #gethired,1
3465,Fired for drinking water? Or for asking not to lift heavy boxes? Visit  https://t.co/NgzCdL2vQg for resources #PregnantAtWork,0
6225,IBM posted a job you might be interested in. Business Analyst - Shanghai City China CN... http://t.co/o6RaS5paFY http://t.co/Pk22NiRRUF,1
9506,RT @mollytarlov: Do you get unemployment if you get laid off from twerk?,0
307,I have been uber productive today like I got so much done Im so proud of myself like wow good job me.,0
6449,Laid off? Thinking of starting a business? Heres what to consider: https://t.co/GQCUWaf8ko,0
8713,Looking for a new job? Why not work for yourself? Try our free 7 day course &gt;&gt;&gt; http://t.co/Y5Fmow3hoY  #jobsearch #jobs #changeyourlife,0
313,Today I lost Pozy in downtown honolulu and neither of us had cell phones. Lets just say it was a mess.,0
1220,Great Place to Work Institute posted a job you might be interested in. Temporary Financial Controller  - San Franc… http://t.co/YTb5NWVa4p,1
