id,text,InformationType_label,ProcessedText
4179,For the first time in 19 years I am presently not a Pittsburgh city employee. #unemployed,1,for the first time in 19 years i am presently not a pittsburgh city employee. #unemployed
3934,@MKFlynn 3DAYS 2RAISE2820$ PLEASE DONATE 2$&gt;MYPAYPAL IS anthonyperrone@rocketmail.com 4EVICTION/CAR/BILLS.CANT WORK DISABLED LAID OFF!HELP!!,1,@mkflynn 3days 2raise2820$ please donate 2$&gt;mypaypal is anthonyperrone@rocketmail.com 4eviction/car/bills.cant work disabled laid off!help!!
1070,I am Looking for work in fixing computers or security jobs.https://t.co/9G93Y2fA4a#fintech #bitcoin #rimbit #crypto,0,i am looking for work in fixing computers or security jobs.https://t.co/9g93y2fa4a#fintech #bitcoin #rimbit #crypto
5797,Anyone know of any places hiring weekends? because Im gonna burn this place down if I dont quit soon.,0,anyone know of any places hiring weekends? because im gonna burn this place down if i dont quit soon.
7067,I used to work in a sweat shop but I quit &amp; jumped on welfare &amp; made triple the amount. Like I can afford the shoes I used to make. #Boss,1,i used to work in a sweat shop but i quit &amp; jumped on welfare &amp; made triple the amount. like i can afford the shoes i used to make. #boss
5225,I actually dont do either of those things so if we are going to get really technical with it yes i am unemployed,1,i actually dont do either of those things so if we are going to get really technical with it yes i am unemployed
4904,Welp I got instantly hired at the place I went to interview today. So there goes my unemployment problem. https://t.co/PyiUkhPRdF,0,welp i got instantly hired at the place i went to interview today. so there goes my unemployment problem. https://t.co/pyiukhprdf
4897,Well I sure do love my life. Six months of unemployment Im finally hired and Im cashiered after three days. Theyre over-staffed. Damn.,1,well i sure do love my life. six months of unemployment im finally hired and im cashiered after three days. theyre over-staffed. damn.
1142,Got laid off today....got a lot of time on my hands I guess. #layoff,1,got laid off today....got a lot of time on my hands i guess. #layoff
966,I went in American Eagle and filled out for a seasonal position less than an hour ago &amp; they just called &amp; ask me to work tomorrow,0,i went in american eagle and filled out for a seasonal position less than an hour ago &amp; they just called &amp; ask me to work tomorrow
2062,Looking for a New Job? Interested in a Career Change? #CareerCast Has Everything You Need and More! - https://t.co/eHENJJMqu4 #GetHired,0,looking for a new job? interested in a career change? #careercast has everything you need and more! - https://t.co/ehenjjmqu4 #gethired
2116,Looking for a new job? These ones pay well and dont require higher education: https://t.co/HLXvWvgrf5 #success #gethired,0,looking for a new job? these ones pay well and dont require higher education: https://t.co/hlxvwvgrf5 #success #gethired
7265,After 10 years with current company Im getting laid off(merger).. let me know if anyone has leads to Graphic Design jobs in NoCo.,1,after 10 years with current company im getting laid off(merger).. let me know if anyone has leads to graphic design jobs in noco.
7573,Looking for a new challenge? Help build the #marketing function at @Guidepoint as digital marketing manager. https://t.co/RrVelccFz8 #jobs,0,looking for a new challenge? help build the #marketing function at @guidepoint as digital marketing manager. https://t.co/rrvelccfz8 #jobs
6039,Lady at my new job thought I cheated my way into the position.........,0,lady at my new job thought i cheated my way into the position.........
2242,So Im technically unemployed until Monday.  This hasnt been a thing in over 10 years.  What do I do with my time?,1,so im technically unemployed until monday.  this hasnt been a thing in over 10 years.  what do i do with my time?
4793,I need prayer for full time employment. I have been unemployed for nearly a year. Donna-I need pray~ https://t.co/CRU9wptzrw #pray #prayer https://t.co/0roMPtg1sb,1,i need prayer for full time employment. i have been unemployed for nearly a year. donna-i need pray~ https://t.co/cru9wptzrw #pray #prayer https://t.co/0romptg1sb
7204,Attention marketers in #SanDiego heres a cool job opportunity where youll be able to change some lives. http://t.co/u6bxlpFs #marketing,0,attention marketers in #sandiego heres a cool job opportunity where youll be able to change some lives. http://t.co/u6bxlpfs #marketing
5054,I got my last check from my old job yesterday and will get a check from my new job right on time in exactly two weeks.. that worked out well,0,i got my last check from my old job yesterday and will get a check from my new job right on time in exactly two weeks.. that worked out well
3974,That was crazy fast. I applied on Thursday interviewed Monday got hired today (Tuesday) woahhh,0,that was crazy fast. i applied on thursday interviewed monday got hired today (tuesday) woahhh
762,RT @dogfishbeer: Hey MD friends we just posted a Sales position you might be interested in!http://t.co/QZMPHJJuwi,0,rt @dogfishbeer: hey md friends we just posted a sales position you might be interested in!http://t.co/qzmphjjuwi
1548,This week I got into a massive fight with the guy who got me pregnant got fired from my job broke my new phone and tomorrow I have to go get std testing done because I was raped a few weeks ago. It’s only Wednesday. If there is a higher power it wants me to give up.,1,this week i got into a massive fight with the guy who got me pregnant got fired from my job broke my new phone and tomorrow i have to go get std testing done because i was raped a few weeks ago. it’s only wednesday. if there is a higher power it wants me to give up.
910,Got offered a full time position at work which I took! Got a car yesterday &amp; if someone moves out before the 17th I will have my own place!,0,got offered a full time position at work which i took! got a car yesterday &amp; if someone moves out before the 17th i will have my own place!
715,Wait I just got fired before I even got to work so does this mean Im unemployed again!??,1,wait i just got fired before i even got to work so does this mean im unemployed again!??
5620,Just got laid off and am pursuing potential career openings in the IT industry. If you know of any please let me... http://t.co/24FLT5UsIA,1,just got laid off and am pursuing potential career openings in the it industry. if you know of any please let me... http://t.co/24flt5usia
6342,I am working on a new FT Business Analyst position with a growing company in the Hunt Valley area. My client is hiring immediately! Want to…,0,i am working on a new ft business analyst position with a growing company in the hunt valley area. my client is hiring immediately! want to…
6632,Fired Fed Up or Just Ready for Change? Here are Your 10 Next Right Decisions. http://t.co/Jnq8Bgiq1b #career #jobhunt #recruiting,0,fired fed up or just ready for change? here are your 10 next right decisions. http://t.co/jnq8bgiq1b #career #jobhunt #recruiting
5095,I got fired from my job last week now I might go back to hm,1,i got fired from my job last week now i might go back to hm
3792,I forgot to put on deodorant yesterday AND I witnessed my dog poop out a stuffed animals eyeball. #Unemployment,1,i forgot to put on deodorant yesterday and i witnessed my dog poop out a stuffed animals eyeball. #unemployment
6477,Hey guys. I still cant get ios7 and I lost my job today lmao what a good day,1,hey guys. i still cant get ios7 and i lost my job today lmao what a good day
3959,Lost #Job . Evicted. Worst of all just hired as a #college educated cashier. #MyHolidayConfession 🎄 #MakeMeHappyIn3Words #donate for #fundraising 👉https://t.co/WvHLsOesTp👈 #saturdaymorning #Shame #AHSCult #art imitates #life #Homeless for #Christmas https://t.co/emk93WZhCj,0,lost #job . evicted. worst of all just hired as a #college educated cashier. #myholidayconfession 🎄 #makemehappyin3words #donate for #fundraising 👉https://t.co/wvhlsoestp👈 #saturdaymorning #shame #ahscult #art imitates #life #homeless for #christmas https://t.co/emk93wzhcj
1964,I recently started a job in child dependency I posted this a while ago about the two jobs that led me to it. #blog https://t.co/CrfDajGev7,0,i recently started a job in child dependency i posted this a while ago about the two jobs that led me to it. #blog https://t.co/crfdajgev7
1246,A young professional near Roseville? Heres a networking opportunity for you. https://t.co/5ucoEzwSAx #HireACat,0,a young professional near roseville? heres a networking opportunity for you. https://t.co/5ucoezwsax #hireacat
915,I applied for a job position and surprisingly I got a call back today ya girl is making moves,1,i applied for a job position and surprisingly i got a call back today ya girl is making moves
6093,GE posted a job you might be interested in: Experienced Commercial Leadership Program (ECLP) - Melbourne Area Australia AU.,0,ge posted a job you might be interested in: experienced commercial leadership program (eclp) - melbourne area australia au.
335,I am looking for a digital marketer that has run a marathon and worked on the Obama campaign. Any thoughts?,0,i am looking for a digital marketer that has run a marathon and worked on the obama campaign. any thoughts?
3173,I was laid off from my job April 7. Seeking editing job. Appreciate all leads. View my LinkedIn profile: http://t.co/ogRrXD1eNZ,1,i was laid off from my job april 7. seeking editing job. appreciate all leads. view my linkedin profile: http://t.co/ogrrxd1enz
4779,I #need #cash #fast but i am unemployed https://t.co/j8o355OMXz,1,i #need #cash #fast but i am unemployed https://t.co/j8o355omxz
1376,Job Opportunity: Core Java Developer. Are you a fit? in Weehawken NJ https://t.co/ilJbPYZjkF #jobs #java #equities,0,job opportunity: core java developer. are you a fit? in weehawken nj https://t.co/iljbpyzjkf #jobs #java #equities
4184,as of today for the first time in two years.....I am officially unemployed,1,as of today for the first time in two years.....i am officially unemployed
5204,I wake up shower and put different pajamas back on just to lay around the house...this is what being unemployed does to you !,1,i wake up shower and put different pajamas back on just to lay around the house...this is what being unemployed does to you !
2245,So i got shitty news today and Im unemployed once again. My life pretty much sucks right now. #sadday #fml,1,so i got shitty news today and im unemployed once again. my life pretty much sucks right now. #sadday #fml
2898,Being unemployed is awful. Im going crazy without a work to-do list!!!,1,being unemployed is awful. im going crazy without a work to-do list!!!
4294,Do not yell at me/Its the economy dear/I will get a job #haiku #haikuchallenge #senryu #yell #unemployed,1,do not yell at me/its the economy dear/i will get a job #haiku #haikuchallenge #senryu #yell #unemployed
5653,Well my job only lasted 7 days &amp; I got laid off again! I still need your Thoughts &amp; Prayers my Facebook &amp; Twitter... https://t.co/KeCe7JBcIo,1,well my job only lasted 7 days &amp; i got laid off again! i still need your thoughts &amp; prayers my facebook &amp; twitter... https://t.co/kece7jbcio
5226,This is how I feel as unemployed,1,this is how i feel as unemployed
7178,Looking for work?  Are you unemployed?  We are now hiring. http://t.co/uwCbHWfUuh http://t.co/hIAJMSf8Yp,0,looking for work?  are you unemployed?  we are now hiring. http://t.co/uwcbhwfuuh http://t.co/hiajmsf8yp
1549,Showed up to work today thinking I still had a job and my uncle told me to gtfo and never come back... looks like he actually did fire me...,1,showed up to work today thinking i still had a job and my uncle told me to gtfo and never come back... looks like he actually did fire me...
5103,I was fired from my job during my daughter’s cancer treatment https://t.co/wS84zM2Ckb https://t.co/mzFZdYKJhK,1,i was fired from my job during my daughter’s cancer treatment https://t.co/ws84zm2ckb https://t.co/mzfzdykjhk
4159,I been unemployed for 8 months yet have years experience  been working since 18. Yet my new provider pushes work4dole on second interview?!,1,i been unemployed for 8 months yet have years experience  been working since 18. yet my new provider pushes work4dole on second interview?!
