id,text,class
339,I am looking for a local tweeter for hire? Looking to rec. someone for a 2 month gig for a nonprofit for a campaign. PT work.,0
3046,Ive learned more &amp; talked more with my co-workers in 3 days at my new job than I did in 3 weeks at Dicks. extremely grateful &amp; happy.,1
4825,my heart dont work Im unemployed,0
5025,Gave two weeks notice 3 weeks ago. Started new job yesterday. Yesterday the old job was telling people they fired me. I’m not ok with this.,1
4641,I just got hired at TGIF at the Rim and I already wanna quit and get a job at BJs at the Rim lmao,1
1411,Unemployed Under-Employed Unhappily Employed? Find jobs &amp; career solutions on LinkedIn in JCD The Job Seeker &amp;... http://t.co/EC9IzitRoC,0
265,I went driving today and got my lunch and I saw that Dollar Tree is hiring. So Im going to check that out.,0
4089,Got hired today for a really good new job but theyre asking me to cut my hair...,1
6377,Today I got hired promoted &amp; then fired from a Briarcrest commercial...thats all. #actress,1
100,I got hired 4 Jamba Juice God is Good,1
1111,#NashvilleGigs I AM SEEKING A CRAIGSLIST POSTER. EARN EXTRA CASH POSTING ADS http://t.co/RxKM3YzGJ9 #Nashville #NashvilleJobs #gigs,0
3297,Got fired on Wednesday got my job back yesterday and I work today haYesterday was my day off too so its like I was never fired at allMy manager hates me even more now I know it aha,1
5054,I got my last check from my old job yesterday and will get a check from my new job right on time in exactly two weeks.. that worked out well,1
109,Hey guys I just got hired at starbucks,1
87,I got hired to cook fathers day dinner tomorrow...cuz Im nice in the kitchen.,1
6557,Well I start my new job on Monday. Same company just different position. I am confident I will kick ass as a planner.,1
3979,MY JOB HIRED ME BACK!!! Im hype af!!!,1
2681,#Anchorage #Job Fairbanks AK Special Education Teacher Position: Anchorage Fairbanks AK Special Education Te... http://t.co/vmVajCIUQz,0
1686,today I signed a contract quit my old job quit my new job then unquit my old job  so that was just great 🎃🔫,1
6889,Yesterday I deliberately rendered myself unemployed w/o somewhere to land.Not smart but it was right.,0
373,I am getting no hours at work. Searching for a new job.,0
5051,I started at my new job without quitting my 1st job. Who wants to dig me out of this one?,1
2555,Looking to help advance specialty materials technology manufacturing capabilities and innovate in global markets? ATI is seeking a material science or chemical engineer for a Process Engineering position https://t.co/BfmMXJT9rd https://t.co/BGEZS2oEyY,0
288,I got hired at riverdale last night tho .. O.o too bad Im not gonna work there LoLoL,1
5687,I work tomorrow... 😅.. I so understand why people stay unemployed now hahaahha,1
7474,Im already hired at my new job just waiting for my background check then Im good to start😌,1
1672,Just got hired and Im finna quit real quick,1
140,Another job called me and I am hired I aint get to call them back yet,1
521,Yea Im happy I got a new job. This white lady at my old job wouldve been hype this morning if I went in. I wouldve gotten fired today.,1
6040,Just started this new position last week but I may be putting in my 2 weeks notice,1
3962,Literally lost a job and 5 min later got hired somewhere else #peopleskills #closeddoor #openwindow #happy #lucky,1
2913,Today I can smile. Today I have secured a new apartment and got hired for a full time position!😁👍,1
4774,After being unemployed for 3 months I have finally found new employment. Thank you all s... http://t.co/5PcQNzKImV,1
3831,Facebook needs to stop asking me who my current employer is and rubbing my unemployment in my face,0
4657,I quit today my spirit was crippled by the man so i had to move around,0
1954,I recently started working at a new job and now I have weekends off and a normal schedule and I don’t have to dread the weekend anymore,1
4640,So to answer a few ??s about the fine dining job they lied about my hours/pay/job description so I quit Tuesday so I went to Hooters today,0
6750,Moms just finding out 2weeks later I got fired lol,0
3310,I find it funny that I was fired yesterday and then rehired lol,1
7613,Looking for a #Driver/Warehouse #Position - Plumbing Wholesaler #jobs https://t.co/iPh1812fI4 https://t.co/67RN2cL1VE,0
2825,I finally got hire at walmart I been working at walgreens for like 3 and a half months. Tomorrow my last day at walgreens,1
4061,today I got 2 awesome things got my Texas driver license and 2... FINALLY GOT FUCKING HIRED!,1
3356,I start at Aldo this week AND my best friend got hired there too?! We bout to fuck shit up ;),1
3062,Just started my new job today. Im working at a movie theater cleaning up after the movies get out. Found 2 small popcorns wedges under,1
5714,Being unemployed for me personally means waking up and immediately feeling crazy anxious every day so thats super fun and all,0
3840,Unemployment is at a 49-year low and I still dont have a job.,0
4918,Officially hired and working two jobs now. How am I ever gonna have time to watch my wrestling &amp; cartoons now?!,1
4999,I was recently fired from my job seeking unemployment and better work,0
388,I am seeking a female (preferably a WOC) website/graphic designer to work with for my business need quotes to incorporate into fundraising.,0
2954,I lost my position as the football teams water distribution engineer-waterboy,0
4032,Searching for #work in Burlington IA? Send your #resume to Big Lots!. http://t.co/h9hPP3tYxJ #gethired,0
2104,Looking for a new way to hire or BE hired? check out http://t.co/UU5ax8MLHb to create an @myzumay . Fire your #resume ! #jobsearch #jobs,0
2925,Interview today...n JUST got an interview for the position I really wanted TOMORROW. things are starting to fall into place,0
6479,Lost my job yesterday fell asleep a bit early then slept in a bit late. I dont think Ive ever been this stress-free in my life???,0
7276,@johnurschel Im searching at the Development Director level in MA. I was laid off in January.,0
2044,Looking for a #NewJob? #CareerCast has all your #Job and #Career needs at your fingertips. https://t.co/nkIUcXMpsk #CareerAdvice #GetHired,0
3724,Looking to join Panera Bread (@PaneraCareers) Sunrise Senior Living (@Sunrise_Careers) or Meridian Senior Living (@Join_Meridian)? View 361 openings from these companies and more. https://t.co/ikurjIU70S,0
5796,Now hiring a professional fly &amp;amp; mosquito killer. Any takers?,0
3060,Im bout to start back working out Yall. My new job has a gym,1
1690,I quit my job today lol Going to start looking for a new job,0
4635,Got hired for a new job orientation/training on Tuesday. Now the question is... when do I quit my current job?... https://t.co/oxs9D9S6jj,1
7066,Quit my job thinking i had the other in the bag. Long story short.....i had to go on unemployment last week. Good news is i found another job so there you go,1
94,Today I got proletariatainized... Got hired on permanently at a company.,1
106,on a brighter note I got hired today so Im stoked n I start tomorrow,1
4024,Searching for #work in Akron NY? Send your #resume to Adesa Inc.. http://t.co/Ayu0sVtnde #gethired,0
4046,I got hired before I got laid off today #boilergypsy,1
4946,Anyone looking for a Job ? Orlando Premium Outlets 17 &amp; ⬆️ - Adidas/Reebok 18 &amp; ⬆️ - Nike/ Under ArmourThey are currently hiring HML 📲,0
5220,Today is #EqualPayDay .Thanks #ObamaI will be more exited if I wasnt #Unemployed,0
786,Im hiring for two position in the Katy area. Full time and part time. Starting at $10 an hour hit me if youre interested.,0
6363,Lol I got fired from my minimum wage job today and got hired for an above wage job the same day. #merica,1
1036,As of June 8th no longer unemployed... just got hired as a data analyst / programmer at Cigna in Bloomfield...,1
107,The Macys I got hired at is on a spree apply if you can,0
4045,I got hired today and start tomorrow.,1
2807,Today gone be a good ass day! I just keep getting good news! 1st I get hired in. Then found out ion have to work tomorrow.,1
6465,Its funny that when I lost my job I lost you yet I supported you for 3 years before you got on your feet,0
4905,I am now hired at Guess as a fulltime permanent sales associate I was only supposed to be seasonal but hard work pays off. TYJ 🙏💕.,1
1156,well I was laid off today because the season is over so looks like its back to job hunting for me,0
4427,anyone know of any jobs hiring in Lansing????,0
3814,And.... Now Im unemployed.,0
5826,Now On my way to my first corporate job which I got on my own #blessed . NEVER GIVE UP !,1
4072,Except I did get hired today it was fun,1
387,Im Searching for an Executive Sous Chef in DC to work for an award winning Chef...must be cutting edge creative positive with amazing e…,0
7438,I am actively seeking Administrative Positions available to start ASAP!,0
3834,I am now officially unemployed! Yatta!,0
5024,Damn I got fired from my first job  I got to find another job soon cuz I want to buy iPad 4 and htc one.,0
7180,Hilton Worldwide posted a job you might be interested in: Senior Sales Manager - Embassy Suites Orlando International Drive - Orlando Fl...,0
6486,I knew today was a bad day. I just quit my 2nd job,0
4860,Anyone working in a bar/pub that is hiring?,0
2323,And I remember now why I shut down and didnt do job applications for a while. It makes me very aware of how long I have been unemployed,0
3994,Recently quit my job wanted to be more creative so I just got hired at a Makeup company while I can peruse my passions. #YOLO,1
4956,Anyone know whos hiring???? Im dying for a job so my jeep can be done by Halloween!!!! :(,0
4961,I need a second job like right now! Anyone hiring????,0
4161,I am a veteran who is unemployed finished school 6/14. Tooth broke in need of dental work. Where can I go?,0
5829,Im so blessed by my new job. Yall are gonna get sick of me tweeting about it all the time but sorry not sorry.,1
4054,I got hired at a job yesterday but Im quitting today because a better job came along does that look bad?,1
3974,That was crazy fast. I applied on Thursday interviewed Monday got hired today (Tuesday) woahhh,1
5650,I got laid off.  Why is not an emergency?  http://t.co/s8LUiWqMx2,0
4038,I got hired today at a new restaurant &amp; Im so fucking happy Im moving up Im getting shit done my grades are good and my moneys better,1
6365,i got fired today... hooray me,0
3373,so the place i got hired at 3 weeks ago is going out of business. alright.,1
5052,My 1st week at my new job went good &amp; on top of that I already hit overtime,1
3343,Natasha got fired and I got hired,1
6468,so i started my car salesmen job today i feel so outta my element lol &gt;.&lt; lol,1
6082,This week: relationship ended got great advice quit my job got a position as a teaching assistant met with dept. head about research.,1
2909,Being unemployed is a lot like being retired except Im not old and all my friends are busy at work all day what a bunch of nerds right?!,0
3304,Nigga I been fired from 5 jobs had to quit from 3 AND my whole workplace got laid off today Im 20 homie fuck that you just gotta #Maintain,0
5741,I havent been unemployed for 4 years its going to feel weird starting a new job,1
3700,I like my new job. Its fun and my co workers are nice!,1
4689,Today is the start of getting up at 430 everyday for workbut I could still be unemployed trying to be the very the best like no one ever was,1
3173,I was laid off from my job April 7. Seeking editing job. Appreciate all leads. View my LinkedIn profile: http://t.co/ogRrXD1eNZ,0
4104,I  put in my notice today at one job and got hired 30 minutes later to another 😁😁😁,1
2354,Anyone know of places newly hiring in Sierra Vista Tombstone Bisbee Fort Huachuca Benson or anywhere within 30 miles of here?,0
6403,Got fired today oh fucking well fuck taco bell lying ass another job gone come my way,0
3982,I just got fired then immediately re-hired.,1
6785,Lost my girlfriend and job in less than 24 hrs best day ever :),0
405,#Job #Nashville Manager Recovery Resolutions - Franklin TN: Franklin Position Description: Youll join a high ... http://t.co/xic9ZM35OF,0
7246,I was just laid off for the week...Meaning FATE HAS DESTINED ME TO FINISH THIS NOVEL!#amwriting #amwritingscifi#CampNaNoWriMo #nanowrimo https://t.co/d8oTiGCLeU,0
1691,Quit my job yesterday got a new one today,1
7389,This my 3rd day at my new job and Im already ready to quit .,1
